"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"1 mo","male",2,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",24,130,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63441,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"M","Juvenile"
"1 mo","female",2,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",17,122,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63325,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"F","Juvenile"
"1 mo","female",2,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",21,123,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63326,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"F","Juvenile"
"1 mo","male",2,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",21,124,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63327,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"M","Juvenile"
"4.5 mo old","female",1,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",10,130,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63448,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"F","Juvenile"
"4.5 mo old","male",1,-123.113521,49.261096,1972,"Microtus oregoni serpens","Microtus_oregoni",20,136,9.3,1454,5.84970861745189,69.8719679314888,"Winter",63447,9.35,1504.5,5.89014595466139,65.6654846952919,9.64,1338.2,5.76811816764538,61.7686509174023,"M","Juvenile"
"adult","male",7,-124.15,41.0666667,1926,"Microtus oregoni oregoni","Microtus_oregoni",17,NA,11.9,1374,2.30629901606777,123.440482651865,"Summer",63442,11.6,1318,2.26992923998507,100.813794911873,10.92,1154.4,2.6940099298948,97.8923132913183,"M","Adult"
"subadult","female",11,-123.54946,44.52605,2011,"Microtus oregoni","Microtus_oregoni",17,127,9.7,2527,5.65001340840458,85.1012294180914,"Fall",62971,10.15,2748.5,5.11697224945075,82.3075540157688,10.14,2404.2,5.45593762897968,86.7499056254463,"F","Adult"
"unknown","female",8,-123.0044,47.9618,1988,"Microtus oregoni","Microtus_oregoni",11.6,109,8.5,1268,5.39816888145668,62.7266467917652,"Summer",63190,8.7,1178,5.3417809229165,75.6937344835364,8.38,1218.2,5.57627340586331,75.5319720696639,"F","NS"
"unknown","female",8,-124.0188,48.0811,1988,"Microtus oregoni","Microtus_oregoni",18.4,122,8.7,2275,4.77578329288569,65.312732756536,"Summer",63174,8.95,2097,4.80894826525934,75.7976464246455,8.48,2164.8,5.01964250356591,79.8596928125285,"F","NS"
