"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",5,-76.451,42.4465,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",25,127,8.5,732,10.2502180316796,31.2532522555778,"Spring",63886,8.7,786.5,9.85081242668487,40.7302057704705,8.22,871.8,10.0786026051778,41.4017260618952,"M","Adult"
"adult","female",7,-84.964334,32.353363,1951,"Microtus pinetorum pinetorum","Microtus_pinetorum",22.2,104,18.8,963,7.2561990216934,54.9806728751659,"Summer",63864,18.6,1034.5,7.11246937257684,51.0009344759785,18.54,1272.4,7.03073084262884,50.6688129361987,"F","Adult"
"adult","female",10,-74.073936,41.754319,1974,"Microtus pinetorum","Microtus_pinetorum",20.4,101,8.8,1125,9.12639777588268,28.9026229979498,"Fall",63887,9.3,1225.5,9.22848818684063,41.1913199909048,8.84,1209.8,9.77392887872318,43.6825244225057,"F","Adult"
"adult","male",11,-76.5094764,42.4381028,1946,"Microtus pinetorum scalopsoides","Microtus_pinetorum",27.5,120,10,854,8.7870902206279,55.5429434270567,"Fall",63937,9.6,955.5,9.5102660655091,48.1024421572107,9.28,914.8,10.0746687279989,47.1288823185272,"M","Adult"
"adult","female",11,-76.45103,42.44652,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",27.2,123,8.9,841,9.45140682169014,50.2071592853632,"Fall",63884,8.6,942,9.63582746037969,49.3061105051789,8.1,876,10.2510414414446,45.4000712353105,"F","Adult"
"adult","female",5,-76.451,42.4465,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",24,123,8.5,732,10.2502180316796,31.2532522555778,"Spring",63862,8.7,786.5,9.85081242668487,40.7302057704705,8.22,871.8,10.0786026051778,41.4017260618952,"F","Adult"
"adult","male",12,-74.08681,41.718614,1976,"Microtus pinetorum","Microtus_pinetorum",31.8,121,8.3,1165,9.66780035149483,45.577525416076,"Winter",63874,8.8,1280,9.4642410722886,42.2369494122211,8.88,1288,9.39441806538334,44.1170935577813,"M","Adult"
"adult","female",10,-76.3652,42.4502,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",28,128,7.7,785,10.3876675131444,32.095335486546,"Fall",63888,7.9,848,9.98597339067378,42.0677087807681,7.44,933.8,10.1967936711486,42.398263295944,"F","Adult"
"adult","male",5,-76.46632,42.44127,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",24,125,8.5,732,10.2499076122961,31.2141416755515,"Spring",63861,8.7,785.5,9.84986161348978,41.0750402297502,8.26,871.2,10.0723121324628,41.5020483643191,"M","Adult"
"adult","male",9,-76.45103,42.44652,1937,"Microtus pinetorum scalopsoides","Microtus_pinetorum",26,126,8.3,1043,9.82024809906923,48.4050617249946,"Fall",63880,8.15,950.5,10.2472776292373,47.8691192709896,8.06,876,10.3228824592286,46.0912353274328,"M","Adult"
"adult","male",11,-76.45103,42.44652,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",34.5,134,8.9,841,9.45140682169014,50.2071592853632,"Fall",63881,8.6,942,9.63582746037969,49.3061105051789,8.1,876,10.2510414414446,45.4000712353105,"M","Adult"
"adult","male",9,-76.451,42.4465,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",26,122,8.9,841,9.45140682169014,50.2071592853632,"Fall",63859,8.6,942,9.64230138160296,49.3061105051789,8.1,876,10.2536310099339,45.4000712353105,"M","Adult"
"adult","female",9,-76.451,42.4465,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",31.1,132,8.9,841,9.45140682169014,50.2071592853632,"Fall",63858,8.6,942,9.64230138160296,49.3061105051789,8.1,876,10.2536310099339,45.4000712353105,"F","Adult"
"adult","male",11,-76.45103,42.44652,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",32,130,8.9,841,9.45140682169014,50.2071592853632,"Fall",63883,8.6,942,9.63582746037969,49.3061105051789,8.1,876,10.2510414414446,45.4000712353105,"M","Adult"
