"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","male",4,-82.50596,41.90342,1909,"Mimus polyglottos polyglottos","Mimus_polyglottos",56.5,NA,9.7,936,9.4678403028357,31.4299573447436,"Spring",64206,10,813.5,9.7773902771439,38.9830628590762,9.64,728,9.93384256747375,44.4254774662488,"M","Adult"
"ad","male",7,-102.9622538,29.1930171,1977,"Mimus polyglottos leucopterus","Mimus_polyglottos",46.7,NA,22,250,8.30733520341019,84.9288900412361,"Summer",64027,20.9,255,8.05375258523916,91.213177780247,21,241.2,7.80452115819934,99.5782543356399,"M","Adult"
"ad","male",5,-103.6601563,30.4422389,1968,"Mimus polyglottos leucopterus","Mimus_polyglottos",48,NA,16,533,6.86777168219706,86.0546399839518,"Spring",64117,16.3,463.5,6.74943689452522,106.778161124219,16.56,376.8,7.12193244218186,104.571849094429,"M","Adult"
"ad","male",10,-103.8499258,30.3941115,1974,"Mimus polyglottos leucopterus","Mimus_polyglottos",58,NA,15,593,6.34165521840244,153.657341598397,"Fall",64025,14.75,524,6.38219473051868,149.408830810719,14.92,465.8,6.19407524028262,130.159858325059,"M","Adult"
"ad","female",5,-103.8942719,30.514949,1976,"Mimus polyglottos leucopterus","Mimus_polyglottos",47,NA,14.4,371,6.49425737000612,100.22170844106,"Spring",64026,14.65,372,6.35821285245493,110.953423050406,15.28,432.8,6.36673017861713,126.575986446507,"F","Adult"
"ad","female",4,-82.01202,45.56271,1965,"Mimus polyglottos polyglottos","Mimus_polyglottos",44,220,4.7,941,9.47207618596511,45.1993593249893,"Spring",64274,5.25,854,9.34210293548459,42.645131316268,5.2,757,10.1364604282316,42.3720316478992,"F","Adult"
"ad","male",1,-79.266667,43.783333,1959,"Mimus polyglottos polyglottos","Mimus_polyglottos",52,NA,7.7,753,11.3536804872279,28.499557591529,"Winter",64033,7.3,659.5,10.8018162228629,35.5005799878793,7.5,719.6,10.3110324415951,38.8752133086868,"M","Adult"
"ad","undetermined",11,-103.8818264,30.5819921,1991,"Mimus polyglottos leucopterus","Mimus_polyglottos",53,NA,15,684,6.32786047426918,120.467478069617,"Fall",64032,15.45,670,6.25603589901654,114.556502499758,15.44,511.2,6.51370133411101,118.310763625064,"NS","Adult"
"ad","female",2,-79.42888,43.655176,1936,"Mimus polyglottos polyglottos","Mimus_polyglottos",51,260,7.2,697,10.9409260867791,43.4126838345316,"Winter",64125,7.2,663,10.7741692232626,39.2510694305612,7.6,708.8,10.5063067517017,38.6171726199388,"F","Adult"
"ad","male",5,-104.2648887,30.6128,1968,"Mimus polyglottos leucopterus","Mimus_polyglottos",47.3,257,13.7,533,6.69918018503124,114.379291461444,"Spring",64023,14,460,6.6156778968244,107.426370542981,14.24,425.4,6.99255571321338,109.833367523635,"M","Adult"
"ad","male",5,-103.6422729,29.9739702,1968,"Mimus polyglottos leucopterus","Mimus_polyglottos",48.8,NA,15.5,495,6.8758250193682,74.1068659727676,"Spring",64022,15.85,417.5,6.77715065088283,93.8732186553048,16.14,350.4,7.13052053253701,93.6304943673765,"M","Adult"
"ad","male",5,-104.2654037,30.6128,1968,"Mimus polyglottos leucopterus","Mimus_polyglottos",48.9,NA,13.7,533,6.69918018503124,114.379291461444,"Spring",64021,14,460,6.6156778968244,107.426370542981,14.24,425.4,6.99255571321338,109.833367523635,"M","Adult"
"ad","undetermined",11,-79.103231,43.237539,2006,"Mimus polyglottos polyglottos","Mimus_polyglottos",58.6,NA,10.5,938,8.65746743708819,39.1135742947039,"Fall",64024,10,862.5,9.75668466850225,39.4027808034368,9.38,849.8,9.76952264832795,38.5032696173109,"NS","Adult"
"ad","male",7,-102.9622538,29.1930171,1977,"Mimus polyglottos leucopterus","Mimus_polyglottos",47.5,NA,22,250,8.30733520341019,84.9288900412361,"Summer",64123,20.9,255,8.05375258523916,91.213177780247,21,241.2,7.80452115819934,99.5782543356399,"M","Adult"
"ad","male",5,-104.952119,25.6203535,1971,"Mimus polyglottos leucopterus","Mimus_polyglottos",58,NA,19.7,383,4.14319449290769,132.972041341058,"Spring",64204,19.55,351.5,4.38444017761939,148.829841614088,19.64,316.6,4.64528650312927,145.359092629559,"M","Adult"
"ad","male",5,-111.532252,24.7170399,1973,"Mimus polyglottos leucopterus","Mimus_polyglottos",47.5,NA,20.6,55,3.32359562504043,125.321524879195,"Spring",64205,21.1,79.5,3.32815384417805,136.168173750466,21.08,64.4,3.32537240292918,159.757149976339,"M","Adult"
"ad","male",6,-103.740995,30.4338023,1977,"Mimus polyglottos leucopterus","Mimus_polyglottos",49.5,NA,16.7,406,7.07689368596309,90.0107612011107,"Summer",64122,15.7,394.5,6.7881641966583,99.3366064497178,15.68,435.8,6.54590013337276,125.451400119032,"M","Adult"
