"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"100%","male",10,-95.6966263,39.0483341,1954,"Mniotilta varia","Mniotilta_varia",12.5,NA,13.8,845,10.2905369886684,89.9334865400063,"Fall",64290,13.65,747,10.0713182209499,73.320380942892,12.36,878.2,10.0237416321088,81.3201327644496,"M","NS"
"ad","male",6,-81.59189,52.25485,1942,"Mniotilta varia","Mniotilta_varia",10,NA,-1.5,703,13.437904327955,49.7651862110958,"Summer",64363,-1.45,690.5,13.1476696947848,55.2194091664825,-1.58,653.4,13.333692777855,57.2911344027675,"M","Adult"
"ad","male",6,-79.75435,51.14935,1982,"Mniotilta varia","Mniotilta_varia",9,NA,-0.8,732,13.6119265886408,45.4362182397203,"Summer",64346,0,665.5,12.6869611997474,49.3552522876406,-0.72,716,13.0224742214525,50.9273795061304,"M","Adult"
"ad","male",5,-79.466941,43.768856,1995,"Mniotilta varia","Mniotilta_varia",11.4,NA,7.5,872,10.6831607795832,43.1134984519486,"Spring",64354,7.3,819,10.8375482644055,38.043033233563,7.38,834.2,10.2248265045967,39.7095807549865,"M","Adult"
"ad","male",9,-80.05214,42.79957,1970,"Mniotilta varia","Mniotilta_varia",10.2,134,8.4,910,10.5680335603807,37.9925835072968,"Fall",64594,8.35,883.5,10.2045211889236,43.1537013284149,8.22,878.4,9.9239714880641,37.9682519105975,"M","Adult"
"ad","female",9,-80.07309,42.80729,1970,"Mniotilta varia","Mniotilta_varia",10.4,NA,8.4,908,10.5469046155589,38.025836374342,"Fall",64592,8.35,883.5,10.1921935239358,43.362790912771,8.2,879.6,9.92012317922461,38.1816555394518,"F","Adult"
"ad","female",5,-79.372722,43.73418,1973,"Mniotilta varia","Mniotilta_varia",10.6,NA,8.4,822,10.2319871289042,37.5482130486895,"Spring",64352,7.55,856,10.2456459243429,32.3016247220238,7.5,776,10.4516779525964,37.2025756261326,"F","Adult"
"ad","female",9,-80.05214,42.79957,1970,"Mniotilta varia","Mniotilta_varia",10.5,135,8.4,910,10.5680335603807,37.9925835072968,"Fall",64659,8.35,883.5,10.2045211889236,43.1537013284149,8.22,878.4,9.9239714880641,37.9682519105975,"F","Adult"
"ad","male",5,-80.07309,42.80729,1975,"Mniotilta varia","Mniotilta_varia",10.9,NA,9.1,969,9.5282792812032,37.9210989349835,"Spring",64597,8.65,933.5,9.39317146227453,37.9251570038422,8.54,917.8,9.61862362219874,34.4119036520214,"M","Adult"
"ad","male",9,-80.05214,42.79957,1970,"Mniotilta varia","Mniotilta_varia",11,133,8.4,910,10.5680335603807,37.9925835072968,"Fall",64588,8.35,883.5,10.2045211889236,43.1537013284149,8.22,878.4,9.9239714880641,37.9682519105975,"M","Adult"
"ad","female",9,-80.07309,42.80729,1970,"Mniotilta varia","Mniotilta_varia",11.5,136,8.4,908,10.5469046155589,38.025836374342,"Fall",64671,8.35,883.5,10.1921935239358,43.362790912771,8.2,879.6,9.92012317922461,38.1816555394518,"F","Adult"
"ad","male",9,-80.05214,42.79957,1970,"Mniotilta varia","Mniotilta_varia",9.9,129,8.4,910,10.5680335603807,37.9925835072968,"Fall",64657,8.35,883.5,10.2045211889236,43.1537013284149,8.22,878.4,9.9239714880641,37.9682519105975,"M","Adult"
"ad","male",5,-79.25011,43.77661,2002,"Mniotilta varia","Mniotilta_varia",10.1,NA,8.4,771,9.62931131305019,28.348430866026,"Spring",64366,8.6,745.5,9.66830938804062,32.6447762301738,8.66,753.4,9.64447889860425,40.904501993779,"M","Adult"
"ad","male",6,-80.46841,45.72264,1978,"Mniotilta varia","Mniotilta_varia",9,NA,4.4,852,11.4075832035298,46.808322366911,"Summer",64343,4.8,888.5,11.1695579956686,42.9146676119442,4.96,887.6,11.0160362648586,36.3647872955044,"M","Adult"
"ad","female",9,-80.05214,42.79957,1970,"Mniotilta varia","Mniotilta_varia",9.9,127,8.4,910,10.5680335603807,37.9925835072968,"Fall",64653,8.35,883.5,10.2045211889236,43.1537013284149,8.22,878.4,9.9239714880641,37.9682519105975,"F","Adult"
"ad","female",5,-79.380261,43.648655,1995,"Mniotilta varia","Mniotilta_varia",9.7,NA,8.1,842,10.6806643477403,42.8300756341076,"Spring",64479,7.9,799,10.8210836153822,37.2651337699348,7.98,816.6,10.2098653008834,38.9774209788817,"F","Adult"
"ad","male",6,-80.45638,45.70165,1978,"Mniotilta varia","Mniotilta_varia",8.7,NA,4.4,857,11.3947223296444,46.6763789344193,"Summer",64340,4.8,894,11.1540848460556,42.9652715209849,4.94,894.8,11.0062851937051,36.3876610141589,"M","Adult"
