"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",10,-93.5833333,45.3,1926,"Mustela erminea bangsi","Mustela_erminea",141,NA,5.8,761,11.9824745762174,94.1031773336835,"Fall",67287,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","male",10,-93.5833333,45.3,1926,"Mustela erminea bangsi","Mustela_erminea",161,NA,5.8,761,11.9824745762174,94.1031773336835,"Fall",67411,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","male",7,-107.0274,39.0082833333,2010,"Mustela erminea","Mustela_erminea",47.75,220,0.1,1319,8.26656280482164,72.7857105597337,"Summer",67180,-0.15,1241.5,8.14403163450487,65.6189197113476,-0.06,1369,8.08719450875247,73.2235428699082,"M","Adult"
"adult","male",1,-148.39,64.39,2004,"Mustela erminea","Mustela_erminea",145,345,-1.9,245,15.3020398719394,71.7561531516725,"Winter",67266,-1.85,261.5,14.2571852725735,86.3670259478108,-1.82,289.6,13.3866328343227,104.50369438448,"M","Adult"
"adult","male",8,-130.2351,57.4234,2007,"Mustela erminea","Mustela_erminea",182,330,0.2,648,9.4026551698137,50.2567908267785,"Summer",67195,0.05,639.5,9.54644970239092,47.3500511561055,0.84,651.2,9.22527333649596,47.5236038224611,"M","Adult"
"adult","female",8,-130.2351,57.4234,2007,"Mustela erminea","Mustela_erminea",75,263,0.2,648,9.4026551698137,50.2567908267785,"Summer",67043,0.05,639.5,9.54644970239092,47.3500511561055,0.84,651.2,9.22527333649596,47.5236038224611,"F","Adult"
"adult","male",11,-93.5833333,45.3,1926,"Mustela erminea bangsi","Mustela_erminea",87,NA,5.8,761,11.9824745762174,94.1031773336835,"Fall",67288,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","female",7,-75.9696921,43.1555224,1999,"Mustela erminea","Mustela_erminea",71.6,208,9.2,914,10.2294102143444,56.0773067011796,"Summer",66844,9.6,956.5,9.51961584819336,45.6090790218536,8.8,997.2,9.85296048362314,40.5834938236212,"F","Adult"
"adult","female",12,-148.16,64.39,2003,"Mustela erminea","Mustela_erminea",88,273,-1.6,267,13.1418369639818,97.4096358110472,"Winter",67264,-1.3,298,12.7055491295375,106.764592375896,-2.24,297.6,13.5493150336218,107.40290862607,"F","Adult"
"adult","female",11,-93.5833333,45.3,1925,"Mustela erminea bangsi","Mustela_erminea",60,NA,6.5,566,11.9468868773671,102.999414754672,"Fall",67285,5.9,645.5,12.1477839751786,96.4054314161921,6.74,612.6,12.4192582297494,82.4094253573053,"F","Adult"
"adult","female",8,-134.4083333333,58.3041666667,2000,"Mustela erminea alascensis","Mustela_erminea",74,258,5,2227,5.34202180543069,43.1484262765691,"Summer",67401,4.85,2463.5,5.45583177177089,42.9735218949652,4.74,2387.2,6.13044905865941,40.076174817249,"F","Adult"
"adult","male",10,-93.5833333,45.3,1926,"Mustela erminea bangsi","Mustela_erminea",99.2,NA,5.8,761,11.9824745762174,94.1031773336835,"Fall",67413,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","female ?",8,-117.89709,49.20203,2007,"Mustela erminea","Mustela_erminea",107,275,3.8,807,8.14018743734759,51.3627911431168,"Summer",67045,4.05,895,8.00556517785891,61.2711372361401,4.02,913.2,7.95238563905596,54.7837932915436,"NS","Adult"
"adult","male",12,-148.39,64.39,2003,"Mustela erminea","Mustela_erminea",118.4,NA,-1.8,278,13.2123306732076,100.977898743949,"Winter",67382,-1.45,309,12.7682561860123,109.342837413576,-2.36,307.2,13.6272531662036,109.744031577459,"M","Adult"
"adult","female",10,-93.5833333,45.3,1926,"Mustela erminea bangsi","Mustela_erminea",72,NA,5.8,761,11.9824745762174,94.1031773336835,"Fall",67412,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"F","Adult"
"adult","male",1,-148.39,64.39,2004,"Mustela erminea","Mustela_erminea",163.5,343,-1.9,245,15.3020398719394,71.7561531516725,"Winter",67265,-1.85,261.5,14.2571852725735,86.3670259478108,-1.82,289.6,13.3866328343227,104.50369438448,"M","Adult"
"immature","female",6,-74.835438,41.981478,1951,"Mustela erminea cicognanii","Mustela_erminea",49.7,196,7,1211,8.91391489682725,23.302187569018,"Summer",66841,6.7,1178,9.08356650512421,24.6212278174381,7.04,1143.4,9.60969504144814,37.1023626603677,"F","Juvenile"
"subadult","female",8,-117.93947,49.25795,2007,"Mustela erminea","Mustela_erminea",53,242,5.3,815,8.35055342023763,50.6190840094309,"Summer",66877,5.5,898.5,8.18574360275983,62.3521599096604,5.46,915,8.13035417814918,55.7979867129442,"F","Adult"
"subadult","male",7,-116.026,41.6959,2010,"Mustela erminea","Mustela_erminea",60,227,6.4,617,7.93787907708503,73.4661613749528,"Summer",67066,6.2,560,8.41801800968957,69.845365686431,6.48,470.2,8.60252106877309,71.0151585734753,"M","Adult"
"unknown","female",7,-122.6670845,46.9485191,1992,"Mustela erminea","Mustela_erminea",28.2,206,11.4,967,5.13399248030992,80.4428726023978,"Summer",67007,10.95,1030,5.09443280831263,75.2212049775972,10.58,1118.8,5.32603052230093,78.240850645883,"F","NS"
"unknown","male",10,-121.8917,46.7900192,1985,"Mustela erminea","Mustela_erminea",110.3,261,5.9,1540,6.87727923651277,70.481250657204,"Fall",67167,6,1924,6.28892867855759,67.4420662821645,6.38,2120.6,5.93473795777182,69.9895063214356,"M","NS"
"unknown","female",8,-122,47.1,1999,"Mustela erminea","Mustela_erminea",66,243,8.5,1693,4.50450952497673,67.6009218247132,"Summer",67415,8.95,1647.5,4.90169724243494,76.7336391611719,9.08,1787,5.07301542953036,66.067348785575,"F","NS"
"unknown","female",10,-122.0204663,45.8858,1985,"Mustela erminea","Mustela_erminea",49.7,213,7,1808,7.26566750150489,74.0882112889403,"Fall",67161,7.3,2299.5,6.6365025932102,74.6743000998458,7.76,2563.2,6.19247655146809,80.0607809368982,"F","NS"
"unknown","female",7,-121.8192,47.8608,1979,"Mustela erminea","Mustela_erminea",44.9,217,11,1230,6.0933396326471,90.0182139384441,"Summer",66990,10.95,1198,5.85723901889164,65.2888752148585,10.64,1340,5.48757522314253,60.9586976537392,"F","NS"
"unknown","female",7,-122.0444,46.9709746,1982,"Mustela erminea","Mustela_erminea",45,212,7.4,1816,5.60121063753726,63.9893223671325,"Summer",67009,7.85,1832,5.13308351704928,59.3404555165078,7.86,1680,5.24315160718407,60.728549512876,"F","NS"
"unknown","male",5,-121.8132592,46.6861,1986,"Mustela erminea","Mustela_erminea",67.3,237,7.1,1992,5.587241960688,70.92956772083,"Spring",67165,6.45,1742,6.25158006925845,70.3279686483863,6.32,2000.2,6.00187952835625,72.0949331451227,"M","NS"
"unknown","male",1,-120.33261,48.28089,1981,"Mustela erminea","Mustela_erminea",110.5,NA,3.1,826,6.29268454539704,76.0935217843991,"Winter",66989,2.85,786.5,6.71172720240383,80.7228237192815,2.96,713,7.31501722873707,90.0599605234005,"M","NS"
"unknown","female",7,-123.0242,47.9317,1990,"Mustela erminea","Mustela_erminea",31.3,200,6.5,1851,6.21315808050409,78.5718984971919,"Summer",67171,6.45,1603,6.05614243886281,76.6639732757905,6.54,1473.2,5.61820691661826,79.6103447559985,"F","NS"
"unknown","female",10,-121.567176,46.7184192,1985,"Mustela erminea","Mustela_erminea",53,214,7.2,1230,7.19650588617122,74.038315518635,"Fall",67004,7.35,1556,6.59972669725533,72.8942869068757,7.86,1705.8,6.16704801024144,79.3786200251466,"F","NS"
"unknown","female",8,-123.9354,46.4112194,1989,"Mustela erminea","Mustela_erminea",43.7,229,10.4,1663,4.55737830004236,65.8334744813879,"Summer",67153,10.4,1700.5,4.12171449554479,68.0707264060553,10.24,1656.8,4.04786300392036,72.0943593546008,"F","NS"
