"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",9,-121.72019,44.51035,2012,"Myodes californicus","Myodes_californicus",25,153,7.4,1235,6.24562877442126,74.3913050904571,"Fall",186076,6.95,1067.5,6.39886094680133,74.3809246169241,7.06,976.2,6.54522304513665,80.789375386908,"M","Adult"
"class.","male",9,-122.0892,44.39946,2012,"Myodes californicus","Myodes_californicus",16,135,6.7,3375,5.72084836895771,70.0957799692899,"Fall",186123,6.3,2958.5,5.89867465293779,73.346518267063,6.46,2732,6.01827302042474,69.3258284794697,"M","NS"
"mature","female",11,-122.2380791,43.2606936,1996,"Myodes californicus","Myodes_californicus",22,143,7.4,2316,6.30322187937297,86.832020557396,"Fall",186126,7.45,2176.5,5.99463469810095,82.8908392538234,7.42,1667,6.3850941283622,83.6122636583721,"F","Adult"
"unknown","female",9,-122.1767,44.2914,1983,"Clethrionomys californicus","Myodes_californicus",5.9,111,8.7,2725,5.19927151074304,72.0204342564401,"Fall",186655,8.35,2459.5,5.60935171398209,69.8141952693991,8.56,2235,5.64906539796395,76.646326503128,"F","NS"
"unknown","female",8,-123.673,43.4551,1988,"Clethrionomys californicus","Myodes_californicus",8.7,91,11.1,1330,5.23215582197764,111.800572080325,"Summer",186607,11.3,1329,5.23067490177773,116.724814369989,10.98,1358.2,5.24925219327919,101.969436046823,"F","NS"
"unknown","female",8,-123.673,43.4551,1988,"Clethrionomys californicus","Myodes_californicus",9.4,97,11.1,1330,5.23215582197764,111.800572080325,"Summer",186606,11.3,1329,5.23067490177773,116.724814369989,10.98,1358.2,5.24925219327919,101.969436046823,"F","NS"
"unknown","female",9,-122.1567,44.2914,1983,"Clethrionomys californicus","Myodes_californicus",9.8,100,8.4,2789,5.17080235260418,70.859112812666,"Fall",186420,8.05,2516,5.57911618368916,68.5971546440914,8.28,2284.4,5.62008095845607,75.4265321446264,"F","NS"
"unknown","female",8,-121.9915,44.1351,1983,"Clethrionomys californicus","Myodes_californicus",10,108,8.6,2462,5.2678844008393,75.3403159913341,"Summer",186442,8.2,2211.5,5.68759128426552,69.9155274849452,8.46,2010,5.70199183245218,76.1069884211578,"F","NS"
"unknown","female",8,-121.9915,44.1351,1983,"Clethrionomys californicus","Myodes_californicus",10,107,8.6,2462,5.2678844008393,75.3403159913341,"Summer",186444,8.2,2211.5,5.68759128426552,69.9155274849452,8.46,2010,5.70199183245218,76.1069884211578,"F","NS"
"unknown","female",8,-123.673,43.4551,1988,"Clethrionomys californicus","Myodes_californicus",10.2,117,11.1,1330,5.23215582197764,111.800572080325,"Summer",186609,11.3,1329,5.23067490177773,116.724814369989,10.98,1358.2,5.24925219327919,101.969436046823,"F","NS"
"unknown","female",8,-121.9915,44.1351,1983,"Clethrionomys californicus","Myodes_californicus",20.2,140,8.6,2462,5.2678844008393,75.3403159913341,"Summer",186443,8.2,2211.5,5.68759128426552,69.9155274849452,8.46,2010,5.70199183245218,76.1069884211578,"F","NS"
"unknown","female",8,-123.6334,43.3967,1988,"Clethrionomys californicus","Myodes_californicus",20.2,131,11.1,1191,5.18549112252814,110.163233483628,"Summer",186588,11.3,1184.5,5.20421139253179,114.818949109707,10.98,1224,5.23939061082466,99.8693677544979,"F","NS"
"unknown","female",7,-123.201,42.8753,1989,"Clethrionomys californicus","Myodes_californicus",26.1,146,10.6,742,5.95060475663583,89.484425384111,"Summer",186708,11,779.5,5.9056652423932,96.9245747324955,11.12,799.8,5.963525316351,92.8236292611234,"F","NS"
"unknown","female",7,-123.3951,43.7459,1989,"Clethrionomys californicus","Myodes_californicus",22.3,150,11.3,995,5.81400477426288,83.2223698472667,"Summer",186518,11.5,1144,5.65402212208829,93.8811190155953,11.44,1172.6,5.67896870423419,92.180569985563,"F","NS"
"unknown","female",5,-121.9915,44.1351,1983,"Clethrionomys californicus","Myodes_californicus",20.3,128,8.6,2462,5.2678844008393,75.3403159913341,"Spring",186414,8.2,2211.5,5.68759128426552,69.9155274849452,8.46,2010,5.70199183245218,76.1069884211578,"F","NS"
"unknown","female",8,-123.3951,43.7459,1988,"Clethrionomys californicus","Myodes_californicus",20.3,143,11.7,1293,5.49403946991371,104.539868183924,"Summer",186810,11.85,1238,5.50015500004624,108.73296081783,11.38,1299.4,5.55642849758008,95.1280817998324,"F","NS"
"unknown","female",5,-122.1519,44.1495,1983,"Clethrionomys californicus","Myodes_californicus",11.5,111,9.6,2388,5.39266477108798,72.243772115691,"Spring",186449,9.25,2149,5.79376534028101,68.8698894565626,9.48,1952.2,5.79372823369755,75.3763538940672,"F","NS"
"unknown","female",7,-123.3951,43.7459,1989,"Clethrionomys californicus","Myodes_californicus",20.4,152,11.3,995,5.81400477426288,83.2223698472667,"Summer",186499,11.5,1144,5.65402212208829,93.8811190155953,11.44,1172.6,5.67896870423419,92.180569985563,"F","NS"
"unknown","female",5,-122.2321,44.2072,1983,"Clethrionomys californicus","Myodes_californicus",11.5,109,9.8,2660,5.41854279863194,75.7772948624682,"Spring",186680,9.45,2404,5.81248332285974,74.0953520662342,9.64,2187.4,5.83222743948067,80.2525345680252,"F","NS"
"unknown","female",7,-123.3951,43.7459,1989,"Clethrionomys californicus","Myodes_californicus",22.4,148,11.3,995,5.81400477426288,83.2223698472667,"Summer",186498,11.5,1144,5.65402212208829,93.8811190155953,11.44,1172.6,5.67896870423419,92.180569985563,"F","NS"
"unknown","female",7,-123.201,42.8753,1989,"Clethrionomys californicus","Myodes_californicus",20.4,139,10.6,742,5.95060475663583,89.484425384111,"Summer",186720,11,779.5,5.9056652423932,96.9245747324955,11.12,799.8,5.963525316351,92.8236292611234,"F","NS"
"unknown","female",7,-123.3951,43.7459,1989,"Clethrionomys californicus","Myodes_californicus",17.15,108,11.3,995,5.81400477426288,83.2223698472667,"Summer",186738,11.5,1144,5.65402212208829,93.8811190155953,11.44,1172.6,5.67896870423419,92.180569985563,"F","NS"
"unknown","female",5,-122.2521,44.2072,1983,"Clethrionomys californicus","Myodes_californicus",12.1,105,10,2663,5.49867063824328,76.5405936726036,"Spring",186657,9.65,2410,5.89222954115793,75.0475788644645,9.84,2195.2,5.91358826897453,81.0280649645251,"F","NS"
"unknown","female",8,-123.3951,43.7459,1988,"Clethrionomys californicus","Myodes_californicus",25.5,142,11.7,1293,5.49403946991371,104.539868183924,"Summer",186580,11.85,1238,5.50015500004624,108.73296081783,11.38,1299.4,5.55642849758008,95.1280817998324,"F","NS"
"unknown","female",7,-123.201,42.8753,1989,"Clethrionomys californicus","Myodes_californicus",12.3,115,10.6,742,5.95060475663583,89.484425384111,"Summer",186493,11,779.5,5.9056652423932,96.9245747324955,11.12,799.8,5.963525316351,92.8236292611234,"F","NS"
"unknown","female",5,-121.9915,44.1351,1983,"Clethrionomys californicus","Myodes_californicus",17.4,130,8.6,2462,5.2678844008393,75.3403159913341,"Spring",186415,8.2,2211.5,5.68759128426552,69.9155274849452,8.46,2010,5.70199183245218,76.1069884211578,"F","NS"
"unknown","female",7,-123.201,42.8753,1989,"Clethrionomys californicus","Myodes_californicus",17.4,127,10.6,742,5.95060475663583,89.484425384111,"Summer",186547,11,779.5,5.9056652423932,96.9245747324955,11.12,799.8,5.963525316351,92.8236292611234,"F","NS"
