"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",7,-134.58634,58.41169,2013,"Myotis californicus","Myotis_californicus",7.4,NA,5.8,1562,6.80767726151657,44.6951205315118,"Summer",70923,5.25,1694.5,6.53856591578886,36.0524622290214,5.38,1832.2,6.5002749062955,51.2219621409993,"F","Adult"
"adult","female",4,-122.12219,37.81504,2010,"Myotis californicus","Myotis_californicus",3.8,80.5,14.2,803,4.13619463524216,103.036427172872,"Spring",71063,14.15,688.5,4.27821095106333,112.045608715361,13.98,600.8,4.3701871304901,128.077505482051,"F","Adult"
"adult","male",6,-134.58589,58.411013,2013,"Myotis californicus","Myotis_californicus",5.1,NA,5.8,1571,6.79364118908709,44.6327538460203,"Summer",71015,5.25,1704.5,6.53235435607395,36.0035782257213,5.38,1842.4,6.49832600629602,51.1806556347971,"M","Adult"
"adult","female",7,-134.58634,58.41169,2013,"Myotis californicus","Myotis_californicus",6.9,NA,5.8,1562,6.80767726151657,44.6951205315118,"Summer",70929,5.25,1694.5,6.53856591578886,36.0524622290214,5.38,1832.2,6.5002749062955,51.2219621409993,"F","Adult"
"adult","female",11,-122.116743,37.812208,2004,"Myotis californicus ssp.","Myotis_californicus",4.7,75,14.7,631,4.31343040029416,124.627335641566,"Fall",70913,14.55,622.5,4.32551514062527,120.247587811555,14.28,674.6,4.19700781716275,135.085643006002,"F","Adult"
"adult","female",5,-134.5971,58.331562,2013,"Myotis californicus","Myotis_californicus",5,NA,5.5,1671,6.7107049261654,43.4877541833281,"Spring",70924,4.95,1815.5,6.44789909926617,35.6467106585905,5.08,1956.2,6.43252645612745,49.6709098304307,"F","Adult"
"adult","female",7,-134.58638,58.41152,2013,"Myotis californicus","Myotis_californicus",6.1,NA,5.8,1562,6.80767726151657,44.6951205315118,"Summer",71016,5.25,1694.5,6.53856591578886,36.0524622290214,5.38,1832.2,6.5002749062955,51.2216064664924,"F","Adult"
"adult","male",6,-134.58589,58.411013,2013,"Myotis californicus","Myotis_californicus",4.9,NA,5.8,1571,6.79364118908709,44.6327538460203,"Summer",71014,5.25,1704.5,6.53235435607395,36.0035782257213,5.38,1842.4,6.49832600629602,51.1806556347971,"M","Adult"
"adult","female",7,-134.58634,58.41169,2013,"Myotis californicus","Myotis_californicus",8.2,NA,5.8,1562,6.80767726151657,44.6951205315118,"Summer",70922,5.25,1694.5,6.53856591578886,36.0524622290214,5.38,1832.2,6.5002749062955,51.2219621409993,"F","Adult"
"adult","undetermined",8,-120.37606,39.74755,1966,"Myotis californicus","Myotis_californicus",4,68,8.3,328,7.01524314358643,147.45419529878,"Summer",71134,7.85,436.5,6.62359641803704,120.454188021355,7.64,550.4,6.79750719269056,126.692318659369,"NS","Adult"
"adult","female",6,-134.94144,58.6551,2011,"Myotis californicus","Myotis_californicus",8.2,NA,5.1,1875,6.43867928298117,53.0453799381405,"Summer",70926,5.7,1845,6.20440347005541,58.1567362720986,5.22,1881,6.57787091704469,57.0924889317312,"F","Adult"
"adult","female",6,-134.94179,58.65677,2011,"Myotis californicus","Myotis_californicus",6.8,NA,5.1,1849,6.40231965538249,53.3031196527034,"Summer",70925,5.75,1819.5,6.19766031184191,58.3467045214245,5.26,1856,6.57365656508355,57.2659571999919,"F","Adult"
"adult","female",4,-134.59527,58.33173,2013,"Myotis californicus","Myotis_californicus",5.2,NA,5.5,1684,6.74918625846962,43.4221086539538,"Spring",70927,4.95,1829.5,6.46971392288289,35.6354899320745,5.08,1971,6.43982956477925,49.7148611025282,"F","Adult"
"adult","female",7,-134.73824,58.51512,2012,"Myotis californicus","Myotis_californicus",7.3,NA,4.5,1882,6.33121176586619,27.8660149268819,"Summer",70920,4.7,1931.5,6.38426302340003,40.0110668016832,4.98,1965,6.48960048108499,47.9224306675416,"F","Adult"
