"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","female",5,-134.59887,58.33136,2013,"Myotis lucifugus","Myotis_lucifugus",5.8,NA,5.5,1657,6.74543055210958,43.2755051108042,"Spring",71769,4.95,1800.5,6.4567989275949,35.5306440619104,5.1,1940,6.42891058664532,49.6027188376724,"F","Adult"
"adult","female",5,-93.5833333,45.3,1922,"Myotis lucifugus lucifugus","Myotis_lucifugus",2,NA,7,621,13.1500316856399,56.7227637349106,"Spring",72180,7.6,608,12.5875154490695,67.7946499892473,6.86,684.8,12.4769170030463,73.832404382349,"F","Adult"
"adult","female",5,-93.5833333,45.3,1922,"Myotis lucifugus lucifugus","Myotis_lucifugus",2,NA,7,621,13.1500316856399,56.7227637349106,"Spring",72179,7.6,608,12.5875154490695,67.7946499892473,6.86,684.8,12.4769170030463,73.832404382349,"F","Adult"
"adult","female",8,-93.5833333,45.3,1926,"Myotis lucifugus lucifugus","Myotis_lucifugus",7.3,NA,5.8,761,11.9824745762174,94.1031773336835,"Summer",72186,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"F","Adult"
"adult","female",5,-93.5833333,45.3,1922,"Myotis lucifugus lucifugus","Myotis_lucifugus",2,NA,7,621,13.1500316856399,56.7227637349106,"Spring",72184,7.6,608,12.5875154490695,67.7946499892473,6.86,684.8,12.4769170030463,73.832404382349,"F","Adult"
"adult","female",4,-134.59566,58.33196,2013,"Myotis lucifugus","Myotis_lucifugus",6.9,NA,5.5,1682,6.74918625846962,43.3441851367696,"Spring",71362,4.95,1828,6.47382018341031,35.5904530103731,5.08,1969.6,6.44253821057687,49.6869328926778,"F","Adult"
"adult","female",5,-134.59887,58.33136,2013,"Myotis lucifugus","Myotis_lucifugus",6.3,NA,5.5,1657,6.74543055210958,43.2755051108042,"Spring",71807,4.95,1800.5,6.4567989275949,35.5306440619104,5.1,1940,6.42891058664532,49.6027188376724,"F","Adult"
"adult","female",6,-134.57227,58.4033,2013,"Myotis lucifugus","Myotis_lucifugus",6.3,NA,5.7,1592,6.78627737467756,44.5264032401832,"Summer",71302,5.15,1727,6.52044692577353,35.9595829348343,5.28,1867,6.48939502543599,51.1458880705329,"F","Adult"
"adult","female",6,-134.57227,58.4033,2013,"Myotis lucifugus","Myotis_lucifugus",6.9,NA,5.7,1592,6.78627737467756,44.5264032401832,"Summer",71399,5.15,1727,6.52044692577353,35.9595829348343,5.28,1867,6.48939502543599,51.1458880705329,"F","Adult"
"adult","female",5,-132.147204,54.011367,1975,"Myotis lucifugus alascensis","Myotis_lucifugus",6,85,6.3,1486,4.68391024161599,55.5073945904851,"Spring",72047,6.7,1512.5,4.72695797958272,62.902629532403,6.56,1476.8,4.89585510207698,52.1596658899379,"F","Adult"
"adult","female",8,-93.5833333,45.3,1921,"Myotis lucifugus lucifugus","Myotis_lucifugus",2,NA,8.2,595,12.0249992124992,78.866536243584,"Summer",72191,7.3,682,12.3073553101822,83.2630958617673,6.28,693.8,12.5343201428997,75.975241071487,"F","Adult"
"adult","female",5,-134.59887,58.33136,2013,"Myotis lucifugus","Myotis_lucifugus",6.2,NA,5.5,1657,6.74543055210958,43.2755051108042,"Spring",71317,4.95,1800.5,6.4567989275949,35.5306440619104,5.1,1940,6.42891058664532,49.6027188376724,"F","Adult"
"adult","female",8,-112.034137,43.466581,1997,"Myotis lucifugus carissima","Myotis_lucifugus",5.9,99,6.7,403,9.37011286759744,42.2716839583207,"Summer",71275,6.95,374.5,9.23954140285212,60.3475105835615,6.9,366.2,9.22026867090527,59.3015416251897,"F","Adult"
"adult","female",6,-134.57041,58.40655,2013,"Myotis lucifugus","Myotis_lucifugus",6.2,NA,5.7,1599,6.79585435126713,44.7584034163692,"Summer",71394,5.15,1734.5,6.52523541406831,36.0788745864108,5.28,1876,6.48555066558227,51.3248255712343,"F","Adult"
"adult","female",6,-152.1166666667,57.6166666667,1991,"Myotis lucifugus","Myotis_lucifugus",7.4,93,5.2,2270,5.33128985473042,52.9687998159036,"Summer",71516,5.15,1903,5.74114377825398,43.0432504238641,5.32,1805,5.56160087744801,50.6400688765452,"F","Adult"
