"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",6,-106.317307,42.858114,1997,"Myotis volans interior","Myotis_volans",5.7,91,7.5,342,9.61934209934559,58.3316331632582,"Summer",72346,7.6,287.5,9.59726549846026,79.5491978777411,8.18,338.8,9.33448378053668,85.9412754531497,"M","Adult"
"adult","female",6,-108.48652,37.183363,2006,"Myotis volans","Myotis_volans",8,96,9.9,388,8.34111757645475,82.3919577399692,"Summer",72341,9.9,453,8.25514502149137,78.8868865482329,9.96,411.6,8.54772067942399,89.0885404078606,"F","Adult"
"adult","undetermined",7,-132.3872222222,56.4780555556,1991,"Myotis volans","Myotis_volans",8.3,92,6.5,2917,5.23145353229923,53.7883857940038,"Summer",72505,6.35,2501.5,6.05000969602366,50.4186486602298,6.52,2565,5.68313956043071,55.7490755288674,"NS","Adult"
"adult","male",6,-106.9670818,44.8157469,1997,"Myotis volans interior","Myotis_volans",5.7,99,6.3,398,9.84197873674524,76.165811981086,"Summer",72523,6.1,371,10.5959476514926,82.8383339383691,6.64,382.4,10.0602259503672,79.2150581351561,"M","Adult"
"adult","male",7,-106.997356,38.965535,1981,"Myotis volans","Myotis_volans",6.1,90,3.5,673,7.0398164146173,54.4369209833334,"Summer",72335,2.85,777,7.2590946364019,69.4576407043825,2,770.2,8.08595881999531,71.8366335758502,"M","Adult"
"adult","male",7,-109.86028,42.86667,1997,"Myotis volans interior","Myotis_volans",7.2,97,1.4,284,9.7486090693944,67.8054026733331,"Summer",72347,1.8,290,9.6282721758716,68.9224521424557,1.84,296.2,9.48095290902829,63.575034268404,"M","Adult"
"adult","undetermined",7,-132.3872222222,56.4780555556,1991,"Myotis volans","Myotis_volans",7.5,91,6.5,2917,5.23145353229923,53.7883857940038,"Summer",72506,6.35,2501.5,6.05000969602366,50.4186486602298,6.52,2565,5.68313956043071,55.7490755288674,"NS","Adult"
"juvenile","female",10,-110.931869,42.724928,1997,"Myotis volans interior","Myotis_volans",7.6,91,3.8,552,9.09760208166765,46.692062393433,"Fall",72345,4.25,559.5,8.95578585491194,54.4361684570571,4.26,525.2,8.75500617974602,52.0724042392272,"F","Juvenile"
"juvenile","male",9,-107.181681,39.684544,1997,"Myotis volans interior","Myotis_volans",7.6,92,4,827,8.00255167639256,50.0116841217314,"Fall",72349,4.6,825,8.0671444881637,51.8767106039265,5.04,766.8,7.97859138555409,47.3825274583538,"M","Juvenile"
"juvenile","male",7,-107.32012,36.98967,1998,"Myotis volans","Myotis_volans",7,NA,8.6,471,8.22724133595217,92.9539619209639,"Summer",72453,8.35,528,8.27075218192202,75.7897073973822,9.54,458.2,8.0208710520261,64.1273542540728,"M","Juvenile"
"unknown","male",10,-118.0547,48.6108,1995,"Myotis volans","Myotis_volans",5.85,90,8.7,546,8.09492920215358,52.0834195034395,"Fall",72427,9,480,8.48267794704363,56.6149552490395,8.64,455.4,8.53345442851804,57.013575848564,"M","NS"
"unknown","male",9,-122.5453,45.7331,1995,"Myotis volans","Myotis_volans",6.15,81,12.2,1588,5.35899131169177,69.0346333269026,"Fall",72426,12,1440.5,5.69191942578546,72.9180677228291,11.86,1240.8,5.73206771449615,73.3121611033273,"M","NS"
"unknown","undetermined",9,-117.9044,48.5467,1993,"Myotis volans","Myotis_volans",7.35,87,7.6,432,8.96300054601576,47.7016756172634,"Fall",72428,8.35,436.5,8.59657556964216,51.1590932931307,8.18,459.6,8.61207192562643,55.6727736647956,"NS","NS"
"unknown","female",7,-119.8986422,47.4879807,1984,"Myotis volans","Myotis_volans",6.6,90,7.9,294,9.14459601970674,78.4651726496889,"Summer",72488,8.3,360.5,8.92704768084132,74.9037246247734,8.46,314.4,8.867236355172,66.4996843878359,"F","NS"
"unknown","male",8,-121.3589,47.7094,1989,"Myotis volans","Myotis_volans",7.6,95,8.2,2017,6.1415808348922,77.093074062619,"Summer",72425,8.35,2208.5,5.83000020221485,74.1302386654657,8.26,2097.6,6.0313989705607,80.2268321525635,"M","NS"
"unknown","female",10,-118.1922424,37.2435065,1963,"Myotis volans","Myotis_volans",10,95,9.8,381,7.19677431951709,83.7345238180103,"Fall",72487,9.85,311,7.32656355612503,106.777860595834,10.26,187.4,7.67096088771251,119.269244612249,"F","NS"
NA,"female",8,-109.060793,36.171546,1981,"Myotis volans","Myotis_volans",3.4,82,8.9,354,7.60099674484548,103.39109347785,"Summer",72516,8.55,366.5,7.56157041092291,91.1682740000527,8.12,380.4,8.11763255572603,85.5660453507488,"F","NS"
NA,"female",5,-118.31667,37.88944,1992,"Myotis volans interior Miller, 1914","Myotis_volans",7,95,3.6,301,6.88416606599829,82.3297140659544,"Spring",72438,3.15,279,6.96154192735932,100.13046086036,3.1,277,6.97263769364213,100.562083155935,"F","NS"
NA,"female",5,-117.1333,38.43694,1992,"Myotis volans interior Miller, 1914","Myotis_volans",8,100,9.1,220,8.51961640194931,66.5607350212406,"Spring",72355,8.7,219,8.43185397122825,80.0153606370424,8.7,228.8,8.5927478623279,77.9370640665925,"F","NS"
NA,"female",7,-102.6,28.966667,1970,"Myotis volans interior","Myotis_volans",7,101,13.1,517,4.9831458361403,113.422419811131,"Summer",72497,13.25,437,5.16343457185571,113.385353747564,13.08,493.8,5.2437480945983,99.990610088346,"F","NS"
NA,"female",8,-109.060793,36.171546,1981,"Myotis volans","Myotis_volans",5.2,83,8.9,354,7.60099674484548,103.39109347785,"Summer",72515,8.55,366.5,7.56157041092291,91.1682740000527,8.12,380.4,8.11763255572603,85.5660453507488,"F","NS"
NA,"female",6,-109.008874,40.499855,1989,"Myotis volans interior","Myotis_volans",5.4,86,8.1,171,10.7248083969605,49.1666955461516,"Summer",72373,8.15,177.5,10.8574208802869,58.4426246042739,8.14,258.8,10.3943611279971,59.6045743884219,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,90,14.1,385,6.70686554618068,112.111883668035,"Summer",72400,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-102.6,28.966667,1970,"Myotis volans interior","Myotis_volans",7,92,13.1,517,4.9831458361403,113.422419811131,"Summer",72527,13.25,437,5.16343457185571,113.385353747564,13.08,493.8,5.2437480945983,99.990610088346,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5.5,89,14.1,385,6.70686554618068,112.111883668035,"Summer",72404,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,94,14.1,385,6.70686554618068,112.111883668035,"Summer",72406,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",5,-107.89439,33.43887,2013,"Myotis volans","Myotis_volans",7.1,97,10.3,452,7.82983319610245,139.415306118554,"Spring",72502,10.75,392,7.52723506365883,133.603229025842,10.6,438.4,7.58271335630262,114.803260770037,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,98,14.1,385,6.70686554618068,112.111883668035,"Summer",72416,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-121.382631,41.644561,1978,"Myotis volans interior","Myotis_volans",8.9,97,8,334,7.0694552102476,82.9937056224271,"Summer",72493,8.1,334.5,7.47233522751062,78.9430091367481,8,308.8,7.43408577446618,81.5724587942617,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5.5,93,14.1,385,6.70686554618068,112.111883668035,"Summer",72460,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5.5,88,14.1,385,6.70686554618068,112.111883668035,"Summer",72472,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",6,-103.3088,29.2419,1973,"Myotis volans interior","Myotis_volans",5.6,93,15.9,550,5.56468164571719,135.143163452289,"Summer",72495,16.25,488,5.35567067251866,122.692438679083,16.12,498.4,5.41774476725278,130.328532427243,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,97,14.1,385,6.70686554618068,112.111883668035,"Summer",72466,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",8,-110.735,32.42333,1964,"Myotis volans","Myotis_volans",6.4,98,8.1,898,7.03102971035387,94.2928181296155,"Summer",72514,8.8,838,6.76914627625745,95.6327835568914,8.94,731.2,6.73936325048389,93.9973978700691,"F","NS"
NA,"female",8,-106.5469485595,38.5740983804,1990,"Myotis volans interior","Myotis_volans",5.7,94,2.8,564,8.18355705427695,65.095043130912,"Summer",72348,2.5,493.5,8.55230404312735,58.457220350669,2.3,492.2,8.32753274788655,54.5146405489869,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,92,14.1,385,6.70686554618068,112.111883668035,"Summer",72479,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",4.5,95,14.1,385,6.70686554618068,112.111883668035,"Summer",72480,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",6,92,14.1,385,6.70686554618068,112.111883668035,"Summer",72397,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",5,-107.89439,33.43887,2013,"Myotis volans","Myotis_volans",6.5,102,10.3,452,7.82983319610245,139.415306118554,"Spring",72534,10.75,392,7.52723506365883,133.603229025842,10.6,438.4,7.58271335630262,114.803260770037,"F","NS"
NA,"female",8,-113.995742,35.14327,1961,"Myotis volans","Myotis_volans",8.8,94,15.7,190,8.08067278927149,81.2766431530991,"Summer",72541,15.75,215,8.41983408272739,72.956019309464,15.82,269.2,8.06852748350471,78.6979303567961,"F","NS"
NA,"female",7,-102.6,28.966667,1970,"Myotis volans interior","Myotis_volans",5.8,100,13.1,517,4.9831458361403,113.422419811131,"Summer",72525,13.25,437,5.16343457185571,113.385353747564,13.08,493.8,5.2437480945983,99.990610088346,"F","NS"
NA,"female",1,-105.0394166667,37.1516833333,2004,"Myotis volans","Myotis_volans",7,93,7.4,510,7.07960686290795,59.6736170685961,"Winter",72381,7.9,466,7.38787457361748,56.4679789883189,7.98,440.6,7.62357653785588,73.7782190197714,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5,95,14.1,385,6.70686554618068,112.111883668035,"Summer",72399,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5,87,14.1,385,6.70686554618068,112.111883668035,"Summer",72401,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",6,-110.9692,34.3823,1993,"Myotis volans","Myotis_volans",7.5,95,8.4,1058,6.89445868840046,120.389705845056,"Summer",72517,8.1,1185,7.17839416354163,99.6488075462369,8.46,1013.2,7.31545978708288,89.5061444173927,"F","NS"
NA,"female",8,-104.8213288,37.2585579,1981,"Myotis volans interior","Myotis_volans",6,89,8.8,723,6.93279426808818,124.229986691233,"Summer",72364,8.4,576.5,7.25956283838737,110.373190579966,7.82,543.6,7.7846704330723,101.371707237311,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5,90,14.1,385,6.70686554618068,112.111883668035,"Summer",72408,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",6,90,14.1,385,6.70686554618068,112.111883668035,"Summer",72392,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5,94,14.1,385,6.70686554618068,112.111883668035,"Summer",72414,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",5,-118.31667,37.88944,1992,"Myotis volans interior Miller, 1914","Myotis_volans",7,96,3.6,301,6.88416606599829,82.3297140659544,"Spring",72360,3.15,279,6.96154192735932,100.13046086036,3.1,277,6.97263769364213,100.562083155935,"F","NS"
NA,"female",8,-105.480337,37.505037,1941,"Myotis volans","Myotis_volans",8,93,4.7,459,8.64869932417586,61.1220061770984,"Summer",72429,4.9,400,8.88386144815371,58.2341245483511,5.2,321.2,8.83190176642178,56.3225206157813,"F","NS"
NA,"female",8,-104.038716,37.315851,1981,"Myotis volans interior","Myotis_volans",7,94,12.6,418,8.4324050273605,112.830525686244,"Summer",72365,12.1,363.5,8.90591360835497,109.360466055751,11.56,365.2,9.35021652042412,98.9979232795655,"F","NS"
NA,"female",7,-104.1669998,30.6329994,1998,"Myotis volans","Myotis_volans",5,88,14.1,385,6.70686554618068,112.111883668035,"Summer",72458,13.4,527,6.57734908150102,89.6173103847902,13.86,498,6.11786707906084,92.179266599309,"F","NS"
NA,"female",5,-109.220422,31.882499,1955,"Myotis volans","Myotis_volans",7.8,102,11.8,441,6.81221607693032,154.647684955384,"Spring",72507,12.5,437,6.52662907110563,148.627903976435,12.48,431.6,6.95358177319295,122.732113018575,"F","NS"
NA,"female",6,-109.17484,31.899295,1955,"Myotis volans","Myotis_volans",7.1,98,12.5,383,6.90890400464897,153.261187119482,"Summer",72539,13.2,384,6.61261842471504,148.224771933651,13.2,381,7.04539150673866,120.774881697407,"F","NS"
NA,"female",5,-118.31667,37.88944,1992,"Myotis volans interior Miller, 1914","Myotis_volans",6,95,3.6,301,6.88416606599829,82.3297140659544,"Spring",72437,3.15,279,6.96154192735932,100.13046086036,3.1,277,6.97263769364213,100.562083155935,"F","NS"
