"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",9,-112.5946389,34.3437222,2001,"Neotoma albigula","Neotoma_albigula",198.1,326,16.7,394,8.17184282469475,76.0424617674314,"Fall",73574,16.5,415,7.90878673072104,108.62166682664,15.92,446.8,7.55383114218401,105.452550818132,"M","Adult"
"adult","female",11,-111.2672222,33.9098056,2001,"Neotoma albigula","Neotoma_albigula",171.3,301,19.9,460,8.73585436664048,72.468089462717,"Fall",73793,19.65,410,8.46623383659088,103.064530904082,19.04,435.4,8.12050511952377,105.509353267022,"F","Adult"
"adult","male",4,-112.6511389,34.0166944,2001,"Neotoma albigula","Neotoma_albigula",124.7,295,20.4,300,8.40340389185817,84.7670604978995,"Spring",73694,20.2,303.5,8.13018187402526,111.569591155033,19.64,327.8,7.81047774163627,108.995939325812,"M","Adult"
"adult","female",8,-110.7704444,34.5619444,2001,"Neotoma albigula","Neotoma_albigula",123.4,303,10.7,423,8.5732494458406,72.115045680682,"Summer",74356,10.5,400,8.31459511190598,93.8718398150935,9.8,420.6,7.89270017906433,99.2525117637912,"F","Adult"
"adult","female",5,-112.8330556,35.0522222,2001,"Neotoma albigula","Neotoma_albigula",157.9,340,13.2,315,8.31659075692569,72.7636840463063,"Spring",73664,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"F","Adult"
"adult","female",9,-112.5946389,34.3437222,2001,"Neotoma albigula","Neotoma_albigula",151.4,300,16.7,394,8.17184282469475,76.0424617674314,"Fall",73557,16.5,415,7.90878673072104,108.62166682664,15.92,446.8,7.55383114218401,105.452550818132,"F","Adult"
"adult","female",5,-112.8330556,35.0522222,2001,"Neotoma albigula","Neotoma_albigula",199.4,309,13.2,315,8.31659075692569,72.7636840463063,"Spring",73676,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"F","Adult"
"adult","female",9,-112.5946389,34.3437222,2001,"Neotoma albigula","Neotoma_albigula",186.5,295,16.7,394,8.17184282469475,76.0424617674314,"Fall",74341,16.5,415,7.90878673072104,108.62166682664,15.92,446.8,7.55383114218401,105.452550818132,"F","Adult"
"adult","female",9,-112.5946389,34.3437222,2001,"Neotoma albigula","Neotoma_albigula",143,303,16.7,394,8.17184282469475,76.0424617674314,"Fall",73575,16.5,415,7.90878673072104,108.62166682664,15.92,446.8,7.55383114218401,105.452550818132,"F","Adult"
"adult","male",8,-112.91175,34.4359167,2001,"Neotoma albigula","Neotoma_albigula",145.3,290,17.8,332,8.20016167615929,80.3901767421528,"Summer",73610,17.6,338,7.93082518777557,108.695744132294,17.02,370.2,7.58977706071761,108.648083058726,"M","Adult"
