"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",6,-117.3492,33.37103,2006,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",2.8,80,16.9,264,4.20932406579834,102.792097414515,"Summer",168163,16.8,401.5,3.57869601975293,139.69959530273,16.58,348.2,3.50687113769432,145.699768594075,"M","Adult"
"adult","female",6,-117.47946,33.469,2006,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",5.1,75,17.2,261,3.96655525690247,101.908202013085,"Summer",168066,16.85,451,3.5696219687698,140.761017885952,16.64,392.8,3.49425176690478,146.877535732236,"F","Adult"
"adult","undetermined",1,-117.68777,33.85462,2003,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",2.9,68,16.6,463,4.1319431924283,147.107557402851,"Winter",168067,16.35,328.5,3.94581858979079,142.26867273393,16.3,330.8,4.04391447786928,146.855120222229,"NS","Adult"
"adult","female",7,-117.78239,33.553,2003,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",2.9,77,16.1,316,2.93050828148954,147.310483853088,"Summer",167960,15.75,241.5,2.83073773806311,144.161739174752,15.68,246.2,2.9313088337479,144.567682352549,"F","Adult"
"adult","male ?",2,-116.87047,32.66184,2006,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",2.7,68,17.7,168,4.95231809816923,139.988492872465,"Winter",168165,17.5,319.5,4.33334026694062,160.132417000349,17.24,301,4.20971152146366,151.900514888085,"NS","Adult"
"adult","undetermined",8,-117.81696,33.94229,2002,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",2.3,74,15.6,235,3.76695158482615,139.868774960015,"Summer",168164,15.85,363.5,3.90095869832781,147.814852453314,15.96,399.2,3.96380985853476,153.661102985048,"NS","Adult"
"adult","male",4,-117.36359,33.34352,2004,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",4.4,82,16.7,329,3.65765076120029,144.046907795271,"Spring",167962,16.55,354.5,3.49313291785073,148.166288856625,16.2,296.2,3.41726759730842,149.581905800517,"M","Adult"
"adult","female",10,-117.7503,33.58384,2002,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",3,80,15.8,175,3.02770039749142,138.490778511923,"Fall",167995,15.8,284,3.19652575497149,146.26396561069,15.92,302.8,3.27478641383221,148.665747159029,"F","Adult"
"adult","male",2,-117.80777,33.55925,2003,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",3.5,70,16,324,2.77957921384885,148.562100032949,"Winter",167996,15.65,235,2.74250895313547,143.945504609909,15.58,240.2,2.84178832723735,144.151607588949,"M","Adult"
"adult","female ?",5,-116.81836,32.683,2004,"Notiosorex crawfordi crawfordi","Notiosorex_crawfordi",3,66,17.7,422,4.79466243637525,117.585922587984,"Spring",168001,17.3,401.5,4.64695544432296,149.119417241861,16.9,308,4.58877292149121,156.877966930342,"NS","Adult"
