"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",7,-107.2525024414,39.979598999,2004,"Ochotona princeps","Ochotona_princeps",182,169,0.3,887,7.70542410293299,38.310910060977,"Summer",78839,0.75,945.5,7.8334611815127,46.5820388000571,0.82,878.4,8.00257501167176,44.4870105341933,"M","Adult"
"adult","female",7,-123.0277023315,50.582698822,2005,"Ochotona princeps","Ochotona_princeps",195,175,2.9,1219,6.08517199278855,45.4334626842556,"Summer",79663,3.05,1280.5,6.25700368247772,46.4982964669198,2.64,1175.6,6.30295576125925,52.2122709970274,"F","Adult"
"adult","female",8,-121.8272,44.2462,2005,"Ochotona princeps","Ochotona_princeps",155,170,4.6,2160,6.08023997732147,88.6027591770272,"Summer",79017,4.95,2123.5,6.08336885070992,85.4020498439352,4.86,2124.6,6.0534592930641,87.0809207922648,"F","Adult"
"adult","male",7,-107.2525024414,39.979598999,2004,"Ochotona princeps","Ochotona_princeps",159,162,0.3,887,7.70542410293299,38.310910060977,"Summer",79481,0.75,945.5,7.8334611815127,46.5820388000571,0.82,878.4,8.00257501167176,44.4870105341933,"M","Adult"
"adult","female",7,-107.2525024414,39.979598999,2004,"Ochotona princeps","Ochotona_princeps",164,174,0.3,887,7.70542410293299,38.310910060977,"Summer",79482,0.75,945.5,7.8334611815127,46.5820388000571,0.82,878.4,8.00257501167176,44.4870105341933,"F","Adult"
"adult","female",7,-116.4794006348,52.0574989319,2005,"Ochotona princeps","Ochotona_princeps",144,141,-1.4,1105,7.42505994262101,50.6738259362553,"Summer",79662,-1.2,1041.5,7.68528519796481,53.4045737196181,-1.46,1060,8.14815718199616,48.6325718098025,"F","Adult"
"adult","male",6,-115.3896026611,40.5876998901,2005,"Ochotona princeps","Ochotona_princeps",167,170,3.2,1390,7.29837570140013,63.6000637700585,"Summer",79016,3.05,1174,7.55478552350485,63.3560931244407,3.2,963.6,7.91632994312797,76.2951454559464,"M","Adult"
"fr","male",8,-105.777,35.793,1985,"Ochotona princeps","Ochotona_princeps",80,138,1.7,1351,6.989011938664,52.6709057783771,"Summer",79090,1.4,1156,7.35476139737001,54.7213730037834,1.54,1063.6,7.23580136932776,53.7624117255985,"M","Juvenile"
"fr","male",9,-105.777,35.793,1987,"Ochotona princeps","Ochotona_princeps",155,193,1,1254,7.45427983636165,68.4721067751243,"Fall",80004,1.4,1334,6.90131363552504,60.0131815490214,1.38,1193.6,7.21939967986101,54.817485205024,"M","Juvenile"
"fr","male",9,-105.777,35.793,1987,"Ochotona princeps","Ochotona_princeps",140,190,1,1254,7.45427983636165,68.4721067751243,"Fall",80005,1.4,1334,6.90131363552504,60.0131815490214,1.38,1193.6,7.21939967986101,54.817485205024,"M","Juvenile"
"fr","female",9,-105.777,35.793,1987,"Ochotona princeps","Ochotona_princeps",160,185,1,1254,7.45427983636165,68.4721067751243,"Fall",80001,1.4,1334,6.90131363552504,60.0131815490214,1.38,1193.6,7.21939967986101,54.817485205024,"F","Juvenile"
"fr","female",10,-105.777,35.793,1997,"Ochotona princeps","Ochotona_princeps",160,183,1,1357,7.61678270583314,49.1590292573695,"Fall",79781,1.85,1069.5,7.15204205237667,60.8278981598286,2.06,1104.6,6.92260837620515,65.412131225138,"F","Juvenile"
"fr","female",8,-105.777,35.793,1985,"Ochotona princeps","Ochotona_princeps",150,155,1.7,1351,6.989011938664,52.6709057783771,"Summer",79086,1.4,1156,7.35476139737001,54.7213730037834,1.54,1063.6,7.23580136932776,53.7624117255985,"F","Juvenile"
"fr","female",8,-105.777,35.793,1985,"Ochotona princeps","Ochotona_princeps",130,161,1.7,1351,6.989011938664,52.6709057783771,"Summer",79094,1.4,1156,7.35476139737001,54.7213730037834,1.54,1063.6,7.23580136932776,53.7624117255985,"F","Juvenile"
"fr","female",8,-105.777,35.793,1985,"Ochotona princeps","Ochotona_princeps",85,140,1.7,1351,6.989011938664,52.6709057783771,"Summer",79735,1.4,1156,7.35476139737001,54.7213730037834,1.54,1063.6,7.23580136932776,53.7624117255985,"F","Juvenile"
"fr","female",9,-105.777,35.793,1987,"Ochotona princeps","Ochotona_princeps",140,198,1,1254,7.45427983636165,68.4721067751243,"Fall",79363,1.4,1334,6.90131363552504,60.0131815490214,1.38,1193.6,7.21939967986101,54.817485205024,"F","Juvenile"
"fr","female",10,-105.777,35.793,1997,"Ochotona princeps","Ochotona_princeps",175,185,1,1357,7.61678270583314,49.1590292573695,"Fall",79141,1.85,1069.5,7.15204205237667,60.8278981598286,2.06,1104.6,6.92260837620515,65.412131225138,"F","Juvenile"
"fr","male",9,-105.777,35.793,1987,"Ochotona princeps","Ochotona_princeps",160,196,1,1254,7.45427983636165,68.4721067751243,"Fall",79366,1.4,1334,6.90131363552504,60.0131815490214,1.38,1193.6,7.21939967986101,54.817485205024,"M","Juvenile"
