"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",8,-118.8545,46.6624,1950,"Onychomys leucogaster","Onychomys_leucogaster",23.1,135,9.8,258,10.0544389412957,80.481505498299,"Summer",80271,10.1,201.5,10.0885928020669,97.3724980436685,10.56,224.2,8.97509850506407,76.3557334755121,"F","Adult"
"adult","male",8,-107.2414939,42.3112478,1990,"Onychomys leucogaster missouriensis","Onychomys_leucogaster",22.8,121,6.4,286,9.83079576914023,60.2487916684387,"Summer",80409,6.05,294.5,10.2039719032934,65.7291852245316,6.04,296.8,9.78664130290784,63.2996778355977,"M","Adult"
"Adult","female",7,-106.564329,42.280393,1990,"Onychomys leucogaster","Onychomys_leucogaster",25.5,131,5.1,434,9.47646206837411,54.1416267609484,"Summer",80307,4.8,429,9.84470345710885,63.4012256093374,4.86,429.2,9.52882517205784,60.2483162560787,"F","Adult"
"unknown","female",12,-109.3261,31.9979,1951,"Onychomys leucogaster","Onychomys_leucogaster",12.4,127,12.3,483,6.92312768694157,73.702303140405,"Winter",80516,12.6,456,6.41994625876999,141.118184145413,12.34,465.6,6.93688941769607,121.453728538228,"F","NS"
"unknown","female",7,-109.0561,32.2678,1951,"Onychomys leucogaster","Onychomys_leucogaster",24.5,152,15.8,248,7.78333008889686,75.0020343970729,"Summer",80519,16.05,211,7.31518828281506,124.452606314099,15.8,218.2,7.83054055157663,110.568099761228,"F","NS"
"unknown","male",1,-110.892,32.5913,1951,"Onychomys leucogaster","Onychomys_leucogaster",19,149,17.4,490,7.75773318969042,69.8073095544411,"Winter",80396,17.85,370,7.17692617127753,97.6142587856735,17.56,321.4,7.80284721451037,91.8452183975842,"M","NS"
"unknown","male",1,-110.892,32.5913,1951,"Onychomys leucogaster","Onychomys_leucogaster",20.8,150,17.4,490,7.75773318969042,69.8073095544411,"Winter",80518,17.85,370,7.17692617127753,97.6142587856735,17.56,321.4,7.80284721451037,91.8452183975842,"M","NS"
"unknown","male",12,-109.3261,31.9979,1951,"Onychomys leucogaster","Onychomys_leucogaster",18.3,146,12.3,483,6.92312768694157,73.702303140405,"Winter",80397,12.6,456,6.41994625876999,141.118184145413,12.34,465.6,6.93688941769607,121.453728538228,"M","NS"
"unknown","female",10,-118.9236773,46.2145942,1977,"Onychomys leucogaster","Onychomys_leucogaster",25,130,11.5,211,8.65185214012268,85.5131815072723,"Fall",80515,11.45,183.5,8.13138466943082,79.6111308740595,11.68,217.6,8.04970917957947,84.4497058436284,"F","NS"
"unknown","male",1,-110.892,32.5913,1951,"Onychomys leucogaster","Onychomys_leucogaster",28.5,163,17.4,490,7.75773318969042,69.8073095544411,"Winter",80517,17.85,370,7.17692617127753,97.6142587856735,17.56,321.4,7.80284721451037,91.8452183975842,"M","NS"
"unknown","male",12,-111.055626,29.749058,1951,"Onychomys leucogaster","Onychomys_leucogaster",23.5,150,21.2,325,6.11755422509435,126.878491851296,"Winter",80398,21.45,300,5.62342606365613,176.531258474504,21.24,301.8,6.07247703202259,142.473575751232,"M","NS"
NA,"female",10,-110.58889,31.79028,1959,"Onychomys leucogaster","Onychomys_leucogaster",9.5,101,15.9,492,6.78016268688341,135.652614036436,"Fall",80546,16,511.5,6.93540209655055,113.735208510611,15.92,442.6,6.92319764570547,129.530463380598,"F","NS"
NA,"female",6,-111.83802,36.731209,1964,"Onychomys leucogaster","Onychomys_leucogaster",9.9,137,10,229,9.13137697472541,78.681347377628,"Summer",80553,10.35,256,9.07665156400032,91.445630652493,10.52,268.8,9.17971559436875,91.1956482541306,"F","NS"
NA,"female",6,-119.88,41.45,1977,"Onychomys leucogaster","Onychomys_leucogaster",12,140,7,325,8.18266830600267,92.4278937658566,"Summer",80603,6.9,300.5,7.66868292582518,88.1633513459215,6.78,309.6,7.76768125805437,74.306410836046,"F","NS"
NA,"female",6,-106.931769,34.294287,1995,"Onychomys leucogaster","Onychomys_leucogaster",38,159,14.8,129,8.16939502971396,99.0813629159022,"Summer",80342,14.7,188,8.76926882217352,88.1919771054029,14,228.8,8.79095602863418,99.6075954472336,"F","NS"
NA,"female",5,-108.00045,36.84035,2003,"Onychomys leucogaster pallescens","Onychomys_leucogaster",36.5,161,11.7,240,9.12688336728371,82.4069723440262,"Spring",80529,11.35,217.5,9.26385067616258,103.563093361581,11.26,230.4,8.94558676956937,99.710386688296,"F","NS"
NA,"female",10,-109.084007,31.865363,1969,"Onychomys leucogaster","Onychomys_leucogaster",48.7,160,16.1,254,7.76032547739794,107.729971910594,"Fall",80655,15.65,266,7.46249522754001,105.784672110964,15.92,294.4,7.3474705814697,112.365112928183,"F","NS"
NA,"female",7,-103.6493,37.074831,1991,"Onychomys leucogaster arcticeps","Onychomys_leucogaster",49,144,10.5,406,8.19920543083107,72.4078522837945,"Summer",80282,10.6,418.5,8.46675585163042,78.1767073921436,10.48,417.2,8.50745735616177,86.4356541259006,"F","NS"
NA,"female",10,-109.029694,31.913562,1968,"Onychomys leucogaster","Onychomys_leucogaster",13.5,129,15.4,265,7.27342089495387,110.07483048519,"Fall",80648,15.75,272,7.23584754944845,109.89720457087,15.94,292.8,7.55517127445862,120.731839761213,"F","NS"
