"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",11,-103.0598561,29.8169754,1989,"Oreoscoptes montanus","Oreoscoptes_montanus",43,NA,19,304,7.81553910585518,107.533179587389,"Fall",81561,18.7,281.5,7.50393754711588,110.941373646985,18.58,343.8,7.5460464474612,94.1703559297874,"F","Adult"
"ad","female",1,-103.1423091,29.6174157,1971,"Oreoscoptes montanus","Oreoscoptes_montanus",42,NA,19.7,269,6.52182815046843,117.481073199582,"Winter",81617,19.4,290,6.99048468988907,110.172427251493,19.26,278,7.41894027435539,99.1699359364877,"F","Adult"
"ad?","undetermined",2,-111.6745826,33.6367105,1971,"Oreoscoptes montanus","Oreoscoptes_montanus",43.8,NA,19.9,214,8.21430293617619,127.085194027974,"Winter",81559,20.1,205,8.33371563972559,122.692772520556,20.26,245.8,8.19631265241415,104.140780146574,"NS","Adult"
"ad.","male",11,-116.1,30.9667,1925,"Oreoscoptes montanus","Oreoscoptes_montanus",47,NA,16.9,232,3.40946765595007,128.779474546737,"Fall",81531,16.8,216.5,3.56106513167352,131.852858512107,16.7,232,3.69599655470731,124.217743911475,"M","Adult"
"ad.","male",7,-118.182829,37.488762,1917,"Oreoscoptes montanus","Oreoscoptes_montanus",38,NA,1,182,8.07072431130508,162.208847686414,"Summer",81594,0.8,296,7.5262241443657,134.411736610094,0.74,349.8,7.03042669676055,112.088337852661,"M","Adult"
"ad.","female",4,-118.014552,36.338146,1918,"Oreoscoptes montanus","Oreoscoptes_montanus",45.3,NA,14.8,170,8.60371220092604,133.247954209579,"Spring",81527,15.3,127,8.81232162437784,117.03968864708,15.24,166.4,8.47028434290508,138.928079821264,"F","Adult"
"ad.","female",11,-115.8008333,32.368333,1927,"Oreoscoptes montanus","Oreoscoptes_montanus",51.1,NA,21.6,153,6.26287764239701,130.466164725967,"Fall",81627,21.8,141,6.29791509139175,141.224004109048,21.44,117,6.31988081945175,140.902748625785,"F","Adult"
"ad.","female",1,-115.4971,35.2926,1938,"Oreoscoptes montanus","Oreoscoptes_montanus",40,NA,14.4,209,8.15220271404662,139.045246970219,"Winter",81558,14.65,165,8.72878671717889,127.174420943674,15.08,170.2,8.30347501555265,111.779443402638,"F","Adult"
"ad.","male",7,-120.4608844,40.535017,1928,"Oreoscoptes montanus","Oreoscoptes_montanus",42.9,NA,10.2,261,7.68426175945867,116.728033852315,"Summer",81601,9.8,308.5,7.43456822234313,107.499589794587,9.64,285,7.53596429417479,96.6427651754431,"M","Adult"
"ad.","male",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",39.8,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81542,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"M","Adult"
"ad.","male",11,-115.8008333,32.368333,1927,"Oreoscoptes montanus","Oreoscoptes_montanus",47.2,NA,21.6,153,6.26287764239701,130.466164725967,"Fall",81629,21.8,141,6.29791509139175,141.224004109048,21.44,117,6.31988081945175,140.902748625785,"M","Adult"
"ad.","female",11,-116.1,30.9667,1925,"Oreoscoptes montanus","Oreoscoptes_montanus",41,NA,16.9,232,3.40946765595007,128.779474546737,"Fall",81596,16.8,216.5,3.56106513167352,131.852858512107,16.7,232,3.69599655470731,124.217743911475,"F","Adult"
"ad.","male",2,-120.45328,40.43353,1951,"Oreoscoptes montanus","Oreoscoptes_montanus",47.1,NA,9.1,319,7.92274726609553,96.9530101960805,"Winter",81518,9.4,351,7.66084892344267,82.0590136507182,8.88,262,7.83037955270978,81.6311308256746,"M","Adult"
"ad.","male",2,-115.2713889,30.194167,1928,"Oreoscoptes montanus","Oreoscoptes_montanus",35,NA,18.4,101,4.50121195800743,82.241330021081,"Winter",81665,18.25,167.5,4.41771549085669,91.4319903191265,18.14,160,4.48728261868831,103.61222849026,"M","Adult"
"Ad","female",5,-119.658545,47.39013,1952,"Oreoscoptes montanus","Oreoscoptes_montanus",47.3,216,9,175,9.72773292595905,79.1534498275893,"Spring",81565,8.55,216,9.57786881573861,59.6971012883694,8.02,248.6,9.83217777895001,62.5558314156493,"F","Adult"
"Ad","male",6,-120.07513,47.367585,1959,"Oreoscoptes montanus","Oreoscoptes_montanus",39,221,8.9,216,7.84188443648282,75.0233783241861,"Summer",81500,9.9,256.5,8.24610424007961,77.6072893173611,9.1,246.6,8.93451298145706,78.3166267118527,"M","Adult"
"Ad","male",4,-117.20894,46.824342,1959,"Oreoscoptes montanus","Oreoscoptes_montanus",38.5,214,7.7,613,7.22635643133711,58.8665615091097,"Spring",81498,8.8,662.5,7.45519818233224,67.5428465718518,8,601.6,8.0546896205909,63.5536487524172,"M","Adult"
"Ad","female",6,-118.581377,47.231536,1949,"Oreoscoptes montanus","Oreoscoptes_montanus",44.5,218,8.9,161,10.6391643554284,92.1365866578084,"Summer",81496,8.7,254.5,9.79253117443579,73.8615394453614,9.3,267.2,8.86504368159817,68.9440330841964,"F","Adult"
"Ad","male",4,-118.58859,46.970262,1960,"Oreoscoptes montanus","Oreoscoptes_montanus",45.7,228,9.9,264,9.19078919683212,69.3464711516368,"Spring",81499,9.85,262,8.65953937035427,75.5622757016949,10.28,253.4,8.92020661415629,69.7961401568016,"M","Adult"
"Ad","male",9,-118.597379,47.39652,1957,"Oreoscoptes montanus","Oreoscoptes_montanus",55.5,233,9.3,298,9.64613284108605,58.6222589742369,"Fall",81497,9.35,278.5,9.537888310556,65.1013879494419,9.36,271.8,8.60880036564832,64.0100391168907,"M","Adult"
"ad.sk.","male",6,-119.20837,38.55343,1969,"Oreoscoptes montanus","Oreoscoptes_montanus",41,NA,6.6,457,7.35215903148473,124.686897131714,"Summer",81522,6.55,364,7.13090705605944,102.873051442216,6.42,363.4,7.06242037622989,118.908069984901,"M","Adult"
"ad.sk.","male",6,-118.32,37.92,1969,"Oreoscoptes montanus","Oreoscoptes_montanus",42.5,NA,5.3,324,7.56732909929056,125.554620729118,"Summer",81591,5.4,242.5,7.24614745628726,93.238585550889,5.22,256.2,7.15112578696257,110.585330003743,"M","Adult"
"ad.sk.","female",4,-114.76203,37.65402,1968,"Oreoscoptes montanus","Oreoscoptes_montanus",43,NA,11.1,193,8.05877556681929,73.99169806447,"Spring",81523,11.1,274.5,8.38606152155048,73.1769113212704,10.92,245.2,8.48290061300738,83.6223780150627,"F","Adult"
"ad.sk.","male",7,-116.29167,39.765,1973,"Oreoscoptes montanus","Oreoscoptes_montanus",39.5,NA,7.3,333,8.80052942622307,65.3927920277933,"Summer",81590,7.3,287.5,8.75812725214267,73.0847262416566,7.14,314,8.72318694922356,74.5179767978533,"M","Adult"
"ad.sk.","male",6,-119.20837,38.55343,1969,"Oreoscoptes montanus","Oreoscoptes_montanus",42.5,NA,6.6,457,7.35215903148473,124.686897131714,"Summer",81589,6.55,364,7.13090705605944,102.873051442216,6.42,363.4,7.06242037622989,118.908069984901,"M","Adult"
"adult","male",7,-111.2666667,42.35,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",39.4,NA,5.4,397,7.59067909286838,57.8289344380064,"Summer",81649,4.25,418.5,8.46552828767237,66.1019326916526,3.22,477.4,9.37104065471564,57.0079712243451,"M","Adult"
"adult","female",7,-111.2666667,42.35,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",47.2,NA,5.4,397,7.59067909286838,57.8289344380064,"Summer",81650,4.25,418.5,8.46552828767237,66.1019326916526,3.22,477.4,9.37104065471564,57.0079712243451,"F","Adult"
"adult","male",4,-118.2635,34.7898,1984,NA,"Oreoscoptes_montanus",45,NA,16.9,169,8.45146571473095,224.631414053779,"Spring",81622,16.4,274.5,7.85299704054065,169.624668750523,16.4,255.2,7.5596341806188,145.618139214022,"M","Adult"
"adult","female",4,-118.2361004,34.7616246,1984,NA,"Oreoscoptes_montanus",49,NA,16.9,142,8.50363113171323,217.366513323689,"Spring",81623,16.4,230,7.87926771452917,167.607351507208,16.4,209,7.58874522001465,146.285748938851,"F","Adult"
"adult","female",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",42.5,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81654,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"F","Adult"
"Adult","male",1,-104.22884,32.42067,2009,"Oreoscoptes montanus","Oreoscoptes_montanus",48.6,NA,18.3,291,8.18395973656377,140.802388516501,"Winter",81515,18.1,265.5,7.93577405994704,126.252050848085,18.08,295.4,7.94807848567179,116.330928021303,"M","Adult"
"imm","male",10,-103.9506114,30.3941115,1975,"Oreoscoptes montanus","Oreoscoptes_montanus",38.5,NA,14.4,362,6.47322574263802,117.445558826057,"Fall",81618,14.8,457.5,6.55412837104302,137.217004309411,15.1,421.6,6.44187869127678,133.7363912485,"M","Juvenile"
"imm.","male",9,-114.64778,39.80556,1930,"Oreoscoptes montanus","Oreoscoptes_montanus",42.4,NA,5.3,533,8.90673476883781,68.7288450576309,"Fall",81603,5.5,414,8.74873795438529,69.39189886591,6.2,367.2,8.25384516275504,65.5003414045235,"M","Juvenile"
"imm.","female",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",40.7,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81605,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"F","Juvenile"
"imm.","male",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",40.2,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81541,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"M","Juvenile"
"imm.","male",11,-121.019335,36.129859,1918,"Oreoscoptes montanus","Oreoscoptes_montanus",47.2,NA,14.4,355,4.72942914102749,144.534819233613,"Fall",81528,14.35,254,4.93582445937616,162.898121647737,14.28,353,4.34275876277566,159.682872026213,"M","Juvenile"
"imm.","male",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",43,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81548,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"M","Juvenile"
"imm.","male",4,-113.9992,35.1894,1960,"Oreoscoptes montanus","Oreoscoptes_montanus",46,NA,16.1,223,8.92787599023249,63.4827623300288,"Spring",81587,16.25,237.5,8.4522993773322,76.1832237053663,16.1,233.2,8.16198062022418,80.3089951583835,"M","Juvenile"
"imm.","female",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",46.8,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81547,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"F","Juvenile"
"imm.","female",10,-105.2518224,33.4847073,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",36,NA,11.9,538,7.50786960865771,66.8059192218095,"Fall",81666,11.85,452,7.57071146676394,69.230414214696,11.88,407,7.27343333385351,91.4773873677041,"F","Juvenile"
"imm.","male",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",45.3,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81538,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"M","Juvenile"
"imm.","female",9,-115.6895421,33.9355317,1950,"Oreoscoptes montanus","Oreoscoptes_montanus",42,NA,20.8,36,7.1079127908567,130.267789455786,"Fall",81517,20.3,55.5,7.9064613342451,169.503866027548,20.2,58.8,7.99930410724461,154.596063623608,"F","Juvenile"
"imm.","male",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",32.7,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81543,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"M","Juvenile"
"imm.","male",9,-116.98667,39.23861,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",41,NA,9.1,185,9.60889739204812,49.4793629683915,"Fall",81537,8.65,204,9.33414030369516,70.0888433500128,8.86,164.8,9.0889172465321,65.6095846740482,"M","Juvenile"
"imm.","male",9,-111.5625,35.4603,1922,"Oreoscoptes montanus","Oreoscoptes_montanus",41.7,NA,9.4,384,9.18201057404195,45.2659439514762,"Fall",81530,9.75,434.5,8.3070714499509,62.65418633634,9.54,419.2,8.52251429250739,68.0379768696308,"M","Juvenile"
"imm.","female",9,-117.1143,38.96403,1931,"Oreoscoptes montanus","Oreoscoptes_montanus",45.6,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",81604,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"F","Juvenile"
"imm.","male",9,-119.1053,37.90891,1915,"Oreoscoptes montanus","Oreoscoptes_montanus",49.6,NA,6.8,359,7.07562503931417,123.488618621715,"Fall",81525,6.45,378,7.20574016095785,147.229725736034,5.58,376.4,7.27029501079138,121.052470196516,"M","Juvenile"
"imm.","male",4,-113.9992,35.1894,1960,"Oreoscoptes montanus","Oreoscoptes_montanus",45,NA,16.1,223,8.92787599023249,63.4827623300288,"Spring",81586,16.25,237.5,8.4522993773322,76.1832237053663,16.1,233.2,8.16198062022418,80.3089951583835,"M","Juvenile"
"imm.","male",7,-117.58556,41.24639,1967,"Oreoscoptes montanus","Oreoscoptes_montanus",42.8,NA,9.6,207,9.0207966791893,72.6153994310759,"Summer",81588,9.65,167,8.78460524812981,76.0120785462153,9.24,219.8,8.38395558729119,70.371324739807,"M","Juvenile"
"imm.","male",11,-115.8008333,32.368333,1927,"Oreoscoptes montanus","Oreoscoptes_montanus",40.6,NA,21.6,153,6.26287764239701,130.466164725967,"Fall",81628,21.8,141,6.29791509139175,141.224004109048,21.44,117,6.31988081945175,140.902748625785,"M","Juvenile"
"immature","male",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",40.7,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81633,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"M","Juvenile"
"immature","male",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",48.1,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81642,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"M","Juvenile"
"immature","male",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",47,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81671,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"M","Juvenile"
"immature","female",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",45.7,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81674,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"F","Juvenile"
"immature","male",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",42,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81652,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"M","Juvenile"
"immature","female",9,-110.4307187,31.9678611,1969,"Oreoscoptes montanus","Oreoscoptes_montanus",43.3,NA,16.6,320,7.11389485443804,125.666581959018,"Fall",81577,16.45,339,6.90473050190464,114.291816006756,16.38,413.6,6.83876756917029,116.950819226971,"F","Juvenile"
"immature","female",8,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",44.1,NA,6.7,246,8.41970992086516,54.2944556001797,"Summer",81648,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"F","Juvenile"
"immature","male",9,-111.2666667,42.2833333,1934,"Oreoscoptes montanus","Oreoscoptes_montanus",47.9,NA,6.7,246,8.41970992086516,54.2944556001797,"Fall",81635,5.5,259.5,9.26951980440528,64.4242142235582,4.46,298,10.1901974247945,56.4252206950535,"M","Juvenile"
