"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",3,-95.4498333,28.9248833,2002,"Oryzomys palustris","Oryzomys_palustris",36.3,219,21.4,1732,6.35180718736444,75.7147429380899,"Spring",81869,21.4,1694.5,6.28681730044252,67.1337447410924,21.76,1415.8,6.11649025122578,70.446625936206,"F","Adult"
"adult","female",5,-95.43735,28.9346333,2002,"Oryzomys palustris","Oryzomys_palustris",52.8,237,21.4,1741,6.37382787798524,76.0491078880332,"Spring",81795,21.4,1703.5,6.29334665875725,67.3507810310923,21.72,1422.6,6.1170988513182,70.5847608496276,"F","Adult"
"adult","female",3,-95.4357333,28.9335333,2002,"Oryzomys palustris","Oryzomys_palustris",39,215,21.4,1742,6.36279431658383,76.1207961897645,"Spring",81867,21.4,1704,6.28782987805654,67.4119211907656,21.74,1422.6,6.11483532869237,70.6783608903138,"F","Adult"
"adult","female",5,-95.4504167,28.9231333,2003,"Oryzomys palustris","Oryzomys_palustris",30.7,206,21.4,1291,6.44611698950804,77.9626003747012,"Spring",81835,21.4,1511,6.39896208843624,76.8386716563955,21.64,1367.8,6.14917861106161,68.7828427141855,"F","Adult"
"adult","female",3,-95.43675,28.93345,2002,"Oryzomys palustris","Oryzomys_palustris",41.6,232,21.4,1741,6.36279431658383,76.1207961897645,"Spring",81765,21.4,1703,6.28782987805654,67.4119211907656,21.74,1422.2,6.11483532869237,70.6605412862954,"F","Adult"
"adult","female",12,-95.4404167,28.9426167,2002,"Oryzomys palustris","Oryzomys_palustris",26.8,194,21.3,1754,6.34225846400495,75.8585759103012,"Winter",81812,21.35,1718,6.27275087530164,67.0989286749036,21.7,1435,6.10785330401856,70.2673586942368,"F","Adult"
"adult","female",3,-95.4348333,28.8941,2002,"Oryzomys palustris","Oryzomys_palustris",30.6,191,21.4,1730,6.36802500185438,76.521375632595,"Spring",81784,21.45,1685.5,6.28788349559098,67.3875352440919,21.8,1405.2,6.11671166789385,70.7915978090393,"F","Adult"
"adult","female",12,-95.4399,28.9426333,2002,"Oryzomys palustris","Oryzomys_palustris",21.9,194,21.3,1754,6.34225846400495,75.8585759103012,"Winter",81902,21.35,1718,6.27275087530164,67.0989286749036,21.7,1435,6.10785330401856,70.2763896304852,"F","Adult"
"adult","female",12,-95.4406333,28.9425667,2002,"Oryzomys palustris","Oryzomys_palustris",21.9,184,21.3,1754,6.34225846400495,75.8585759103012,"Winter",81811,21.35,1718,6.27275087530164,67.0989286749036,21.7,1435,6.10785330401856,70.2590922447022,"F","Adult"
"adult","female",5,-95.4382,28.9363,2002,"Oryzomys palustris","Oryzomys_palustris",36.8,236,21.4,1741,6.36988059447575,75.9928641779465,"Spring",81875,21.4,1703.5,6.2913730170025,67.3105178021091,21.72,1422.8,6.11508262447738,70.5696170311312,"F","Adult"
"adult","female",3,-95.4496333,28.9235,2002,"Oryzomys palustris","Oryzomys_palustris",31,218,21.4,1732,6.35180718736444,75.7147429380899,"Spring",81861,21.4,1694.5,6.28681730044252,67.0940538222995,21.76,1415.6,6.11445982382583,70.4179575716643,"F","Adult"
"adult","female",5,-95.4491833,28.91195,2002,"Oryzomys palustris","Oryzomys_palustris",40.4,240,21.4,1731,6.34910516243324,75.8959204947186,"Spring",81880,21.45,1692,6.28110723519936,67.2151576289759,21.8,1413.2,6.10728387185142,70.4580042704463,"F","Adult"
"adult","female",3,-95.4386833,28.9364833,2003,"Oryzomys palustris","Oryzomys_palustris",31.8,191,21.3,1303,6.44449494929705,77.6826534038442,"Spring",81824,21.35,1527.5,6.40283489895183,76.8358076126482,21.6,1382.8,6.14773585449713,68.7031639173118,"F","Adult"
