"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"100%","female",10,-95.6966263,39.0483341,1954,"Passerculus sandwichensis","Passerculus_sandwichensis",14.8,NA,13.8,845,10.2905369886684,89.9334865400063,"Fall",81964,13.65,747,10.0713182209499,73.320380942892,12.36,878.2,10.0237416321088,81.3201327644496,"F","NS"
"ad","female",1,-122.0787392,40.0382803,1929,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",17.2,NA,17,356,7.28861191423742,140.263411020831,"Winter",82302,17.1,421,7.46314879311767,126.400704462723,17.16,544.2,7.30525107814962,113.841160161102,"F","Adult"
"ad","male",10,-120.17049,40.87584,1924,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",16,NA,7.7,199,8.32431633374432,101.146047429306,"Fall",82795,7.3,234.5,7.95607275193966,91.7940128419612,7.28,256.6,7.76510716963016,89.6332691147,"M","Adult"
"ad","male",6,-164.6325,68.9141666667,1957,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",18.3,NA,-7.2,246,12.3749625037693,101.946557489253,"Summer",82603,-8.65,242,12.8321476023564,126.034802194039,-8.92,265.4,12.9020766841071,120.871166287247,"M","Adult"
"ad","male",10,-107.0140333333,33.6168333333,2007,"Passerculus sandwichensis","Passerculus_sandwichensis",18.6,NA,15.7,251,8.45429781325164,70.2191360745138,"Fall",82026,15.75,277.5,8.1404711408778,92.7092675506594,15.78,223.8,8.09971955839166,82.1821101594734,"M","Adult"
"ad","male",2,-120.17467,40.34825,1951,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14,NA,7.6,257,7.54964879777178,86.5794719987995,"Winter",82041,7.9,283,7.30137950395527,74.938380350468,7.48,222.8,7.50141634042576,92.6305893258788,"M","Adult"
"ad","female",9,-120.7895831,40.6709426,1924,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",15,NA,7.4,337,7.91245661580332,96.6120995620179,"Fall",82241,7.2,326,7.52936831991554,82.0133421075379,7.2,426,7.4068982583692,99.1173455896415,"F","Adult"
"ad.","male",9,-120.84938,35.366994,1918,"Passerculus sandwichensis alaudinus","Passerculus_sandwichensis",17.7,NA,12.4,469,2.33958038195664,149.267532058884,"Fall",82193,12.3,336.5,2.54425289591896,175.208180301811,12.08,453.2,2.05095194179042,165.881736881995,"M","Adult"
"ad.","male",9,-120.84938,35.366994,1918,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",18.4,NA,12.4,469,2.33958038195664,149.267532058884,"Fall",82171,12.3,336.5,2.54425289591896,175.208180301811,12.08,453.2,2.05095194179042,165.881736881995,"M","Adult"
"ad.","male",9,-120.847157,35.385086,1918,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",16.1,NA,12.4,470,2.38255973882942,149.045773431801,"Fall",82734,12.3,337,2.58224094984533,174.588846675958,12.08,454.2,2.07805445088253,165.374181064374,"M","Adult"
"ad.","female",8,-132.4255555556,56.5897222222,1919,"Passerculus sandwichensis crassus","Passerculus_sandwichensis",18.8,NA,5.4,2071,6.1481889425039,42.5336794471752,"Summer",82205,5.6,2318.5,6.08894094204018,47.1843268266795,5.96,2245.6,6.05479244181227,54.9672390536843,"F","Adult"
"ad.","female",12,-115.9333333,30.7166667,1925,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",17.4,NA,18,233,3.68937869451147,127.714494956141,"Winter",82247,17.9,203.5,3.87055896973215,125.34002455942,17.74,219,4.02680595730596,119.894539040028,"F","Adult"
"ad.","undetermined",4,-117.970805,36.314388,1918,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",17,NA,14.6,172,8.53078205232336,129.649033571157,"Spring",82725,15.1,128,8.72976176128282,113.840814101853,15.06,167.8,8.38859770122938,137.851423056119,"NS","Adult"
"ad.","female",9,-120.843604,35.322367,1918,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",16.3,NA,12.6,462,2.37065391822594,148.862009193832,"Fall",82741,12.5,331,2.5442132566732,174.946946344753,12.22,444.6,2.06009463611861,165.557575082614,"F","Adult"
"ad.","male",9,-120.3795491,34.0452844,1927,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",19.8,NA,12.7,486,2.34654807723769,134.603935668647,"Fall",82822,13.25,456,1.99054731363804,132.233892211627,13,326.4,2.04112092587405,122.76409434904,"M","Adult"
"ad.","female",9,-120.798396,35.359222,1918,"Passerculus sandwichensis alaudinus","Passerculus_sandwichensis",17.4,NA,12.6,496,2.55181159654125,149.277925744096,"Fall",82184,12.5,355,2.75168884670986,177.013062459231,12.26,481.4,2.24004338262212,168.094736773908,"F","Adult"
"ad.","male",11,-115.174242,28.118133,1930,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",22.3,NA,20.2,63,3.8120621954289,88.273482950475,"Fall",82871,20.15,57.5,3.89514922117794,88.2342909272285,20.34,64.4,3.89168282597646,97.3769031086061,"M","Adult"
"ad.","male",1,-116.8,31.816667,1927,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",22.3,NA,16,452,2.56318634563003,133.484233464158,"Winter",82273,16.4,435,2.50800701369048,135.679234935967,16.08,350.4,2.57702289272838,131.372809736942,"M","Adult"
"ad.","male",9,-110.38361,41.31667,1939,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",16.9,NA,5.6,133,8.88352236992566,65.1204200719755,"Fall",82910,5.6,201,8.7838822278997,56.4848954548302,5.6,211,9.30404070443141,62.0480776604872,"M","Adult"
"ad.","male",4,-117.1143,38.96403,1930,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",16.9,NA,9,181,9.03966009015021,85.0909976284415,"Spring",82309,9.15,156.5,9.09709600155651,77.0745286289463,9.74,121.2,8.84050654574382,67.140099426204,"M","Adult"
"ad.","male",1,-116.8,31.816667,1927,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",22.8,NA,16,452,2.56318634563003,133.484233464158,"Winter",82814,16.4,435,2.50800701369048,135.679234935967,16.08,350.4,2.57702289272838,131.372809736942,"M","Adult"
"ad.","male",10,-110.2233333,23.441667,1928,"Passerculus sandwichensis magdalenae","Passerculus_sandwichensis",19.8,NA,22.4,133,3.35381962255069,121.078314185869,"Fall",83231,22.15,153.5,3.43252849700895,130.927678428444,22.1,169,3.49188162361568,123.854622899895,"M","Adult"
"ad.","female",9,-121.364272,37.926989,1920,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",18,NA,15.5,328,5.96616723828217,121.333245774618,"Fall",82213,15.5,297,5.95228155185564,136.404529700702,15.86,315.8,6.03554919452307,140.81049166004,"F","Adult"
"ad.","male",10,-119.4641,36.7166,1916,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",18.5,NA,17.1,414,7.34171869069725,145.650371320593,"Fall",82686,17.25,381,7.14834918804559,133.199115051419,17.16,307.8,7.06892921111856,139.488999343225,"M","Adult"
"ad.","female",9,-120.84938,35.366994,1918,"Passerculus sandwichensis alaudinus","Passerculus_sandwichensis",16.9,NA,12.4,469,2.33958038195664,149.267532058884,"Fall",82190,12.3,336.5,2.54425289591896,175.208180301811,12.08,453.2,2.05095194179042,165.881736881995,"F","Adult"
"ad.","male",3,-117.333,34.599,1918,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",17.5,NA,15.3,141,7.79928124116498,114.135877053123,"Spring",82707,15.45,107.5,7.98854606425231,112.904637045732,15.34,148.8,7.55955810796055,125.358020202385,"M","Adult"
"ad.","male",12,-115.9105556,30.402778,1930,"Passerculus sandwichensis beldingi","Passerculus_sandwichensis",17.9,NA,19.4,159,3.78548863984879,124.434706757533,"Winter",83243,19.5,130.5,4.09396643226989,119.908827230206,19.72,158.2,3.87090015862895,122.588559850804,"M","Adult"
"ad.","female",12,-110.34,24.138889,1928,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",18.8,NA,23.6,151,4.12461201113805,128.88331579731,"Winter",83101,23.4,174,4.1559652641183,135.196593816047,23.32,181.6,4.24264133548847,126.714007922223,"F","Adult"
"ad.","male",12,-115.9105556,30.402778,1930,"Passerculus sandwichensis beldingi","Passerculus_sandwichensis",18.4,NA,19.4,159,3.78548863984879,124.434706757533,"Winter",83107,19.5,130.5,4.09396643226989,119.908827230206,19.72,158.2,3.87090015862895,122.588559850804,"M","Adult"
"ad.","male",9,-120.84938,35.366994,1918,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",18.2,NA,12.4,469,2.33958038195664,149.267532058884,"Fall",82182,12.3,336.5,2.54425289591896,175.208180301811,12.08,453.2,2.05095194179042,165.881736881995,"M","Adult"
"ad.","female",9,-117.1143,38.96403,1931,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",15.7,NA,9.8,177,9.48371411069173,55.5409578086907,"Fall",82310,9.4,179,9.26168710042097,70.3159777185661,9.56,141,9.03605549120009,64.0899935652844,"F","Adult"
"ad.","male",10,-116.2,31.066667,1925,"Passerculus sandwichensis beldingi","Passerculus_sandwichensis",20.4,NA,16.8,240,3.34510044239287,123.886633030575,"Fall",82798,16.65,234,3.47643911786251,133.80211367182,16.52,248.6,3.62230009323658,123.7020088491,"M","Adult"
"ad.","female",1,-116.8,31.816667,1927,"Passerculus sandwichensis rostratus","Passerculus_sandwichensis",18.4,NA,16,452,2.56318634563003,133.484233464158,"Winter",82817,16.4,435,2.50800701369048,135.679234935967,16.08,350.4,2.57702289272838,131.372809736942,"F","Adult"
"ad.","female",3,-117.333,34.599,1918,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",16.6,NA,15.3,141,7.79928124116498,114.135877053123,"Spring",82708,15.45,107.5,7.98854606425231,112.904637045732,15.34,148.8,7.55955810796055,125.358020202385,"F","Adult"
"ad.","male",1,-116.8,31.816667,1927,"Passerculus sandwichensis beldingi","Passerculus_sandwichensis",19.7,NA,16,452,2.56318634563003,133.484233464158,"Winter",82810,16.4,435,2.50800701369048,135.679234935967,16.08,350.4,2.57702289272838,131.372809736942,"M","Adult"
