"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",7,-105.0504355,55.290141,1974,"Perisoreus canadensis canadensis","Perisoreus_canadensis",80,NA,-1.5,573,14.1020845224665,79.2464646059734,"Summer",83957,-0.8,586.5,14.0136738496747,70.1982745910003,-1.3,553.4,14.7490890496127,71.9925566978114,"M","Adult"
"ad","female",6,-84.52159,54.34023,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",73.8,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",83981,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"F","Adult"
"ad","male",7,-75.9423065,46.9188483,1953,"Perisoreus canadensis canadensis","Perisoreus_canadensis",74,NA,4.4,849,10.9880927288671,50.1559108389419,"Summer",84017,4.35,953.5,11.3177879374337,43.5726326614815,3.36,937,11.7348847930215,36.4854315544366,"M","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Perisoreus canadensis canadensis","Perisoreus_canadensis",68.8,NA,0,617,13.8670636598183,60.9325865622278,"Summer",84115,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",6,-81.59189,52.25485,1942,"Perisoreus canadensis canadensis","Perisoreus_canadensis",86,NA,-1.5,703,13.437904327955,49.7651862110958,"Summer",83636,-1.45,690.5,13.1476696947848,55.2194091664825,-1.58,653.4,13.333692777855,57.2911344027675,"M","Adult"
"ad","female",6,-84.52159,54.34023,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",70.5,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",83604,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"F","Adult"
"ad","male",6,-84.52159,54.34023,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",78.6,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",83971,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"M","Adult"
"ad","male",6,-121.2667,53.2667,1934,"Perisoreus canadensis canadensis","Perisoreus_canadensis",70.2,NA,3.5,795,7.41474268541459,47.699967462015,"Summer",83888,2.7,864.5,7.81115747335063,50.2402383749344,2.88,763.4,7.96540474839509,50.7534135921746,"M","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Perisoreus canadensis canadensis","Perisoreus_canadensis",74.3,NA,0,617,13.8670636598183,60.9325865622278,"Summer",84180,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",7,-66.9630432,54.8683097,1972,"Perisoreus canadensis nigricapillus","Perisoreus_canadensis",80,NA,-7.8,619,14.3623323631328,44.4956803832436,"Summer",83949,-6.5,722.5,13.7227291029596,46.7840490410596,-5.38,713.4,12.7975748634831,48.0671822713787,"M","Adult"
"ad","male",7,-80.38639,49.0791,1973,"Perisoreus canadensis canadensis","Perisoreus_canadensis",71,NA,1.3,789,12.9216051165433,35.0388016228388,"Summer",83950,0,766,13.1741147516722,37.9151307811193,0.22,805.8,13.0330079117893,45.628849102098,"M","Adult"
"ad","male",6,-84.673276,49.22475,1975,"Perisoreus canadensis canadensis","Perisoreus_canadensis",73,NA,0.8,720,12.55920222809,34.713837371436,"Summer",83959,0.05,739.5,12.4635781490684,35.6807404076578,0.06,754.2,12.5745063812924,34.4340866956042,"M","Adult"
"ad","female",6,-92.65577,49.75954,1967,"Perisoreus canadensis canadensis","Perisoreus_canadensis",66.9,NA,0.7,606,13.5180575079365,45.5316659942665,"Summer",83647,0.75,633.5,13.9669578895967,42.2731447123861,1.2,713.6,13.8135885225771,54.9458365073725,"F","Adult"
"ad","male",6,-101.2453651,52.5297989,1967,"Perisoreus canadensis albescens","Perisoreus_canadensis",77.6,NA,-1.7,446,14.2710424116513,42.9396278618239,"Summer",83648,-2.05,486,14.9914541114825,63.9721089722425,-1.48,515.4,14.4639245596881,72.0285581097133,"M","Adult"
"ad","female",7,-66.9630432,54.8683097,1972,"Perisoreus canadensis nigricapillus","Perisoreus_canadensis",76,NA,-7.8,619,14.3623323631328,44.4956803832436,"Summer",83948,-6.5,722.5,13.7227291029596,46.7840490410596,-5.38,713.4,12.7975748634831,48.0671822713787,"F","Adult"
"ad","male",7,-66.8087196,54.7906897,1972,"Perisoreus canadensis nigricapillus","Perisoreus_canadensis",85,NA,-7.7,617,14.3440411025455,44.4370649244302,"Summer",83584,-6.35,725,13.6867401898832,47.1362375861713,-5.24,713.4,12.7528200829613,49.0598819828633,"M","Adult"
"ad","male",6,-84.52159,54.34023,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",80.7,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",83613,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"M","Adult"
"ad","undetermined",6,-84.52159,54.34023,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",71.3,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",83614,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"NS","Adult"
"ad","female",7,-84.89489,54.51193,1981,"Perisoreus canadensis canadensis","Perisoreus_canadensis",76.5,NA,-2.1,445,12.2011176835269,44.1249185097822,"Summer",84110,-2.9,494,13.1469029938108,50.8441461162351,-3.52,561.4,13.38251103768,55.5595806670903,"F","Adult"
"ad","male",7,-94.98538,49.92533,1947,"Perisoreus canadensis canadensis","Perisoreus_canadensis",76,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",84124,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"M","Adult"
"ad","female",6,-84.5864,54.3515,1980,"Perisoreus canadensis canadensis","Perisoreus_canadensis",66.1,NA,-3.7,557,14.0644943030313,56.102529153135,"Summer",83977,-3.95,617,13.9452276405973,57.5070603671769,-3.96,584,13.9427140084685,56.5070865590302,"F","Adult"
"ad","female",8,-78.5235786,45.594732,1946,"Perisoreus canadensis canadensis","Perisoreus_canadensis",64,NA,4,752,11.0802137327597,31.9818840484294,"Summer",84002,3.8,795.5,11.2763337833022,33.0088851904845,3.54,797.2,11.5628551478529,41.8742623392362,"F","Adult"
"ad","female",7,-66.9630432,54.8683097,1972,"Perisoreus canadensis nigricapillus","Perisoreus_canadensis",76,NA,-7.8,619,14.3623323631328,44.4956803832436,"Summer",83579,-6.5,722.5,13.7227291029596,46.7840490410596,-5.38,713.4,12.7975748634831,48.0671822713787,"F","Adult"
"ad","female",6,-84.88132,54.51306,1981,"Perisoreus canadensis canadensis","Perisoreus_canadensis",78.2,NA,-2.1,445,12.2011176835269,43.716227658308,"Summer",83994,-2.9,494,13.1520402571481,50.5759616812621,-3.52,561.4,13.3856399036422,55.3893644141759,"F","Adult"
