"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",2,-118.02763,35.41977,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",8.2,121,16.9,230,7.3563155715262,117.7144774505,"Winter",84517,16.65,158,7.27367266860356,128.180122089341,16.4,153.8,7.30024267455794,135.163588849081,"M","Adult"
"adult","male",2,-118.02859,35.41641,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",6.9,59,16.9,231,7.35067508752932,118.429349215446,"Winter",84511,16.65,158.5,7.27795391204059,128.537557971813,16.4,154.4,7.30595590375288,135.306563202071,"M","Adult"
"adult","female",7,-118.03479,35.41033,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",4.5,120,16.8,241,7.36886879193321,118.011418307388,"Summer",84602,16.55,166,7.280083597685,128.141792205874,16.3,161.4,7.30332433696299,134.640180643162,"F","Adult"
"adult","female",6,-118.03209,35.41361,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",7.4,132,16.9,232,7.3670437309231,118.009511038202,"Summer",84516,16.65,159.5,7.28723417698733,128.379974360071,16.4,155.4,7.31135184596991,135.258130153519,"F","Adult"
"adult","male",5,-118.02866,35.44229,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",8.9,135,16.6,241,7.2982978505369,117.279815627976,"Spring",84520,16.35,166.5,7.21198317327774,128.443918641053,16.08,161.6,7.22770695374392,135.661239340249,"M","Adult"
"adult","female",6,-118.01707,35.43233,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",9.5,125,16.9,226,7.34851046543489,119.221160589537,"Summer",84519,16.65,155,7.27054962185376,128.152563083693,16.4,151,7.28188840617592,135.65731443057,"F","Adult"
"adult","male",6,-118.0173,35.4349,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",5.9,115,16.7,237,7.31815405603618,119.215003124796,"Summer",84521,16.45,163,7.23153851284981,129.341890846563,16.2,158.4,7.24902866180788,136.599373078498,"M","Adult"
"adult","male",6,-118.0173,35.4349,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",6,128,16.7,237,7.31815405603618,119.215003124796,"Summer",84601,16.45,163,7.23153851284981,129.341890846563,16.2,158.4,7.24902866180788,136.599373078498,"M","Adult"
"adult","male",2,-118.02375,35.42551,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",8.8,136,16.9,228,7.35067508752932,118.896619415089,"Winter",84598,16.65,156.5,7.26499809579292,128.771193071635,16.4,152.6,7.29234964561508,135.837051872853,"M","Adult"
"adult","female",7,-118.02866,35.44229,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",6.1,103,16.6,241,7.2982978505369,117.279815627976,"Summer",84603,16.35,166.5,7.21198317327774,128.443918641053,16.08,161.6,7.22770695374392,135.661239340249,"F","Adult"
"juvenile","male",8,-118.03111,35.42024,2003,"Perognathus longimembris longimembris","Perognathus_longimembris",6,127,16.9,231,7.36305272659007,118.127930798676,"Summer",84514,16.65,159,7.27125022791783,128.386848763429,16.4,154.4,7.29830364810889,135.247331070136,"M","Juvenile"
"Juvenile","male",6,-117.3027,35.07937,1987,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",4,115,18.5,139,8.23957559954431,114.9728929401,"Summer",84230,18.7,111.5,7.83338892715961,110.151946719379,18.34,123.6,8.16065174466092,129.367309201452,"M","Juvenile"
"unknown","female",7,-117.2333333,37.0666667,1964,"Perognathus longimembris","Perognathus_longimembris",7.55,59,13.7,110,8.49827076884504,171.786039234079,"Summer",84656,13.85,133,8.29618818413201,141.634425609963,14.24,101,8.51627874314708,119.43215891741,"F","NS"
"unknown","female",5,-115.8,34.1166667,1963,"Perognathus longimembris","Perognathus_longimembris",6.5,60,21,122,7.90145268576953,143.868996381821,"Spring",84637,21.2,77.5,7.96667937894965,122.076342447524,21.42,75.2,8.16649735539991,151.293554606251,"F","NS"
"unknown","female",8,-117.9833333,38.8,1964,"Perognathus longimembris","Perognathus_longimembris",8,63,9.8,151,8.63621690465463,92.51240703033,"Summer",84662,10.15,151.5,8.3789035491257,83.4511983450188,10.58,135.2,8.67323197105416,95.4173587202849,"F","NS"
"unknown","female",7,-117.9833333,38.8,1964,"Perognathus longimembris","Perognathus_longimembris",7.4,61,9.8,151,8.63621690465463,92.51240703033,"Summer",84634,10.15,151.5,8.3789035491257,83.4511983450188,10.58,135.2,8.67323197105416,95.4173587202849,"F","NS"
"unknown","female",5,-114.91889,35.46528,1964,"Perognathus longimembris","Perognathus_longimembris",7.65,63,16.4,60,9.1247042293286,83.557274858735,"Spring",84451,16.85,102,8.67179016147874,94.842173299534,17.16,105.8,8.67331510159453,95.5223958571527,"F","NS"
"unknown","female",7,-118.4725,40.17944,1964,"Perognathus longimembris","Perognathus_longimembris",6.6,56,9.7,126,8.39849824238076,78.6900341539641,"Summer",84426,10,174.5,8.39575515344958,76.0837396824543,10.14,147.2,8.72003523724024,80.848147680603,"F","NS"
"unknown","female",7,-117.9833333,36.7666667,1964,"Perognathus longimembris","Perognathus_longimembris",7.5,62,6.9,148,7.18597118127966,137.169124357804,"Summer",84657,7,334.5,6.9469153300604,122.220264803361,7.38,243.6,7.18584362161001,138.358906802231,"F","NS"
"unknown","female",6,-116.24,36.27,1964,"Perognathus longimembris","Perognathus_longimembris",4.4,51,16,61,8.83304316275832,135.206386136881,"Summer",84302,16.2,91.5,8.63452726768364,126.66116544972,16.56,81.8,8.76019490123222,118.260144495185,"F","NS"
"unknown","female",7,-117.9833333,38.8,1964,"Perognathus longimembris","Perognathus_longimembris",7.55,61,9.8,151,8.63621690465463,92.51240703033,"Summer",84635,10.15,151.5,8.3789035491257,83.4511983450188,10.58,135.2,8.67323197105416,95.4173587202849,"F","NS"
"unknown","female",6,-117.92111,36.7666667,1964,"Perognathus longimembris","Perognathus_longimembris",7,59,11,105,7.71197416065079,146.561614367629,"Summer",84436,11.1,239.5,7.46841040445661,129.870430389358,11.48,179,7.72184822086739,144.685872280477,"F","NS"
