"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",5,-112.8330556,35.0522222,2001,"Peromyscus boylii","Peromyscus_boylii",27.9,202,13.2,315,8.31659075692569,72.7636840463063,"Spring",86879,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"adult","male",11,-121.51981,36.40689,2001,"Peromyscus boylii rowleyi","Peromyscus_boylii",19.8,188,13.9,916,5.4185637703485,115.812243158023,"Fall",86129,13.95,877.5,5.2034113561885,130.118059701604,13.86,835.8,5.34205762813773,139.047234540777,"M","Adult"
"adult","female",9,-108.2181,32.9773,2008,"Peromyscus boylii","Peromyscus_boylii",35,212,11.3,655,6.74448708654751,87.0791110180936,"Fall",86376,11.45,660,7.06839992114753,74.280010330421,11.48,643,6.98655999215861,81.9206233717033,"F","Adult"
"adult","male",10,-108.7730722222,31.6052138889,2007,"Peromyscus boylii","Peromyscus_boylii",29,188,14.2,457,7.37873172152111,89.7712180497236,"Fall",86387,14.3,436.5,7.11231370869762,110.160867224081,14.2,458.4,7.13838972740513,92.4069016508995,"M","Adult"
"adult","male",9,-112.5946389,34.3437222,2001,"Peromyscus boylii","Peromyscus_boylii",24.2,182,16.7,394,8.17184282469475,76.0424617674314,"Fall",86865,16.5,415,7.90878673072104,108.62166682664,15.92,446.8,7.55383114218401,105.452550818132,"M","Adult"
"adult","male",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",19.1,175,14.9,350,7.63881634492643,64.868870156639,"Fall",85323,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"M","Adult"
"adult","male",12,-116.67471,33.1249,2005,"Peromyscus boylii rowleyi","Peromyscus_boylii",21,162,15.2,641,5.14554087624332,156.859642835938,"Winter",86857,15.3,620,5.48664464247364,134.444429902152,14.9,485,5.50800395718469,131.039328670421,"M","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",21.7,195,14.9,350,7.63881634492643,64.868870156639,"Fall",85945,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","male",5,-112.8330556,35.0522222,2001,"Peromyscus boylii","Peromyscus_boylii",24.7,210,13.2,315,8.31659075692569,72.7636840463063,"Spring",86463,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"adult","male",9,-110.0778333,43.3457778,2001,"Peromyscus boylii","Peromyscus_boylii",23.2,205,0.6,431,9.68533333541917,53.0460141164107,"Fall",86460,0.6,454,9.32423667128754,48.9838745009376,0.48,586.2,8.49312009441352,47.7699541601962,"M","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",15.3,138,14.9,350,7.63881634492643,64.868870156639,"Fall",85327,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","female",9,-107.518382,33.04243,2013,"Peromyscus boylii","Peromyscus_boylii",25,210,15.4,270,8.28914953418021,143.552826481913,"Fall",86086,15.85,230,7.96533891008083,130.359532554859,15.74,243.6,8.05313839512168,119.049214011968,"F","Adult"
"adult","female",4,-116.81836,32.683,2005,"Peromyscus boylii rowleyi","Peromyscus_boylii",17.7,166,17.4,466,4.05472974849537,186.134599211714,"Spring",86856,17.55,444,4.42469609243531,151.860260899849,17.14,338.6,4.42076240005427,157.905079690457,"F","Adult"
"adult","male",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",21.2,200,14.9,350,7.63881634492643,64.868870156639,"Fall",85331,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"M","Adult"
"adult","male",5,-112.8330556,35.0522222,2001,"Peromyscus boylii","Peromyscus_boylii",28,205,13.2,315,8.31659075692569,72.7636840463063,"Spring",86872,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"adult","male",10,-108.77034,31.5774,2007,"Peromyscus boylii","Peromyscus_boylii",18,190,13.4,531,7.2862832941373,90.2536952528156,"Fall",85349,13.5,506,7.00404374007699,110.02413098686,13.42,532,7.02558378545568,92.6552285051869,"M","Adult"
"adult","female",10,-108.76806,31.58881,2007,"Peromyscus boylii","Peromyscus_boylii",22,190,13.6,512,7.30285851049042,89.6177369632211,"Fall",86786,13.7,488.5,7.03078671165343,110.199243877667,13.6,513.6,7.05712642654016,92.7479491754721,"F","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",21.2,198,14.9,350,7.63881634492643,64.868870156639,"Fall",85939,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","female",5,-105.89255,35.5820333333,2009,"Peromyscus boylii","Peromyscus_boylii",16,159,9.9,354,7.87468133073371,73.7664392242334,"Spring",85346,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"F","Adult"
"adult","female",10,-108.7730722222,31.6052138889,2007,"Peromyscus boylii","Peromyscus_boylii",19,181,14.2,457,7.37873172152111,89.7712180497236,"Fall",86386,14.3,436.5,7.11231370869762,110.160867224081,14.2,458.4,7.13838972740513,92.4069016508995,"F","Adult"
"adult","male",5,-112.8330556,35.0522222,2001,"Peromyscus boylii","Peromyscus_boylii",25.3,170,13.2,315,8.31659075692569,72.7636840463063,"Spring",86464,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"adult","male",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",25.2,195,14.9,350,7.63881634492643,64.868870156639,"Fall",85325,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"M","Adult"
"adult","male",8,-109.1838455,31.8699772,1965,"Peromyscus boylii","Peromyscus_boylii",21.5,195,12.8,619,6.19330038807821,116.923343708291,"Summer",87129,12.45,547,6.88075771061018,128.488439409584,12.88,506.4,6.82119960080136,114.301027784023,"M","Adult"
"adult","male",8,-110.7282778,34.54025,2001,"Peromyscus boylii","Peromyscus_boylii",24.6,195,10.7,423,8.57692464486172,73.6940847764586,"Summer",86867,10.5,399,8.31377051691809,94.8953661061943,9.8,416.8,7.8954769964196,99.0876005509162,"M","Adult"
"adult","female",12,-116.81836,32.683,2005,"Peromyscus boylii rowleyi","Peromyscus_boylii",18.2,180,17.4,466,4.05472974849537,186.134599211714,"Winter",86449,17.55,444,4.42469609243531,151.860260899849,17.14,338.6,4.42076240005427,157.905079690457,"F","Adult"
"adult","male",10,-108.7730722222,31.6052138889,2007,"Peromyscus boylii","Peromyscus_boylii",23,192,14.2,457,7.37873172152111,89.7712180497236,"Fall",86784,14.3,436.5,7.11231370869762,110.160867224081,14.2,458.4,7.13838972740513,92.4069016508995,"M","Adult"
"adult","female",9,-107.51982,33.04251,2013,"Peromyscus boylii","Peromyscus_boylii",29,227,15.4,271,8.28914953418021,143.552826481913,"Fall",85454,15.85,230.5,7.96533891008083,130.359532554859,15.74,244,8.05313839512168,119.078612631503,"F","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",17.5,185,14.9,350,7.63881634492643,64.868870156639,"Fall",85324,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",25,203,14.9,350,7.63881634492643,64.868870156639,"Fall",85937,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",20.8,197,14.9,350,7.63881634492643,64.868870156639,"Fall",85948,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
"adult","female",9,-108.2181,32.9773,2008,"Peromyscus boylii","Peromyscus_boylii",23,185,11.3,655,6.74448708654751,87.0791110180936,"Fall",86777,11.45,660,7.06839992114753,74.280010330421,11.48,643,6.98655999215861,81.9206233717033,"F","Adult"
"adult","female",8,-110.7282778,34.54025,2001,"Peromyscus boylii","Peromyscus_boylii",21.3,196,10.7,423,8.57692464486172,73.6940847764586,"Summer",86868,10.5,399,8.31377051691809,94.8953661061943,9.8,416.8,7.8954769964196,99.0876005509162,"F","Adult"
"adult","male",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",24.5,193,14.9,350,7.63881634492643,64.868870156639,"Fall",85944,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"M","Adult"
"adult","female",10,-108.7730722222,31.6052138889,2007,"Peromyscus boylii","Peromyscus_boylii",20,186,14.2,457,7.37873172152111,89.7712180497236,"Fall",86787,14.3,436.5,7.11231370869762,110.160867224081,14.2,458.4,7.13838972740513,92.4069016508995,"F","Adult"
"adult","female",5,-112.8330556,35.0522222,2001,"Peromyscus boylii","Peromyscus_boylii",27.4,197,13.2,315,8.31659075692569,72.7636840463063,"Spring",86470,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"F","Adult"
"adult","male",10,-108.77019,31.57738,2007,"Peromyscus boylii","Peromyscus_boylii",18,167,13.4,531,7.2862832941373,90.2536952528156,"Fall",85959,13.5,506,7.00725709206645,110.02413098686,13.42,532,7.02686912625146,92.6552285051869,"M","Adult"
"adult","female",10,-108.7730722222,31.6052138889,2007,"Peromyscus boylii","Peromyscus_boylii",23,193,14.2,457,7.37873172152111,89.7712180497236,"Fall",86782,14.3,436.5,7.11231370869762,110.160867224081,14.2,458.4,7.13838972740513,92.4069016508995,"F","Adult"
"adult","female",10,-108.8703,33.2705,2009,"Peromyscus boylii","Peromyscus_boylii",20.2,195,14.9,350,7.63881634492643,64.868870156639,"Fall",85320,14.65,394,7.5510805573168,73.6553858834652,14.7,436.6,7.62942115689138,85.5869107724001,"F","Adult"
