"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"Ad","female",8,-133.6131,55.4411,2010,"Peromyscus keeni","Peromyscus_keeni",24.9,208,7.8,2614,4.54041614699344,54.2591398920188,"Summer",170413,7.15,2617,5.05397544700036,51.9847628905894,6.76,2648.6,4.99154494784104,47.3245234450146,"F","Adult"
"Ad","female",8,-133.4361,55.424,2010,"Peromyscus keeni","Peromyscus_keeni",27.3,206,7.8,2715,4.59118886036233,54.4683758173012,"Summer",170405,7.15,2662.5,5.12914820370942,51.7471545429478,6.76,2710.4,5.05624649066489,48.0449085822392,"F","Adult"
"adult","female",7,-132.8333333333,56.5833333333,1992,"Peromyscus keeni","Peromyscus_keeni",20.3,200,3.5,4877,5.55323411094014,50.4291208606409,"Summer",174752,4.7,4443,5.3933360871101,54.5184685441169,4.54,4165.6,5.96048048956593,59.865645594621,"F","Adult"
"adult","male",6,-135.35,57.1333333333,1983,"Peromyscus keeni","Peromyscus_keeni",33.8,220,5.1,3506,5.08982198890962,63.5126420876926,"Summer",174569,4.95,3094.5,5.36297386134993,60.3804914917753,5.42,3293.6,5.42124013824248,59.0022621994805,"M","Adult"
"adult","female",7,-131.3166666667,54.9666666667,1982,"Peromyscus keeni","Peromyscus_keeni",37.6,214,6.7,1978,5.44500744357674,58.6251637383289,"Summer",170858,7.65,2258,4.84308160937723,50.1499377449363,7.6,2352.4,5.00085872242943,53.1407603125711,"F","Adult"
"adult","female",7,-134.4489,58.4216,2010,"Peromyscus keeni","Peromyscus_keeni",31,218,2.7,3405,5.95276228215765,69.7909005896767,"Summer",177383,1.2,3882,6.66639087782062,68.5791559707005,0.72,3779.6,6.6512197553632,57.0838689466455,"F","Adult"
"adult","female",7,-133.0747,56.2268,2011,"Peromyscus keeni","Peromyscus_keeni",20.1,205,6.2,2341,5.32748021625097,50.3961001871718,"Summer",170584,6.85,2282,5.16156609240172,52.1367373745944,6.46,2223,5.51397149956995,47.4327670589448,"F","Adult"
"adult","male",6,-130.0666666667,55.9666666667,1990,"Peromyscus keeni","Peromyscus_keeni",24.8,204,5.5,1520,8.08612728971382,69.5554651324465,"Summer",174612,4.15,2020.5,7.76005333280741,85.6721149719777,4.26,2052.4,6.91062344726141,68.3210544243166,"M","Adult"
"adult","female",7,-133.2266,55.7689,2011,"Peromyscus keeni","Peromyscus_keeni",19.8,204,6.2,2658,5.13764331069011,49.1843463370695,"Summer",174254,6.5,2842,5.06005863585557,52.7998236705634,6.1,2779.2,5.33943615553752,50.0956976427062,"F","Adult"
"adult","female",7,-129.792341,56.743418,2013,"Peromyscus keeni","Peromyscus_keeni",25,197,3.3,823,8.47416751967502,41.1004356019919,"Summer",177607,2.4,854,8.46507092876426,40.8175713243501,2.34,840.4,8.58251411704447,45.6296338628683,"F","Adult"
"adult","male",7,-131.6946,55.4118,2011,"Peromyscus keeni","Peromyscus_keeni",26.1,222,6.4,3778,5.18272187760505,50.664259223519,"Summer",170480,6.4,4054,5.13577023577345,55.8181315204843,6.06,3885.2,5.5418890217603,52.6490953049495,"M","Adult"
"adult","male",8,-131.3901,57.8368,2007,"Peromyscus keeni","Peromyscus_keeni",20.5,192,3,379,10.42899149661,50.4406928644368,"Summer",173878,1.7,515,9.94282736284863,49.7091192947916,2.52,517.6,9.69261174968705,51.261434906369,"M","Adult"
"adult","male",7,-133.3793,56.1622,2011,"Peromyscus keeni","Peromyscus_keeni",18.3,190,5.1,3277,5.48343925475664,49.7520453077904,"Summer",174110,6.05,3038.5,5.26010582374437,50.8604569816875,5.68,2993.2,5.5680727050786,48.1090811332194,"M","Adult"
"adult","female",6,-130.0666666667,55.9666666667,1990,"Peromyscus keeni","Peromyscus_keeni",24.2,189,5.5,1520,8.08612728971382,69.5554651324465,"Summer",170958,4.15,2020.5,7.76005333280741,85.6721149719777,4.26,2052.4,6.91062344726141,68.3210544243166,"F","Adult"
"adult","male",8,-135.6583333333,57.975,1992,"Peromyscus keeni","Peromyscus_keeni",29.9,191,6.2,2333,5.1302135344536,42.2227401689929,"Summer",178306,5.55,2648.5,5.21765410896965,50.4089109731513,5.08,2517.4,5.99071312571574,57.3135178339325,"M","Adult"
"adult","male",9,-132.9666666667,56.8027777778,1993,"Peromyscus keeni","Peromyscus_keeni",19.6,191,7.6,2515,5.66238920555197,63.2612296520505,"Fall",174895,6.75,2880.5,5.38810362026078,55.5162433566878,6.24,2954,5.83815255610303,60.9746209395532,"M","Adult"
"adult","male",6,-133.4166666667,55.4333333333,1983,"Peromyscus keeni","Peromyscus_keeni",30.3,205,7.7,2343,4.52597720906433,46.1692766323302,"Summer",174552,6.8,2399.5,4.9133943829548,50.3996855762408,7.14,2633.6,4.96453793536033,49.852829642127,"M","Adult"
"adult","male",7,-133.3333333333,56.8666666667,1992,"Peromyscus keeni","Peromyscus_keeni",20.5,182,6.9,2135,4.81330227472562,44.7147343135107,"Summer",174699,6.7,2334,4.88326839970098,50.5892344644198,6.48,2212.4,5.47308848122955,57.4173744294254,"M","Adult"
"adult","female",8,-130.2688,57.2823,2007,"Peromyscus keeni","Peromyscus_keeni",22.5,195,0.9,693,9.11033379290692,51.6133802812795,"Summer",179491,0.45,735.5,9.06117423838219,48.3947582681345,1.2,750.6,8.73096803765457,48.480848917266,"F","Adult"
"adult","male",6,-135.2166666667,57.05,1983,"Peromyscus keeni","Peromyscus_keeni",30.3,219,5.4,3385,5.12062821666769,63.5770837350991,"Summer",174586,4.85,3209,5.4225112503529,59.7171387962776,5.28,3402.6,5.47627208356677,57.6432694557361,"M","Adult"
"adult","male",6,-133.4583333333,55.4166666667,1983,"Peromyscus keeni","Peromyscus_keeni",31,205,7.5,2514,4.60904907039764,46.013649147754,"Summer",179792,6.75,2532,4.92914709176706,50.368801936345,7.12,2772,4.97976245821429,49.6272981897949,"M","Adult"
"adult","male",6,-130.0666666667,55.9666666667,1990,"Peromyscus keeni","Peromyscus_keeni",23,201,5.5,1520,8.08612728971382,69.5554651324465,"Summer",174608,4.15,2020.5,7.76005333280741,85.6721149719777,4.26,2052.4,6.91062344726141,68.3210544243166,"M","Adult"
"adult","female",8,-130.2688,57.2823,2007,"Peromyscus keeni","Peromyscus_keeni",28,191,0.9,693,9.11033379290692,51.6133802812795,"Summer",179482,0.45,735.5,9.06117423838219,48.3947582681345,1.2,750.6,8.73096803765457,48.480848917266,"F","Adult"
"adult","female",7,-132.7666666667,56.5833333333,1992,"Peromyscus keeni","Peromyscus_keeni",19.8,205,6.8,2740,5.07826622763989,46.4114739211414,"Summer",171145,6.05,3439.5,5.2284474473217,51.50327203291,5.86,3220.4,5.78726857618838,56.5226833339602,"F","Adult"
"adult","male",7,-129.7917,56.74365696,2013,"Peromyscus keeni","Peromyscus_keeni",18.9,165,3.3,823,8.47416751967502,41.1004356019919,"Summer",177601,2.45,852.5,8.47388556924292,40.8221201489003,2.36,839.2,8.59024791245151,45.619475961267,"M","Adult"
"adult","female",7,-129.795494,56.74329604,2013,"Peromyscus keeni","Peromyscus_keeni",17.9,176,3.3,822,8.45603155723592,41.0794445169405,"Summer",179748,2.35,861,8.45112757173561,40.8934367603975,2.3,847.2,8.56691601026483,45.7623139039279,"F","Adult"
"adult","male",6,-135.35,57.0833333333,1983,"Peromyscus keeni","Peromyscus_keeni",38.4,220,4.5,3827,5.14595310251982,63.5615715096274,"Summer",170944,4.75,3152.5,5.34218543651024,60.4531568561466,5.2,3353.8,5.39963308109175,58.9694419699328,"M","Adult"
