"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"AD","male",6,-79.406653,42.439706,1992,"Peromyscus leucopus","Peromyscus_leucopus",14.3,147,9.3,1093,8.2849626469047,46.504542706523,"Summer",89859,10.15,975.5,8.74388715276806,40.5586993238236,10.02,1009,8.99853672305116,41.1076456122165,"M","Adult"
"adult","female",8,-93.5833333,48.25,1921,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",6,NA,3.5,560,12.8868120278999,76.5961871196053,"Summer",90679,3.05,551.5,13.0289776510881,75.00692217079,2.5,538.8,13.2827789565243,76.254461227446,"F","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",29,172,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89784,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","male",6,-79.5295,37.4967,1997,"Peromyscus leucopus","Peromyscus_leucopus",16,171,9.8,1242,7.51198537288407,31.574906435063,"Summer",90198,9.9,1553.5,8.01421779329185,39.5296639462918,10.48,1465,8.27674051385084,46.9916295808826,"M","Adult"
"adult","female",10,-76.5789,43.3631,1991,"Peromyscus leucopus","Peromyscus_leucopus",16,158,9.9,1033,9.48691283566552,28.1708765337389,"Fall",90214,9.85,1145.5,8.89717645552369,30.1143812996799,9.08,1028.8,9.59311629123142,36.171060532514,"F","Adult"
"adult","male",9,-76.655259,42.276659,1974,"Peromyscus leucopus","Peromyscus_leucopus",18.3,140,7.2,970,9.29700179758197,29.1365018234782,"Fall",89874,7.8,986.5,9.50745857477147,32.8225765868757,7.36,1007.6,9.96596940941619,41.8534242314651,"M","Adult"
"adult","female",9,-76.5739,43.3631,1993,"Peromyscus leucopus","Peromyscus_leucopus",16,163,8.1,1017,10.1626619037385,32.2851650528251,"Fall",90224,8,1090,9.5002704756862,31.4760166669471,8.7,1094.6,9.46055298436716,32.8621678863012,"F","Adult"
"adult","male",9,-76.5739,43.3631,1993,"Peromyscus leucopus","Peromyscus_leucopus",16,161,8.1,1017,10.1626619037385,32.2851650528251,"Fall",90225,8,1090,9.5002704756862,31.4760166669471,8.7,1094.6,9.46055298436716,32.8621678863012,"M","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",27,175,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89794,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","female",8,-74.695,41.9633,1997,"Peromyscus leucopus","Peromyscus_leucopus",16,191,4.9,1181,8.72533753797039,34.0171139190006,"Summer",90232,5.2,1493,9.17973714376178,36.151617124625,5.46,1376.8,9.80159874496411,42.5013255392854,"F","Adult"
"adult","female",8,-74.695,41.9633,1997,"Peromyscus leucopus","Peromyscus_leucopus",16,187,4.9,1181,8.72533753797039,34.0171139190006,"Summer",90237,5.2,1493,9.17973714376178,36.151617124625,5.46,1376.8,9.80159874496411,42.5013255392854,"F","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",23,182,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89774,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","female",6,-79.5295,37.4967,1997,"Peromyscus leucopus","Peromyscus_leucopus",16,156,9.8,1242,7.51198537288407,31.574906435063,"Summer",90241,9.9,1553.5,8.01421779329185,39.5296639462918,10.48,1465,8.27674051385084,46.9916295808826,"F","Adult"
"adult","female",4,-100.5206333333,42.8515666667,2008,"Peromyscus leucopus aridulus","Peromyscus_leucopus",27,187,8.1,554,11.1117566731654,90.3657045297039,"Spring",89974,8.75,529.5,11.582842683783,89.804420060178,9.34,489.2,10.8792341788276,88.6365396595163,"F","Adult"
"adult","male",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",25.5,169,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89076,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"M","Adult"
"adult","male",3,-100.5256666667,42.8905333333,2008,"Peromyscus leucopus aridulus","Peromyscus_leucopus",23,162,8,551,11.0540373811672,91.3280922595156,"Spring",89960,8.65,529.5,11.5284200420863,90.2378294049353,9.28,489.8,10.8245701840467,88.8763945284919,"M","Adult"
"adult","male",10,-76.5789,43.3631,1991,"Peromyscus leucopus","Peromyscus_leucopus",17,161,9.9,1033,9.48691283566552,28.1708765337389,"Fall",89540,9.85,1145.5,8.89717645552369,30.1143812996799,9.08,1028.8,9.59311629123142,36.171060532514,"M","Adult"
"adult","female",4,-100.5206333333,42.8515666667,2008,"Peromyscus leucopus aridulus","Peromyscus_leucopus",25.5,170,8.1,554,11.1117566731654,90.3657045297039,"Spring",89262,8.75,529.5,11.582842683783,89.804420060178,9.34,489.2,10.8792341788276,88.6365396595163,"F","Adult"
"adult","male",7,-79.406653,42.439706,1991,"Peromyscus leucopus","Peromyscus_leucopus",19.7,161,11,858,9.20281165863142,34.6128559411243,"Summer",89151,10.95,1021.5,8.49820667336482,34.8848407892337,10.28,983.6,9.21528296140092,41.1969039225873,"M","Adult"
"adult","male",8,-73.2791,42.7191,2003,"Peromyscus leucopus","Peromyscus_leucopus",23,172,5.5,1587,10.4774505342173,31.4064482526584,"Summer",90227,6.15,1477,9.75347172799221,32.4963730027122,6.26,1331.6,9.52834186496087,41.6640311004396,"M","Adult"
"adult","female",8,-90.786358,39.078648,1981,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",23.2,176,12.6,1211,9.58145304347114,71.524010748159,"Summer",90365,12.55,966.5,10.339634413193,62.0501434193244,11.96,933.6,11.1075875146727,57.8882517728261,"F","Adult"
"adult","male",7,-76.63586,42.27777,1992,"Peromyscus leucopus","Peromyscus_leucopus",19.8,161,7,1146,8.84907117194006,40.8377130084996,"Summer",89121,8,974.5,9.16354799747136,37.0641936025408,7.98,997.2,9.415842282766,46.3341257536561,"M","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",25.5,167,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89838,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","male",9,-76.5094764,42.4381028,1949,"Peromyscus leucopus","Peromyscus_leucopus",19.8,160,10.8,727,9.43864958882393,38.6913357749824,"Fall",90456,10.05,807,9.77825030016191,38.2981296878389,9.78,892.2,9.77926803445609,46.2364718917414,"M","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",22,167,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89779,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","female",7,-75.469299,44.151524,1991,"Peromyscus leucopus","Peromyscus_leucopus",22,174,7.4,958,10.1296556823233,27.7730995676294,"Summer",89822,7.5,1066,9.5020925596361,31.9883077819204,6.82,1008.8,10.3983810821373,39.0441228377538,"F","Adult"
"adult","female",1,-93.5833333,45.3,1926,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",16,NA,5.8,761,11.9824745762174,94.1031773336835,"Winter",90905,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"F","Adult"
"adult","female",1,-93.5833333,45.3,1926,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",16,NA,5.8,761,11.9824745762174,94.1031773336835,"Winter",90909,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"F","Adult"
"adult","male",6,-75.627724,44.113591,1991,"Peromyscus leucopus","Peromyscus_leucopus",16,149,7.8,939,10.1516083215987,26.2715074855058,"Summer",89809,7.9,1038.5,9.52008035710971,30.0172581428456,7.22,990,10.3838820125581,37.8381533474285,"M","Adult"
"adult","male",3,-95.4389667,28.9453167,2003,"Peromyscus leucopus","Peromyscus_leucopus",19.9,173,21.3,1307,6.44216696085371,77.6598983282154,"Spring",90579,21.3,1531,6.39749690955211,76.7592371192583,21.58,1386.8,6.14646511205041,68.6565762099025,"M","Adult"
"adult","female",5,-76.491298,42.466761,1958,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",20,NA,7.4,1019,10.2814779034333,30.9062198713174,"Spring",89032,8.15,890.5,9.77257051561917,37.5132621291382,8.48,898.6,9.76495176681339,43.3589636326881,"F","Adult"
"adult","female",11,-83.751711,34.759411,1980,"Peromyscus leucopus leucopus","Peromyscus_leucopus",16.1,152,13.3,1731,8.22814828758113,85.2976390458019,"Fall",90363,13.1,2025.5,7.87454185728611,61.9096785118937,13,1996,8.03640735512509,65.8008432588999,"F","Adult"
"adult","male",8,-73.04167,42.2183,2003,"Peromyscus leucopus","Peromyscus_leucopus",21,185,6.2,1692,10.3566257521307,36.0403986475333,"Summer",89498,6.85,1515.5,9.71993019578614,36.4801576818508,6.94,1445.2,9.5638329429698,44.551692317519,"M","Adult"
"adult","female",10,-76.5789,43.3631,1991,"Peromyscus leucopus","Peromyscus_leucopus",21,186,9.9,1033,9.48691283566552,28.1708765337389,"Fall",89536,9.85,1145.5,8.89717645552369,30.1143812996799,9.08,1028.8,9.59311629123142,36.171060532514,"F","Adult"
"adult","male",6,-75.627724,44.113591,1991,"Peromyscus leucopus","Peromyscus_leucopus",20,158,7.8,939,10.1516083215987,26.2715074855058,"Summer",89093,7.9,1038.5,9.52008035710971,30.0172581428456,7.22,990,10.3838820125581,37.8381533474285,"M","Adult"
"adult","female",7,-75.627724,44.113591,1991,"Peromyscus leucopus","Peromyscus_leucopus",20,185,7.8,939,10.1516083215987,26.2715074855058,"Summer",89104,7.9,1038.5,9.52008035710971,30.0172581428456,7.22,990,10.3838820125581,37.8381533474285,"F","Adult"
"adult","female",1,-76.5789,43.3631,1993,"Peromyscus leucopus","Peromyscus_leucopus",16.29999924,160,8.1,1015,10.1695736032897,32.3840738690052,"Winter",89523,8,1088.5,9.49788713422902,31.6164511880203,8.7,1093.8,9.46000934726587,32.9551019714121,"F","Adult"
"adult","male",8,-90.357205,38.655558,1981,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",18.6,170,13,1164,9.42601172127942,67.3102651452984,"Summer",90372,13.05,939,10.2209271536229,58.2612364924966,12.42,955.4,10.9773342709095,56.4453558555156,"M","Adult"
"adult","female",7,-75.627724,44.113591,1991,"Peromyscus leucopus","Peromyscus_leucopus",24.5,180,7.8,939,10.1516083215987,26.2715074855058,"Summer",89855,7.9,1038.5,9.52008035710971,30.0172581428456,7.22,990,10.3838820125581,37.8381533474285,"F","Adult"
"adult","male",1,-93.5833333,45.3,1926,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",23,NA,5.8,761,11.9824745762174,94.1031773336835,"Winter",90910,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","male",10,-76.40055,42.46027,1955,"Peromyscus leucopus","Peromyscus_leucopus",16.4,172,8.3,978,10.9141658019069,72.0764679189421,"Fall",89039,8.25,969.5,10.2018168239464,52.285417177337,8.4,908,9.51528729675006,42.4928128838226,"M","Adult"
"adult","male",8,-102.9201431,36.8769226,1999,"Peromyscus leucopus","Peromyscus_leucopus",21,159,12.9,585,7.81670220318859,88.9097604061996,"Summer",89715,12.95,552.5,8.5539970755307,96.6028971431068,12.8,486.2,8.7091184614703,100.051164885236,"M","Adult"
"adult","male",3,-93.5833333,45.3,1926,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",24.5,NA,5.8,761,11.9824745762174,94.1031773336835,"Spring",90680,6.15,663.5,11.9646807267923,98.5512960441777,6.26,645.8,12.410753302493,85.4567535753252,"M","Adult"
"adult","female",3,-93.5833333,45.3,1927,"Peromyscus leucopus noveboracensis","Peromyscus_leucopus",24.5,NA,5.7,767,12.0207018400455,56.9537566177129,"Spring",90682,5.75,764,12.0015882081315,75.5284669756982,6,675,12.1848873333741,85.5029521518856,"F","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",27.5,159,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89061,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
"adult","female",5,-74.024368,41.362536,1991,"Peromyscus leucopus","Peromyscus_leucopus",27.5,166,10.8,1178,9.38994868801935,32.8364648740522,"Spring",89081,10.75,1392.5,8.82024752137367,38.9578595882925,9.88,1348.4,9.54660342256841,52.6458557200352,"F","Adult"
