"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",3,-104.7273333333,32.1174,2008,"Phalaenoptilus nuttallii","Phalaenoptilus_nuttallii",45.6,NA,13.9,409,6.41567091841012,127.948329303699,"Spring",102752,13.8,509,6.62306427713042,110.191124302836,13.92,582,6.66868643351498,112.311345778387,"M","Adult"
"ad.","male",6,-117.0343964,39.3959732,1930,"Phalaenoptilus nuttallii nuttallii","Phalaenoptilus_nuttallii",46.5,NA,7.2,451,8.55925425100419,90.2768268235405,"Summer",102826,7.4,371,8.73319226191163,82.8370682185389,8.02,309.6,8.44895431979372,76.0212568805817,"M","Adult"
"ad.","female",5,-119.1053,37.90891,1916,"Phalaenoptilus nuttallii nuttallii","Phalaenoptilus_nuttallii",44,NA,6.5,514,8.25665938757463,131.268195947851,"Spring",102789,6.65,436.5,7.6661422134444,127.378407284783,5.88,394.8,7.43735479857221,124.167788663587,"F","Adult"
"ad.","male",7,-109.716873,23.387557,1929,"Phalaenoptilus nuttallii dickeyi","Phalaenoptilus_nuttallii",44,NA,22.2,342,4.69806536585201,128.498769417651,"Summer",102963,22.55,354,4.48658916809142,143.103842144517,22.58,399.4,4.46763399515218,145.409218878293,"M","Adult"
"ad.","female",8,-120.7411667,39.0428333,1916,"Phalaenoptilus nuttallii californicus","Phalaenoptilus_nuttallii",47.5,NA,12.9,1630,7.01340707416009,139.669966232881,"Summer",103069,12.85,1504.5,6.81017680109484,133.812598568131,12.58,1295.8,6.59010810817519,122.405935979802,"F","Adult"
"ad.","male",7,-120.4694816,40.5257959,1928,"Phalaenoptilus nuttallii californicus","Phalaenoptilus_nuttallii",40.9,NA,10.2,264,7.68498634686589,116.807006572263,"Summer",102810,9.8,311.5,7.42670730055913,107.774463047811,9.64,288.2,7.51485214937035,96.5824973609355,"M","Adult"
"ad.","male",9,-120.84369,35.29653,1918,"Phalaenoptilus nuttallii californicus","Phalaenoptilus_nuttallii",51.5,NA,12.3,594,2.64620941016093,147.53511475635,"Fall",102953,12.15,432,2.80472825150963,176.417081505622,11.88,585.2,2.33674427713029,169.953778688197,"M","Adult"
"ad.","male",10,-117.465934,36.58766,1917,"Phalaenoptilus nuttallii nuttallii","Phalaenoptilus_nuttallii",47.5,NA,11.3,120,8.64527809462098,94.2916172886492,"Fall",102795,11.2,207.5,8.36550359956534,117.408400362393,11.3,236,8.01225860335707,112.892345649554,"M","Adult"
"ad.","male",6,-117.0343964,39.3959732,1930,"Phalaenoptilus nuttallii nuttallii","Phalaenoptilus_nuttallii",46.6,NA,7.2,451,8.55925425100419,90.2768268235405,"Summer",102824,7.4,371,8.73319226191163,82.8370682185389,8.02,309.6,8.44895431979372,76.0212568805817,"M","Adult"
"ad.","female",10,-121.17385,35.970848,1918,"Phalaenoptilus nuttallii californicus","Phalaenoptilus_nuttallii",58.1,NA,14.1,479,5.62835758378136,134.003052882456,"Fall",102954,14,351.5,5.75151357125455,158.556554158413,13.84,495.6,5.25392299882827,159.123006409248,"F","Adult"
