"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",6,-84.50291,54.37097,1980,"Pinicola enucleator leucurus","Pinicola_enucleator",61.1,NA,-3.6,557,14.068048905232,56.115650848949,"Summer",105343,-3.9,617,13.9516717909074,57.7504780805401,-3.94,583.6,13.9373808994657,56.5598473332089,"M","Adult"
"ad","female",2,-80.41719,44.46927,2006,"Pinicola enucleator leucurus","Pinicola_enucleator",55,NA,7.4,1107,9.00240708551515,30.5037050323415,"Winter",105453,6.95,1002,9.95344800691818,32.0943621184432,6.32,950,9.99228863289786,29.8114608401565,"F","Adult"
"ad","male",6,-111.7480724,48.3894847,1970,"Pinicola enucleator montanus","Pinicola_enucleator",46.9,NA,5.1,311,11.503553469439,88.195098903982,"Summer",105336,4.95,253.5,12.219474735109,121.589507263263,5.28,268.4,11.291962251055,101.83660698143,"M","Adult"
"ad","male",10,-92.83669,49.78156,1985,"Pinicola enucleator leucurus","Pinicola_enucleator",70.9,NA,0.6,856,13.2262222325747,63.354999894562,"Fall",105143,1.55,780,13.2208588071011,65.5542882936168,2.12,701.8,13.0879363718655,71.9656519501598,"M","Adult"
"ad","male",6,-84.50291,54.37097,1980,"Pinicola enucleator leucurus","Pinicola_enucleator",60.3,NA,-3.6,557,14.068048905232,56.115650848949,"Summer",105344,-3.9,617,13.9516717909074,57.7504780805401,-3.94,583.6,13.9373808994657,56.5598473332089,"M","Adult"
"ad","male",6,-87.62694,55.99405,1940,"Pinicola enucleator leucurus","Pinicola_enucleator",57.2,NA,-4.1,483,13.8470103982664,73.9597259021186,"Summer",105479,-4.65,478,14.2492110292284,63.9321889048771,-4.64,471.4,14.60924887584,58.956739423027,"M","Adult"
"ad","female",11,-79.15633,45.14917,1969,"Pinicola enucleator leucurus","Pinicola_enucleator",53.8,234,4.7,944,10.4903815974733,53.3742364782529,"Fall",105147,4.65,899,10.8607181762207,42.3881499036483,4.42,991.4,10.6711545196797,44.1107205672022,"F","Adult"
"ad","male",11,-80.45494,45.57176,1968,"Pinicola enucleator leucurus","Pinicola_enucleator",57.2,NA,5.6,867,10.9926525047829,36.3327026476708,"Fall",105145,5.35,972,10.7541108849552,36.6929814358483,5.42,954.4,10.3900274372666,41.8376796222083,"M","Adult"
"ad","male",6,-81.59189,52.25485,1942,"Pinicola enucleator leucurus","Pinicola_enucleator",59.1,NA,-1.5,703,13.437904327955,49.7651862110958,"Summer",105357,-1.45,690.5,13.1476696947848,55.2194091664825,-1.58,653.4,13.333692777855,57.2911344027675,"M","Adult"
"ad","female",7,-84.89298,54.48525,1981,"Pinicola enucleator leucurus","Pinicola_enucleator",64,NA,-2.1,446,12.2057456663953,43.8754670730874,"Summer",105346,-2.95,496,13.1604391576641,50.7194203978876,-3.54,563.6,13.3918913828319,55.4809844243974,"F","Adult"
"ad","female",7,-80.38682,49.02113,1973,"Pinicola enucleator leucurus","Pinicola_enucleator",49,NA,1.4,790,12.9191278202657,35.1789388541762,"Summer",105153,0.0499999999999999,768,13.1529275954739,37.9866216947636,0.26,805.8,13.0181725391274,45.7974014336657,"F","Adult"
"ad","male",12,-79.41878,43.86842,1968,"Pinicola enucleator leucurus","Pinicola_enucleator",60.7,NA,6.7,866,10.5819278475,40.8867177143079,"Winter",105146,6.55,861.5,10.2535664911963,43.0578437536396,6.7,814.8,9.95642754718753,44.5319780889895,"M","Adult"
"ad","male",1,-79.01225,45.19743,1970,"Pinicola enucleator leucurus","Pinicola_enucleator",57.7,224,4.2,942,11.8109989827151,39.1261629844997,"Winter",105335,4.45,939.5,11.1666924658788,45.4135320359609,4.44,958,11.0087055208483,42.2921226963769,"M","Adult"
"ad","[male]",11,-78.67823,44.47164,1929,"Pinicola enucleator leucurus","Pinicola_enucleator",52.3,NA,5.3,845,10.3990675572671,43.2884033888533,"Fall",105352,5.55,845,10.2758360447491,42.3180192115047,5.46,834.2,10.2148065259398,42.4889771675181,"M","Adult"
"ad","female",1,-79.04653,43.98262,1978,"Pinicola enucleator leucurus","Pinicola_enucleator",63.2,NA,6.1,769,10.923990141247,49.0749772689669,"Winter",105342,6.55,864.5,10.7793765177782,45.4646792728422,6.72,845.2,10.4176336906474,35.9380791423114,"F","Adult"
"ad","female",3,-83.462109,46.32239,1975,"Pinicola enucleator leucurus","Pinicola_enucleator",75,NA,5,822,10.8644959720768,34.885828479808,"Spring",105154,4.5,849.5,10.6892923221188,38.7041065270945,4.46,868,10.6828291204522,34.0564612890284,"F","Adult"
"ad","female",11,-79.15633,45.14917,1969,"Pinicola enucleator leucurus","Pinicola_enucleator",52.9,225,4.7,944,10.4903815974733,53.3742364782529,"Fall",105149,4.65,899,10.8607181762207,42.3881499036483,4.42,991.4,10.6711545196797,44.1107205672022,"F","Adult"
"ad","[male]",1,-76.92188,44.7223,1934,"Pinicola enucleator leucurus","Pinicola_enucleator",64,NA,5.3,742,12.1976897961719,33.2188302330873,"Winter",105160,5.85,760,11.558171085835,33.3535420886523,6.3,716,10.8973535014893,35.5471571248636,"M","Adult"
"ad","male",7,-84.52159,54.34023,1980,"Pinicola enucleator leucurus","Pinicola_enucleator",63.8,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",105157,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"M","Adult"
"ad","male",3,-147.828598,64.8547732,1978,"Pinicola enucleator alascensis","Pinicola_enucleator",58.3,NA,-0.7,234,12.596500235455,64.0051649095879,"Spring",105438,-1.35,289,13.6468263042889,76.3545298275303,-2.26,266,15.0936855829136,77.5307202951198,"M","Adult"
"ad","male",6,-57.693328,50.0791758,1972,"Pinicola enucleator eschatosus","Pinicola_enucleator",60,NA,1.2,1147,9.8027013902013,27.8880369688553,"Summer",105151,2.4,1153,9.25547404561739,36.1382038285319,3.26,1072.2,8.24683665357775,35.3962022292652,"M","Adult"
"ad","female",7,-66.4645579,54.7999992,1972,"Pinicola enucleator leucurus","Pinicola_enucleator",60,NA,-7.6,604,14.3626699425555,44.0723388324722,"Summer",105338,-6.3,711.5,13.6959281467895,47.2729375070163,-5.18,698.6,12.7369027545927,49.3087889532502,"F","Adult"
"ad","male",12,-89.12322,48.43968,1946,"Pinicola enucleator leucurus","Pinicola_enucleator",74,NA,2.4,781,11.3488051700555,55.0705022376891,"Winter",105358,2.1,777,11.3005724970361,45.8023809063395,2.4,767.6,11.3555276803665,50.1948654202339,"M","Adult"
"ad","male",11,-89.28001,48.38345,1941,"Pinicola enucleator leucurus","Pinicola_enucleator",72,NA,3.5,852,11.337227494971,70.9989216384061,"Fall",105163,3.05,772,11.3182902600807,55.3861756624503,2.78,756,11.5648237657074,49.7308207968021,"M","Adult"
"ad","male",12,-79.052996,44.26361,2012,"Pinicola enucleator leucurus","Pinicola_enucleator",54.2,NA,8.7,753,9.18046344641212,52.4341097867373,"Winter",105349,8.05,885.5,9.84948583266671,43.3827450123976,7.34,855.6,9.91093473863072,34.5506640451821,"M","Adult"
"ad","female",11,-79.0928,43.89135,1968,"Pinicola enucleator leucurus","Pinicola_enucleator",49.6,NA,7.2,811,10.6794052722845,37.0341642370359,"Fall",105144,7.05,822.5,10.3393143634909,37.8284700094719,7.2,790.4,10.0208162501978,42.7480825059083,"F","Adult"
"ad","male",7,-84.89489,54.51193,1981,"Pinicola enucleator leucurus","Pinicola_enucleator",59.8,NA,-2.1,445,12.2011176835269,44.1249185097822,"Summer",105454,-2.9,494,13.1469029938108,50.8441461162351,-3.52,561.4,13.38251103768,55.5595806670903,"M","Adult"
"ad","female",2,-70.0335503,47.368013,1959,"Pinicola enucleator eschatosus","Pinicola_enucleator",64.5,NA,3.7,929,12.3324283042225,47.1541724515952,"Winter",105360,3.65,1008,11.7619917810675,47.8524241978709,3.8,916,11.392149072667,43.1848727846913,"F","Adult"
"ad","male",2,-71.3033295,46.7652652,1946,"Pinicola enucleator leucurus","Pinicola_enucleator",65,NA,4.5,922,11.3138558119384,45.6317855795773,"Winter",105347,4.6,1088.5,11.3553660226549,40.1555065821931,4.52,1061.4,11.6570273658933,40.5468970584337,"M","Adult"
"ad","male",7,-84.89298,54.48525,1981,"Pinicola enucleator leucurus","Pinicola_enucleator",60,NA,-2.1,446,12.2057456663953,43.8754670730874,"Summer",105345,-2.95,496,13.1604391576641,50.7194203978876,-3.54,563.6,13.3918913828319,55.4809844243974,"M","Adult"
"ad","female",3,-83.462109,46.32239,1975,"Pinicola enucleator leucurus","Pinicola_enucleator",68.5,NA,5,822,10.8644959720768,34.885828479808,"Spring",105340,4.5,849.5,10.6892923221188,38.7041065270945,4.46,868,10.6828291204522,34.0564612890284,"F","Adult"
"ad","male",1,-76.92188,44.7223,1934,"Pinicola enucleator leucurus","Pinicola_enucleator",65,NA,5.3,742,12.1976897961719,33.2188302330873,"Winter",105354,5.85,760,11.558171085835,33.3535420886523,6.3,716,10.8973535014893,35.5471571248636,"M","Adult"
"ad","female",1,-79.71593,43.46917,1973,"Pinicola enucleator leucurus","Pinicola_enucleator",46.3,NA,8.6,875,10.0911715090094,44.0142685790715,"Winter",105339,7.8,892.5,10.0858478929498,34.9391552601837,7.76,814,10.3005531253371,36.9515057605138,"F","Adult"
"ad","female",11,-79.15633,45.14917,1969,"Pinicola enucleator leucurus","Pinicola_enucleator",65.7,238,4.7,944,10.4903815974733,53.3742364782529,"Fall",105334,4.65,899,10.8607181762207,42.3881499036483,4.42,991.4,10.6711545196797,44.1107205672022,"F","Adult"
"ad","male",7,-87.62694,55.99405,1940,"Pinicola enucleator leucurus","Pinicola_enucleator",65.5,NA,-4.1,483,13.8470103982664,73.9597259021186,"Summer",105478,-4.65,478,14.2492110292284,63.9321889048771,-4.64,471.4,14.60924887584,58.956739423027,"M","Adult"
