"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",6,-76.86601,43.94689,1930,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",44,NA,7.8,622,9.99043481930531,37.8935375302102,"Summer",105788,7.55,714,9.90129550449861,35.6986582613315,7.22,786,9.75944566042759,36.5616450069555,"M","Adult"
"ad","male",5,-95.1210022,39.8712767,1966,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",40.2,NA,11.2,654,10.1418537245267,108.863034913809,"Spring",105641,11.4,909,10.2373155400243,99.1358060118304,11.58,878.6,10.7856638441059,88.8342696341166,"M","Adult"
"ad","male",5,-77.27931,43.96989,1930,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",42,NA,7.7,613,10.1010200505001,37.744229913391,"Spring",105787,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"M","Adult"
"ad","male",5,-80.24294,42.5613,1962,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",29,204,8.5,809,10.2490021687258,41.278942878751,"Spring",105542,8.75,849.5,10.0802293279455,44.619851480696,8.68,857.6,10.20867082396,38.3837714546077,"M","Adult"
"ad","female",5,-72.5236702,42.6807318,1971,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",41,NA,7.3,1016,10.5843330475097,29.5783385840481,"Spring",105635,7.25,1016.5,10.8305227917748,31.7247421870777,7.24,1084.8,10.5238414644245,42.0186475147844,"F","Adult"
"ad","female",6,-80.46841,45.72264,1978,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",37,NA,4.4,852,11.4075832035298,46.808322366911,"Summer",105534,4.8,888.5,11.1695579956686,42.9146676119442,4.96,887.6,11.0160362648586,36.3647872955044,"F","Adult"
"ad","male",6,-87.62694,55.99405,1940,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",40.1,NA,-4.1,483,13.8470103982664,73.9597259021186,"Summer",105733,-4.65,478,14.2492110292284,63.9321889048771,-4.64,471.4,14.60924887584,58.956739423027,"M","Adult"
"ad","male",5,-72.5236702,42.6807318,1971,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",43,NA,7.3,1016,10.5843330475097,29.5783385840481,"Spring",105633,7.25,1016.5,10.8305227917748,31.7247421870777,7.24,1084.8,10.5238414644245,42.0186475147844,"M","Adult"
"ad","male",6,-71.0608,41.621,2006,"Pipilo erythrophthalmus","Pipilo_erythrophthalmus",39.7,187,12.2,1454,7.95816714089521,65.8772639933196,"Summer",105831,11.65,1411,8.74684740370287,55.6063194003878,11.22,1345.4,8.82713112420758,47.472963389706,"M","Adult"
"ad","male",6,-80.152343,43.341235,2003,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",39,NA,6.9,910,10.2206972127713,31.5959352506126,"Summer",105639,7.5,895.5,9.83751661950328,28.5064993887549,7.9,858.8,9.74880165456347,36.7761782793904,"M","Adult"
"ad","male",5,-72.5236702,42.6807318,1971,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",45,NA,7.3,1016,10.5843330475097,29.5783385840481,"Spring",105526,7.25,1016.5,10.8305227917748,31.7247421870777,7.24,1084.8,10.5238414644245,42.0186475147844,"M","Adult"
"ad","female",5,-95.1210022,39.8712767,1966,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",44.6,NA,11.2,654,10.1418537245267,108.863034913809,"Spring",105640,11.4,909,10.2373155400243,99.1358060118304,11.58,878.6,10.7856638441059,88.8342696341166,"F","Adult"
"ad","male",1,-79.64524,43.6843,1970,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",36.3,205,7.3,773,10.980847651776,32.8743594145251,"Winter",105525,7.25,736.5,10.6081514821468,37.898357925268,7.1,788.4,10.3104889359749,43.116152340977,"M","Adult"
"ad","male",5,-72.5236702,42.6807318,1971,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",45,NA,7.3,1016,10.5843330475097,29.5783385840481,"Spring",105529,7.25,1016.5,10.8305227917748,31.7247421870777,7.24,1084.8,10.5238414644245,42.0186475147844,"M","Adult"
"ad","male",5,-72.5236702,42.6807318,1971,"Pipilo erythrophthalmus erythrophthalmus","Pipilo_erythrophthalmus",41,NA,7.3,1016,10.5843330475097,29.5783385840481,"Spring",105527,7.25,1016.5,10.8305227917748,31.7247421870777,7.24,1084.8,10.5238414644245,42.0186475147844,"M","Adult"
