"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"1/2 windows","male",12,-122.13877945,37.8648473821,2005,"Pipilo maculatus falcifer","Pipilo_maculatus",45,NA,14.4,870,4.01232948283013,124.804732137436,"Winter",106715,14.55,763,4.24394299565553,124.941764715534,14.38,727,4.3409806981456,133.563167454866,"M","NS"
"ad","female",5,-112.4035006,34.463081,1969,"Pipilo maculatus montanus","Pipilo_maculatus",10.2,NA,9.3,725,7.49377013986224,72.9738225262778,"Spring",107026,9.1,639.5,7.29229396629614,83.5455215580371,9.18,758.2,7.28530039872901,82.5358137492779,"F","Adult"
"ad","male",5,-99.1986401,19.1328884,1973,"Pipilo maculatus macronyx","Pipilo_maculatus",56,NA,11.8,1302,1.85494833710627,104.273197394939,"Spring",108195,11.65,1266,1.68559934811043,97.8690484749441,11.68,1212.8,1.72170424323755,116.006330275614,"M","Adult"
"ad","male",6,-111.7480724,48.3894847,1970,"Pipilo maculatus arcticus","Pipilo_maculatus",35,NA,5.1,311,11.503553469439,88.195098903982,"Summer",108085,4.95,253.5,12.219474735109,121.589507263263,5.28,268.4,11.291962251055,101.83660698143,"M","Adult"
"ad","male",6,-108.9339934,50.9764073,1970,"Pipilo maculatus arcticus","Pipilo_maculatus",37.4,NA,1.9,323,13.7898156315273,114.25686425439,"Summer",107030,1.9,313,14.0787108834397,94.3197984063889,2.3,318,13.3320647297465,75.7921186529322,"M","Adult"
"ad","female",6,-109.8530194,50.9422571,1970,"Pipilo maculatus arcticus","Pipilo_maculatus",38.6,NA,2.8,308,13.8004254435957,126.153428164715,"Summer",107037,2.75,274.5,14.1643668780683,101.725504195935,3.16,283.8,13.3175289540973,85.097597147886,"F","Adult"
"ad","male",5,-99.1986401,19.1039998,1972,"Pipilo maculatus macronyx","Pipilo_maculatus",60.5,NA,11.7,1258,1.53156188845956,92.867326240332,"Spring",108146,11.65,1294.5,1.40269764112811,95.4371149970085,11.78,1255.4,1.70356956050369,116.708556649154,"M","Adult"
"ad","female",7,-109.2586042,31.9034249,1978,"Pipilo maculatus montanus","Pipilo_maculatus",39.8,NA,9.8,847,6.88580005694635,58.1030013759375,"Summer",108094,9.95,912,6.73345123955123,82.5803523886853,9.5,750.8,6.76229830781326,96.5823955542299,"F","Adult"
"ad","male",6,-111.7480724,48.3894847,1970,"Pipilo maculatus arcticus","Pipilo_maculatus",40.5,NA,5.1,311,11.503553469439,88.195098903982,"Summer",108074,4.95,253.5,12.219474735109,121.589507263263,5.28,268.4,11.291962251055,101.83660698143,"M","Adult"
"ad","male",6,-109.0029938,50.9764073,1970,"Pipilo maculatus arcticus","Pipilo_maculatus",40.5,NA,2,327,13.5955875194859,113.735598686738,"Summer",108088,2.05,315,13.9084877973858,93.2620475319803,2.42,320.8,13.1445824425321,75.0383013153955,"M","Adult"
