"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"1st yr","male",10,-77.023081,42.360363,2004,"Poecile atricapillus","Poecile_atricapillus",11.9,125,7.2,1119,9.61934209934559,56.5888759537755,"Fall",108444,7.05,1117,9.71102174477344,51.0002656850326,7.64,968.8,9.30660128068515,50.926821991458,"M","Juvenile"
"ad.","male",1,-76.400551,42.438907,2011,"Poecile atricapillus","Poecile_atricapillus",12.3,125,9.2,1340,10.0790023255671,49.9136742382227,"Winter",108610,9.2,1186.5,10.1030069551265,48.7817965869206,8.64,1075.2,9.90631741200482,42.3469562264613,"M","Adult"
"Ad","female",11,-117.298473,46.815477,1966,"Poecile atricapillus","Poecile_atricapillus",10.2,126,9,463,6.93049912934257,76.0099629832055,"Fall",108426,9,423,7.06615433313089,69.2542800151309,8.5,491.8,7.37043517990642,66.4788764632362,"F","Adult"
"Ad","female",10,-117.055372,46.431867,1952,"Poecile atricapillus","Poecile_atricapillus",11.3,133,11.7,274,8.64405558575932,80.2312836827125,"Fall",108425,11.4,304,8.55634824567603,72.0477432932318,11.04,351.6,8.93968119520958,64.9929913117164,"F","Adult"
"Ad","female",10,-117.055372,46.431867,1952,"Poecile atricapillus","Poecile_atricapillus",11.7,132.5,11.7,274,8.64405558575932,80.2312836827125,"Fall",108424,11.4,304,8.55634824567603,72.0477432932318,11.04,351.6,8.93968119520958,64.9929913117164,"F","Adult"
"Ad","female",1,-117.331268,46.738584,1973,"Poecile atricapillus","Poecile_atricapillus",10,NA,9.4,507,7.5758387874435,112.248096778945,"Winter",108592,9.15,514,7.85778276720099,86.8041614916714,9,527.8,7.9588160035736,78.0174593621752,"F","Adult"
"adult","male",5,-97.6880894,39.0349668,1969,"Poecile atricapillus","Poecile_atricapillus",13.5,NA,12,702,11.0150688796867,63.2158213099501,"Spring",108721,12.2,665.5,10.8484499782018,66.2824368506957,12.36,688.4,10.4138133966049,92.5926664718153,"M","Adult"
"adult","male",12,-71.39674,43.75479,1999,"Poecile atricapillus","Poecile_atricapillus",10,NA,7.9,1093,9.91463564635635,62.4748316836599,"Winter",108741,8.05,1144.5,9.38211665442121,52.957698472318,7.4,1165.6,9.68753197421512,47.7460462184873,"M","Adult"
"adult",NA,1,-72.9975,41.4217,2002,"Poecile atricapillus atricapillus","Poecile_atricapillus",11,NA,10.6,1279,8.69412898385334,35.2990471156479,"Winter",108773,10.5,1172,8.84225552504666,45.1323231904074,10.4,1264.4,8.74625894042962,45.6633776055919,"NS","Adult"
"adult","female",2,-99.2464304,37.327426,1967,"Poecile atricapillus","Poecile_atricapillus",11.8,NA,14.3,493,8.88420457379786,88.7124887952805,"Winter",108546,14,402,9.71960420685608,95.2034687193018,14.3,510,10.1801458877554,95.8563086611793,"F","Adult"
