"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","male",5,-112.2576561,34.2581237,1969,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.2,116,16.2,426,8.17469765912977,74.1935294173119,"Spring",109933,16.05,389.5,7.9343862572093,80.6837880792768,16.04,487.2,7.86606617869508,89.4357979468931,"M","Adult"
"ad","male",5,-103.2916545,29.2997231,1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.9,121,16.5,399,5.87874960937247,111.144642598749,"Spring",109838,16.25,474,6.25431744325024,110.569746437766,16.6,401.6,6.35581805289531,94.374451113704,"M","Adult"
"ad","female",11,-86.8733769,20.55394137,1971,"Polioptila caerulea cozumelae","Polioptila_caerulea",4.8,NA,26.1,1033,1.36581643915079,85.8642595883219,"Fall",109981,26.05,960,1.7969627174535,79.1778616158626,26.02,1215.4,1.88500026397262,80.3063927189952,"F","Adult"
"ad","male",11,-86.8733769,20.55394137,1971,"Polioptila caerulea cozumelae","Polioptila_caerulea",4.7,NA,26.1,1033,1.36581643915079,85.8642595883219,"Fall",110013,26.05,960,1.7969627174535,79.1778616158626,26.02,1215.4,1.88500026397262,80.3063927189952,"M","Adult"
"ad","male",5,-112.2576561,34.2581237,1969,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.7,NA,16.2,426,8.17469765912977,74.1935294173119,"Spring",109932,16.05,389.5,7.9343862572093,80.6837880792768,16.04,487.2,7.86606617869508,89.4357979468931,"M","Adult"
"ad","male",11,-99.0586368,18.9373484,1972,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,22.1,914,1.42709176617725,113.428484630578,"Fall",109983,22,963.5,1.32498977778677,111.172530085015,22.1,913.6,1.58352526518086,125.280154629956,"M","Adult"
"ad.","female",5,-115.3722953,35.2892378,1938,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.7,NA,14.7,210,8.32831515574028,130.908060189717,"Spring",109922,14.95,165.5,8.86587188482696,119.647145865016,15.32,174.2,8.41296680477322,109.359423137559,"F","Adult"
"ad.","male",12,-110,23.566667,1928,"Polioptila caerulea obscura","Polioptila_caerulea",5,NA,16.7,461,3.40884544570845,138.309335975346,"Winter",109811,16.5,518,3.45030532503745,137.875649165619,16.44,548.6,3.52561363547399,128.66964282149,"M","Adult"
"ad.","female",3,-109.6833,23.05,1929,"Polioptila caerulea obscura","Polioptila_caerulea",5,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",109911,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"F","Adult"
"ad.","female",3,-115.2063889,32.054722,1928,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.2,NA,22.3,29,6.30430348446539,87.8014288556337,"Spring",110006,22.15,65.5,6.22316418509945,99.7123194567158,22.04,66.4,6.29813465594354,118.585775226621,"F","Adult"
"ad.","female",2,-110.3183333,24.134444,1929,"Polioptila caerulea obscura","Polioptila_caerulea",5.2,NA,22.9,147,4.48704363763721,109.183837171482,"Winter",109969,23.25,154,4.31413144944053,119.907646658367,23.28,187,4.28309592328229,123.816054155508,"F","Adult"
"ad.","male",12,-115.7230556,31.4,1926,"Polioptila caerulea amoenissima","Polioptila_caerulea",6,NA,16.2,268,4.77762303014604,130.711659266751,"Winter",109962,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"M","Adult"
"ad.","female",4,-109.6833,23.05,1929,"Polioptila caerulea obscura","Polioptila_caerulea",5.3,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",109912,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"F","Adult"
"ad.","female",1,-115.1486111,32.6275,1928,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.3,NA,22.5,24,7.26235624173162,83.0333996325903,"Winter",109965,22.55,60.5,7.18418314435926,104.016699816295,22.38,68.2,7.28318170877041,120.492463114385,"F","Adult"
"ad.","male",4,-109.9,22.8833,1929,"Polioptila caerulea obscura","Polioptila_caerulea",5.1,NA,23,165,3.59750544885556,121.293124556952,"Spring",109914,23.3,165.5,3.38268602383457,129.689215211971,23.34,192.2,3.37150361474977,127.596268468781,"M","Adult"
"ad.","male",2,-110.3,24.15217,1929,"Polioptila caerulea obscura","Polioptila_caerulea",5.3,NA,22.8,157,4.49655592109285,112.548107955758,"Winter",109812,23.1,164,4.33485119884597,122.411887663094,23.12,198,4.3021440260042,124.57610074953,"M","Adult"
