"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",6,-109.4840469,49.7141561,1968,"Pooecetes gramineus confinis","Pooecetes_gramineus",15.6,NA,3,345,9.84111274196165,67.9516421767313,"Summer",110449,2.75,388,10.3868996725773,67.4739769057989,2.52,427.4,10.8272812775205,70.7428675586367,"F","Adult"
"ad","male",7,-109.5027924,49.4623227,1987,"Pooecetes gramineus confinis","Pooecetes_gramineus",24.9,NA,6.2,246,8.53447110075938,93.9233573815922,"Summer",110479,5.8,318.5,9.03060588761959,102.014738759858,4.48,287.8,10.3798018105393,90.7259363001773,"M","Adult"
"ad","male",7,-110.6556565,49.3421167,1971,"Pooecetes gramineus confinis","Pooecetes_gramineus",25.5,NA,4,294,11.958704196551,80.5587995959727,"Summer",110463,3.8,320,12.0648913413326,98.8287130005348,3.94,309.2,11.815956167162,92.0740673436149,"M","Adult"
"ad","male",6,-118.7999992,55.0365615,1970,"Pooecetes gramineus confinis","Pooecetes_gramineus",27.1,NA,1.4,295,12.4787091406997,46.8782379644728,"Summer",110459,0.85,381.5,13.1505389621144,67.4790267702304,0.9,420.8,12.5893152709733,58.70485560832,"M","Adult"
"ad","female",5,-80.20138,44.07915,1943,"Pooecetes gramineus gramineus","Pooecetes_gramineus",21,NA,4.4,913,10.6676621221107,33.59306598236,"Spring",110499,4.8,956,10.4752018103613,42.173564083425,4.76,897.4,10.4442853964353,39.9785722873711,"F","Adult"
"ad","female",2,-97.3880005,28.5507029,1979,"Pooecetes gramineus gramineus","Pooecetes_gramineus",25.6,NA,20.5,1070,6.650968259425,68.8183769124606,"Winter",110470,20.7,990.5,7.11281348380407,73.5796747401528,21.04,935.2,6.57196871780146,68.4523727439318,"F","Adult"
"ad","male",6,-112.0529175,35.9175835,1969,"Pooecetes gramineus confinis","Pooecetes_gramineus",24.5,NA,8.9,427,8.04914827039407,67.293259606686,"Summer",110454,8.8,370,7.86132574023845,68.1135010765623,8.9,417.2,7.96812290281264,72.795052727185,"M","Adult"
"ad","male",6,-100.5318477,48.5370519,1987,"Pooecetes gramineus confinis","Pooecetes_gramineus",26.4,NA,6.6,403,10.7874892464569,118.43114304456,"Summer",110497,5.55,430,11.3757045609888,115.127124332031,4.32,416.2,12.4453620386361,92.3264859456035,"M","Adult"
"ad","female",7,-94.98538,49.92533,1947,"Pooecetes gramineus confinis","Pooecetes_gramineus",23.7,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",110618,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"F","Adult"
"ad","male",6,-77.27931,43.96989,1930,"Pooecetes gramineus gramineus","Pooecetes_gramineus",27,NA,7.7,613,10.1010200505001,37.744229913391,"Summer",110614,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"M","Adult"
"ad","male",6,-93.83787,48.63186,1929,"Pooecetes gramineus confinis","Pooecetes_gramineus",26.5,NA,1.8,428,14.3487381981409,51.6416404531459,"Summer",110218,2.6,516,13.0476570507749,72.6772037145829,2.3,600.4,12.9322467363354,71.9103031551126,"M","Adult"
"ad","female",9,-104.8381666667,38.2880333333,2007,"Pooecetes gramineus","Pooecetes_gramineus",23.5,NA,12.1,351,9.85780724280829,75.6380624444285,"Fall",110682,12.2,377,9.41471247384158,95.7911518470997,12.18,327.4,9.01316334942583,85.6452576348806,"F","Adult"
"ad","[female]",12,-103.6575929,30.4524996,1978,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,16.8,594,7.19968433651466,108.783569427635,"Winter",110201,17.15,486.5,7.24635098014186,98.5823273112894,16.58,451,6.83739932066796,115.97065062992,"F","Adult"
"ad","male",6,-83.95021,46.19158,1931,"Pooecetes gramineus gramineus","Pooecetes_gramineus",26.5,NA,6.6,789,10.3520602546136,66.0774043197882,"Summer",110491,5.7,722.5,10.7604171830076,62.1728061452205,4.64,747.6,10.7385773555892,52.1738921512589,"M","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Pooecetes gramineus confinis","Pooecetes_gramineus",29.4,NA,1.8,406,12.5779358281464,92.7822972480675,"Summer",110180,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","female",6,-109.3720061,49.5405287,1968,"Pooecetes gramineus confinis","Pooecetes_gramineus",25.3,NA,3,328,9.97965733911043,65.3665708426285,"Summer",110179,2.85,359,10.4467866272011,63.7168830429066,2.6,400.8,10.8803442422015,69.43289652046,"F","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Pooecetes gramineus confinis","Pooecetes_gramineus",27.2,NA,1.8,406,12.5779358281464,92.7822972480675,"Summer",110450,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","male",6,-79.6206017,39.5803507,1980,"Pooecetes gramineus gramineus","Pooecetes_gramineus",25.7,NA,9.2,1292,9.42630105158707,53.0366067535618,"Summer",110474,9.2,1322,9.34472856697077,41.5359178292167,9.04,1242.6,9.51182001005748,43.6521237378495,"M","Adult"
