"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"?","female",10,-104.030524,30.673863,1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,13.7,483,6.1535097154536,91.5500445103204,"Fall",111096,13.8,542,6.52054593293694,102.039010414874,14.04,496,6.46536772104246,92.0395201126269,"F","NS"
"ad","male",5,-99.8848152,32.2993653,1967,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",5.4,107,17.8,664,7.74537985452677,83.7653009181947,"Spring",111419,17.45,638.5,8.17333073575186,98.0027174456353,17.96,615.6,8.44753997202136,87.3269906172048,"M","Adult"
"ad","female",5,-104.2654037,30.6128,1968,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",6.2,NA,13.7,533,6.69918018503124,114.379291461444,"Spring",111418,14,460,6.6156778968244,107.426370542981,14.24,425.4,6.99255571321338,109.833367523635,"F","Adult"
"ad","male",6,-119.6842003,34.0191231,1969,"Psaltriparus minimus minimus","Psaltriparus_minimus",6.5,110,14.7,620,2.42917868649243,198.766186748099,"Summer",111421,14.45,445.5,2.47361734736348,156.946799360665,14.3,406.4,2.6649743842384,153.040864805908,"M","Adult"
"ad","female",5,-103.7793843,30.4611433,1976,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",6,NA,14.6,376,6.53818620015359,106.001440813535,"Spring",111860,14.9,378,6.4102663994937,112.211087232709,15.56,430.8,6.4238925779214,128.739428830225,"F","Adult"
"ad","male",5,-103.6575929,30.4524996,1976,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",6,NA,15.5,367,6.70040139005708,107.811418208614,"Spring",111423,15.85,366,6.54305493251233,111.868797328258,16.48,410.8,6.55400165935891,128.220993311667,"M","Adult"
"ad","female",6,-103.6575929,30.4524996,1976,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",7,NA,15.5,367,6.70040139005708,107.811418208614,"Summer",111859,15.85,366,6.54305493251233,111.868797328258,16.48,410.8,6.55400165935891,128.220993311667,"F","Adult"
"ad","male",5,-104.2654037,30.6128,1968,"Psaltriparus minimus plumbeus","Psaltriparus_minimus",5.9,NA,13.7,533,6.69918018503124,114.379291461444,"Spring",111416,14,460,6.6156778968244,107.426370542981,14.24,425.4,6.99255571321338,109.833367523635,"M","Adult"
"ad","male",6,-120.5881808,35.1185856,1968,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.6,NA,13.8,306,2.06280186037135,93.8126370854985,"Summer",111855,13.7,385.5,2.59858330823254,104.393510339689,13.38,361.8,2.42113336808457,115.87778203596,"M","Adult"
"ad","[female]",12,-120.113554,34.754543,1969,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.8,110,15.7,851,4.36753692461538,180.384800263554,"Winter",111856,15.75,614,4.4388972968992,140.563682442053,15.5,517.4,4.68997205750252,138.422690449426,"F","Adult"
