"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","female",3,-95.4356667,28.9331667,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.1,150,21.4,1740,6.36279431658383,76.1391349684469,"Spring",114109,21.4,1702,6.28782987805654,67.4336161055011,21.74,1421.2,6.11483532869237,70.7540812965947,"F","Adult"
"adult","female",11,-94.1701889,32.6681442,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",9,148,19.2,1088,6.9871472914722,68.1674646734979,"Fall",114018,19.4,1242.5,7.53741482896171,58.782896912779,18.7,1290,7.62374048924435,53.9986926358882,"F","Adult"
"adult","female",3,-95.4377833,28.9428833,2003,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10.1,153,21.3,1298,6.44449494929705,77.7767419435999,"Spring",114147,21.3,1520.5,6.3989709391158,76.8760057009717,21.58,1376.8,6.14806205566298,68.9516383801395,"F","Adult"
"adult","female",3,-95.4361167,28.9428667,2003,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10.5,165,21.3,1298,6.44449494929705,77.7767419435999,"Spring",114137,21.35,1521,6.3989709391158,76.9089426167426,21.6,1377,6.14806205566298,68.985731893635,"F","Adult"
"adult","female",3,-95.4366,28.9429,2003,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10.7,162,21.3,1298,6.44449494929705,77.7767419435999,"Spring",114149,21.3,1520.5,6.3989709391158,76.9089426167426,21.58,1376.8,6.14806205566298,68.985731893635,"F","Adult"
"adult","female",3,-95.4356833,28.9332667,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.1,158,21.4,1742,6.36279431658383,76.1207961897645,"Spring",114108,21.4,1704,6.28782987805654,67.4119211907656,21.74,1422.6,6.11483532869237,70.6848069463736,"F","Adult"
"adult","female",12,-95.4404333,28.9425,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",9,153,21.3,1754,6.34225846400495,75.8585759103012,"Winter",114230,21.35,1718,6.27275087530164,67.0989286749036,21.7,1435,6.10785330401856,70.2673586942368,"F","Adult"
"adult","female",3,-95.4478833,28.946,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10.8,139,21.3,1737,6.35965026673256,75.6658765549719,"Spring",114101,21.35,1703,6.28249688037674,67.1249769285937,21.7,1423.6,6.1099700059964,70.4114586852527,"F","Adult"
"adult","female",12,-95.44145,28.94245,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14.8,176,21.3,1753,6.34225846400495,75.8585759103012,"Winter",114220,21.35,1717,6.27275087530164,67.1236709193809,21.7,1434.6,6.10785330401856,70.2539628282416,"F","Adult"
"adult","female",3,-95.4357333,28.9334667,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10.3,151,21.4,1742,6.36279431658383,76.1207961897645,"Spring",114204,21.4,1704,6.28782987805654,67.4119211907656,21.74,1422.6,6.11483532869237,70.6783608903138,"F","Adult"
"adult","female",12,-95.4393833,28.9426833,2002,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12.4,177,21.3,1754,6.34225846400495,75.8585759103012,"Winter",114123,21.35,1718,6.27275087530164,67.1248813407662,21.7,1435.2,6.10650319484067,70.2713270570111,"F","Adult"
"adult","female",3,-95.43905,28.94565,2003,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",8.9,152,21.3,1307,6.44216696085371,77.6598983282154,"Spring",114157,21.3,1531,6.39749690955211,76.7592371192583,21.58,1386.8,6.14646511205041,68.6720362979059,"F","Adult"
"adult","female",3,-95.4417667,28.9422667,2003,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",7.6,130,21.3,1307,6.44449494929705,77.6598983282154,"Spring",114154,21.3,1530,6.393376706651,76.7592371192583,21.58,1385.8,6.14492817030325,68.6272187007233,"F","Adult"
