"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",13.5,150,9.2,518,11.9484593909919,89.684936497442,"Fall",114429,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",8,-116.61792,33.12076,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",7.6,135,14.3,728,5.36780526224018,151.745031319319,"Summer",114636,14.35,734.5,5.70485221091059,131.185028588794,13.98,569.6,5.72321014558831,128.723918137412,"M","Adult"
"adult","male",7,-118.8586,41.5981,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",8,140,9.2,146,9.02902726396002,65.4458014833769,"Summer",114826,9.15,193,8.89614496994286,71.9074159328389,9.34,224.6,8.62577444407049,74.4736103852169,"M","Adult"
"adult","female",9,-109.29667,38.56085,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",11,145,8.3,533,9.28923701077889,59.7663750867864,"Fall",114511,8.15,558,8.87413912798602,78.5040081152839,8.1,577.8,8.69606552797837,70.2813884886438,"F","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10,138,9.9,354,7.87468133073371,73.7664392242334,"Spring",115065,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","male",8,-116.208378,37.228006,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9.7,129,9.5,198,8.21888070238278,136.709379873711,"Summer",114564,9.65,194,8.30171996177718,129.481259822473,9.9,283.6,8.13432557669816,115.955271956136,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12,146,9.2,518,11.9484593909919,89.684936497442,"Fall",114764,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",10,132,9.2,518,11.9484593909919,89.684936497442,"Fall",114768,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9,138,9.9,354,7.87468133073371,73.7664392242334,"Spring",115288,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",10,141,9.2,518,11.9484593909919,89.684936497442,"Fall",114761,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",3,-116.8609,32.67351,2006,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",7.5,122,17.7,171,5.06062488655544,141.245157316737,"Spring",115330,17.55,310,4.40482248027082,162.603214892428,17.32,292.4,4.29131106246769,153.03462448932,"M","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9,141,9.9,354,7.87468133073371,73.7664392242334,"Spring",115067,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",8,128,9.2,518,11.9484593909919,89.684936497442,"Fall",114425,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","undetermined",6,-116.61808,33.11571,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",6,111,14.1,740,5.39668809773572,151.969845680571,"Summer",115331,14.2,749,5.73272719221118,131.177420514268,13.84,580.4,5.74678861289205,128.958470118638,"NS","Adult"
"adult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12.5,138,9.3,508,12.0028027030054,88.8477216566428,"Fall",114417,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",10.5,145,9.2,518,11.9484593909919,89.684936497442,"Fall",114424,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","female",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",14,138,9.2,518,11.9484593909919,89.684936497442,"Fall",114431,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"F","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12,143,9.2,518,11.9484593909919,89.684936497442,"Fall",114762,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12.5,145,9.2,518,11.9484593909919,89.684936497442,"Fall",114430,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",7,-118.8586,41.5981,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",12,147,9.2,146,9.02902726396002,65.4458014833769,"Summer",114827,9.15,193,8.89614496994286,71.9074159328389,9.34,224.6,8.62577444407049,74.4736103852169,"M","Adult"
"adult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11.5,137,9.3,508,12.0028027030054,88.8477216566428,"Fall",114421,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"adult","female",3,-117.4797,33.46833,2006,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",6.8,130,17.2,261,3.96655525690247,101.625648204362,"Spring",115102,17.1,405,3.38884017085412,139.830763062525,16.88,358.2,3.32715471253336,146.181417528214,"F","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9.5,131,9.9,354,7.87468133073371,73.7664392242334,"Spring",115285,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",13,81,9.3,508,12.0028027030054,88.8477216566428,"Fall",114420,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"adult","female",10,-108.3147547,32.439817,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",13,136,14.5,305,7.90248810070715,83.1307871752623,"Fall",114828,14.55,341,7.6123081240233,110.010360085861,14.52,316,7.63114137044158,92.264092634009,"F","Adult"
"adult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",13,149,9.3,508,12.0028027030054,88.8477216566428,"Fall",114418,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",14,145,9.2,518,11.9484593909919,89.684936497442,"Fall",114763,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","female",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",15,146,9.9,354,7.87468133073371,73.7664392242334,"Spring",115286,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"F","Adult"
"adult","male",3,-117.12426,32.56099,2003,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",10,140,16.5,226,2.83884045897531,171.081550652004,"Spring",114590,16.1,166.5,2.80398749587507,155.292620214291,16.04,173.6,2.83588337689433,154.141059746545,"M","Adult"
"adult","female",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",15.5,145,9.3,508,12.0028027030054,88.8477216566428,"Fall",114759,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"F","Adult"
"adult","male",7,-107.7586,37.2388,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10,132,8.3,475,9.10578820245007,60.4596219775759,"Summer",114825,8.25,456,8.67161291864505,66.1217249510718,8.3,450,8.53534183381207,72.945035036453,"M","Adult"
"adult","male",9,-116.61792,33.12076,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",7.2,126,14.3,728,5.36780526224018,151.745031319319,"Fall",114637,14.35,734.5,5.70485221091059,131.185028588794,13.98,569.6,5.72321014558831,128.723918137412,"M","Adult"
"adult","female",11,-116.64305,33.1212,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",5.6,129,14.3,712,5.33027374361,152.880720763979,"Fall",114947,14.4,707,5.66332761411489,131.882051090666,14.04,550.4,5.68884222681544,129.298877691008,"F","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10,139,9.9,354,7.87468133073371,73.7664392242334,"Spring",115289,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","female",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9,135,9.9,354,7.87468133073371,73.7664392242334,"Spring",115287,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"F","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11.5,141,9.2,518,11.9484593909919,89.684936497442,"Fall",114766,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","female",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12.5,147,9.2,518,11.9484593909919,89.684936497442,"Fall",114426,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"F","Adult"
"adult","undetermined",5,-116.61792,33.12076,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",5,114,14.3,728,5.36780526224018,151.745031319319,"Spring",114946,14.35,734.5,5.70485221091059,131.185028588794,13.98,569.6,5.72321014558831,128.723918137412,"NS","Adult"
"adult","male",11,-116.61425,33.11547,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",5.5,120,14.1,737,5.4146826203193,151.624282440564,"Fall",114635,14.2,748.5,5.74932967006805,131.188035126997,13.84,579.6,5.76078490571016,128.860146120309,"M","Adult"
"adult","female",10,-108.77034,31.5774,2007,"Reithrodontomys megalotis","Reithrodontomys_megalotis",8,134,13.4,531,7.2862832941373,90.2536952528156,"Fall",114837,13.5,506,7.00404374007699,110.02413098686,13.42,532,7.02558378545568,92.6552285051869,"F","Adult"
"adult","female",9,-116.208378,37.228006,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",12.6,148,9.5,198,8.21888070238278,136.709379873711,"Fall",114565,9.65,194,8.30171996177718,129.481259822473,9.9,283.6,8.13432557669816,115.955271956136,"F","Adult"
"adult","female",10,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",10.5,138,9.2,518,11.9484593909919,89.684936497442,"Fall",114432,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"F","Adult"
"adult","male",5,-105.8923833333,35.5821166667,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10,142,9.9,354,7.87468133073371,73.7664392242334,"Spring",115066,9.75,356.5,7.9204774679232,70.6755294898329,9.86,384.2,7.99067608979221,73.0315433930691,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11,139,9.2,518,11.9484593909919,89.684936497442,"Fall",114428,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","female",11,-117.08792,32.89408,1999,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",3.5,116,16,174,3.49920986752291,130.513812631344,"Fall",115329,16.15,310.5,3.76309636092789,133.484700645542,17.1,337.8,3.8640583344873,133.566144158421,"F","Adult"
"adult","female",7,-116.85367,32.66375,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",9.7,141,17.4,457,3.82054850893048,184.558795865169,"Summer",115332,17.55,431,4.19093653865934,151.089074967076,17.14,330.8,4.18067319669374,156.145989089611,"F","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11.5,145,9.2,518,11.9484593909919,89.684936497442,"Fall",114765,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",9,130,9.2,518,11.9484593909919,89.684936497442,"Fall",114767,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"adult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",12.5,124,9.3,508,12.0028027030054,88.8477216566428,"Fall",114757,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"adult","male",9,-100.47815,42.91845,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11,146,9.2,518,11.9484593909919,89.684936497442,"Fall",114427,9.55,456.5,11.0857807854739,90.8174584891523,9.44,471.6,10.7317269301823,85.6907027809036,"M","Adult"
"Adult","female",9,-122.33861,38.31655,2003,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10.5,133,15.3,767,4.92534416579341,116.245265055086,"Fall",114984,15.05,755.5,4.83064014164934,147.740748322561,14.94,749,4.76046396814953,140.038767926252,"F","Adult"
"Adult","female",12,-121.0716,35.5223,2002,"Reithrodontomys megalotis","Reithrodontomys_megalotis",10.3,130,12.9,380,1.93218356615859,154.975789424406,"Winter",114986,13,497,2.09752959186576,133.808285085037,12.92,506.2,1.99015116369305,138.834009782276,"F","Adult"
"Adult","female",6,-122.4606,37.79196,2011,"Reithrodontomys megalotis","Reithrodontomys_megalotis",9.4,104,13,464,2.54062447584698,137.09529065956,"Summer",114993,13.4,598,2.55332331513304,119.504741050704,13.4,508.4,2.62329658899524,130.221994847731,"F","Adult"
"Adult?","f?",5,-121.07173,35.52551,2004,"Reithrodontomys megalotis","Reithrodontomys_megalotis",7.8,117,13.1,603,2.31451284225638,144.176583873656,"Spring",115217,13.15,480.5,2.14410171617885,125.095451521379,12.96,536.6,2.08450602471919,135.737833245295,"F","Adult"
"ADULT","female",7,-123.79,39.3,1998,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",10.8,165,11.6,1460,2.37295366387738,118.848257480624,"Summer",115237,12.05,1307.5,2.6719302878561,109.329427046089,12.06,1290.6,2.29187560252139,116.113185403852,"F","Adult"
"immature","male",10,-104.8439544081,39.8197137293,1991,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",5.7,105,10.6,481,8.62552589525398,76.6846693992428,"Fall",114314,10.7,466.5,8.76163708167552,76.983914858457,10.62,439.2,9.0515428426765,76.2825067417911,"M","Juvenile"
"immature","male",3,-119.18623,34.95863,2007,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",6,135,15.2,97,5.89928090122136,97.9031161154852,"Spring",114923,15.3,184,6.13457182801709,109.514884292348,15.28,228.8,5.8905253170091,118.241487436769,"M","Juvenile"
"immature","undetermined",4,-121.86558,40.43911,2007,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",9.5,127,15.4,536,7.32034835236685,117.638990911074,"Spring",114608,15.45,793.5,7.42013065562208,110.389341077801,15.66,944.2,7.27852161247832,113.475892788805,"NS","Juvenile"
"juvenile","male",12,-116.86099,32.62052,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",4.9,117,17.2,505,3.99964960586512,184.276372617755,"Winter",115103,17.35,470,4.37655861982574,151.822434573104,16.92,362.4,4.36663113811279,157.253766409439,"M","Juvenile"
"juvenile","female",8,-116.86501,32.62632,2005,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",5.1,123,17.3,485,3.92679219843589,184.179837449802,"Summer",115104,17.4,452,4.29970372736397,151.479733570294,16.96,348.8,4.28080505872381,157.200767313291,"F","Juvenile"
"juvenile","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",5.5,116,9.3,508,12.0028027030054,88.8477216566428,"Fall",114760,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Juvenile"
"juvenile","female",8,-120.16599,40.89191,2006,"Reithrodontomys megalotis megalotis","Reithrodontomys_megalotis",6.3,125,8.6,294,8.22683616789184,81.7701320522019,"Summer",114912,8.45,349,8.09999356810637,96.5145130062004,8.74,313.6,7.94500564697451,83.7512334154711,"F","Juvenile"
"juvenile","female",8,-116.208378,37.228006,2009,"Reithrodontomys megalotis","Reithrodontomys_megalotis",5.8,124,9.5,198,8.21888070238278,136.709379873711,"Summer",114877,9.65,194,8.30171996177718,129.481259822473,9.9,283.6,8.13432557669816,115.955271956136,"F","Juvenile"
"juvenile","female",10,-106.931769,34.294287,1997,"Reithrodontomys megalotis","Reithrodontomys_megalotis",6.7,119,13.6,318,9.03920752761395,78.1392533694507,"Fall",114859,14.4,264.5,8.80976163333282,91.1346565872313,14.42,225.4,8.77138141106508,104.291597225144,"F","Juvenile"
"juvenile","female",7,-104.948615,37.793126,1988,"Reithrodontomys megalotis","Reithrodontomys_megalotis",4.3,109,8.6,456,8.8186914098305,52.8734471898374,"Summer",114495,8.55,518.5,8.54092218882841,61.977992460805,8.58,565.6,8.32055054099053,59.1069664702626,"F","Juvenile"
"juvenile","male",7,-104.948615,37.793126,1988,"Reithrodontomys megalotis","Reithrodontomys_megalotis",4.4,100,8.6,456,8.8186914098305,52.8734471898374,"Summer",114494,8.55,518.5,8.54092218882841,61.977992460805,8.58,565.6,8.32055054099053,59.1069664702626,"M","Juvenile"
"juvenile","male",3,-117.10341,32.88998,2006,"Reithrodontomys megalotis longicaudus","Reithrodontomys_megalotis",6.9,127,17.4,198,4.51307863745789,102.801034475394,"Spring",115328,17.25,311.5,3.85722572452396,135.829568332445,17,276.8,3.74568459218505,140.981514913699,"M","Juvenile"
"Juvenile","male",5,-118.5849813,34.3234131,1974,"Reithrodontomys (Reithrodontomys) megalotis Baird, 1857","Reithrodontomys_megalotis",6.2,129,16.4,626,5.7758837707604,178.872160128369,"Spring",114404,16.35,651,5.7106950814745,167.648347285079,16.32,497.4,5.74086370138365,166.618341355625,"M","Juvenile"
"subadult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",10,140,9.3,508,12.0028027030054,88.8477216566428,"Fall",114755,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
"subadult","male",9,-100.5311666667,42.88995,2007,"Reithrodontomys megalotis dychei","Reithrodontomys_megalotis",11,141,9.3,508,12.0028027030054,88.8477216566428,"Fall",114422,9.65,447,11.1503255551151,90.3403016677783,9.54,462,10.7964567960312,85.7808017320112,"M","Adult"
