"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad.","female",10,-76.38849,42.42766,1925,"Scolopax minor","Scolopax_minor",202.5,291,7.3,917,9.48427726036703,37.3235319588728,"Fall",116163,6.9,866,9.55234715587198,51.4724724510251,7.66,851.8,9.73483218156003,51.0600031888009,"F","Adult"
"adult","female",4,-79.386093,43.661564,1938,"Scolopax minor","Scolopax_minor",205,NA,8.3,709,10.036373243298,48.2049999554692,"Spring",116205,8.15,698.5,10.0458525057769,45.3713430475929,7.58,670.8,10.6215233166139,41.8075555239952,"F","Adult"
"adult","female",7,-78.82123,44.11265,1990,"Scolopax minor","Scolopax_minor",126.5,NA,7.6,989,9.00053870441636,28.9162172505926,"Summer",116261,6.85,873,10.0675625713479,37.2964087463315,7.04,885,10.011527680621,36.7410410693824,"F","Adult"
"adult","female",3,-79.368953,43.653429,1974,"Scolopax minor","Scolopax_minor",144.7,NA,7.7,795,9.76789344865322,43.5393270403458,"Spring",116189,8.2,806.5,9.99850371216221,41.3213677368476,7.86,794,10.3371888946266,36.1553746502054,"F","Adult"
"adult","female",6,-84.9007645,45.7383118,1955,"Scolopax minor","Scolopax_minor",180.4,NA,7.4,594,11.2066910478707,39.6748699628849,"Summer",116169,7,692,10.2662227732766,51.2738902109477,6.92,727,9.78261160288893,46.6718127564841,"F","Adult"
"adult","female",4,-77.23035,43.98602,1938,"Scolopax minor","Scolopax_minor",157,NA,8.1,737,9.9953019267084,40.7684907223209,"Spring",116206,8.05,777,9.9979615597678,39.1710050244726,7.36,740,10.7051120243281,42.055980374345,"F","Adult"
"adult","male",3,-79.381804,43.652622,1939,"Scolopax minor","Scolopax_minor",125,NA,7.7,678,10.4006227960375,37.0804622336204,"Spring",116207,8.05,692,10.2166181403675,42.5883240616526,7.76,678.4,10.4031063704301,41.4924692555,"M","Adult"
"adult","male",3,-79.239344,43.796357,1972,"Scolopax minor","Scolopax_minor",123.9,NA,6.6,895,10.2877538261702,25.8161353653782,"Spring",116198,7,800.5,10.3790923872185,36.4279967321755,7.14,781.6,10.5369651109353,37.5858188793175,"M","Adult"
"adult","female",11,-72.9239,41.3164,2010,"Scolopax minor","Scolopax_minor",183,NA,12.1,1228,9.66977092267287,52.7347196249817,"Fall",116298,11.4,1177,9.23138889295598,49.0622389240751,11.72,1223.2,8.98499796390175,46.3577613484109,"F","Adult"
"adult","female",4,-79.383519,43.647932,1996,"Scolopax minor","Scolopax_minor",184.2,NA,7.4,966,10.4282359994683,44.1569994404517,"Spring",116114,7.75,904.5,10.5484976319506,43.4935375372796,7.6,857.4,10.2804810138418,40.2254534636925,"F","Adult"
"adult","male",4,-79.465805,44.1048394,1975,NA,"Scolopax_minor",135,NA,7.3,787,10.2347743531846,26.0266661854629,"Spring",116244,6.9,802,10.0006358313551,30.5037250086954,6.78,800.8,10.2146538724835,30.933925993862,"M","Adult"
"adult","female",5,-84.02498,42.34722,2012,"Scolopax minor","Scolopax_minor",122.2,NA,11.1,701,9.23623873990956,41.242304055239,"Spring",116237,10.45,874.5,9.89055340046293,43.1405300470832,9.76,892.2,10.1924731049328,48.5013007797869,"F","Adult"
"adult","female",3,-79.394728,43.66727,1976,"Scolopax minor","Scolopax_minor",175.4,NA,7.1,809,10.2404574945151,38.878428173806,"Spring",116104,7.75,805,10.156211017306,30.7368543179341,7.74,825.8,10.1011278580961,33.99967354839,"F","Adult"
"adult","male",5,-80.14068,43.78864,1973,"Scolopax minor","Scolopax_minor",153.2,NA,6.9,939,10.0567782057072,32.906078347028,"Spring",116190,5.95,959.5,10.0918948951966,31.9629801870697,5.86,897.8,10.3379794923744,36.6846980007822,"M","Adult"
"adult","female",3,-79.372722,43.73418,1973,"Scolopax minor","Scolopax_minor",168.9,NA,8.4,822,10.2319871289042,37.5482130486895,"Spring",116188,7.55,856,10.2456459243429,32.3016247220238,7.5,776,10.4516779525964,37.2025756261326,"F","Adult"
"adult","female",4,-79.380261,43.648655,1997,"Scolopax minor","Scolopax_minor",205.8,NA,7.7,699,9.54838951992651,31.698436213043,"Spring",116204,7.55,832,9.98608930004846,37.8343348762944,7.68,810.2,10.4082490094884,37.6306724536958,"F","Adult"
"adult","female",11,-73.0089,41.3525,2003,"Scolopax minor","Scolopax_minor",200,NA,9.7,1428,9.65932976531765,23.0844400686884,"Fall",116299,10.4,1343.5,9.17532407176683,29.1728713194351,10.54,1278.6,9.03281188761159,41.6470100502228,"F","Adult"
"adult","male",4,-79.388883,43.668185,1960,"Scolopax minor","Scolopax_minor",132,NA,7.4,759,10.4457472860316,48.3035584338939,"Spring",116122,7.65,760.5,10.8562747767301,38.0330828703207,7.54,728.8,10.1568647908872,40.4593000959226,"M","Adult"
"adult","female",4,-79.387071,43.706585,1955,"Scolopax minor","Scolopax_minor",210,NA,8.3,719,11.0363963980343,41.6328262935947,"Spring",116116,7.95,813.5,10.3850620389415,44.0142253346477,8.1,805,9.82642064651683,39.1739095531532,"F","Adult"
"adult","male",4,-79.45485,44.54123,1975,"Scolopax minor","Scolopax_minor",87.6,270,6.5,882,10.4427842276015,32.6528031542264,"Spring",116193,6.1,901.5,10.1341460782439,29.0800996245639,6,901.4,10.3408912173201,28.7306687501451,"M","Adult"
"adult","female",7,-79.382215,43.651988,2001,"Scolopax minor","Scolopax_minor",133.5,NA,9.1,699,9.67735172263757,38.1042796978261,"Summer",116118,8.45,749.5,9.74796475322996,48.084253729298,8.76,726.4,9.64072387013001,42.5126661010322,"F","Adult"
"adult","female",4,-79.394728,43.66727,1973,"Scolopax minor","Scolopax_minor",228.4,NA,8.6,825,10.2100663340379,38.3362643738785,"Spring",116187,7.8,857.5,10.2171603854056,32.141646815129,7.72,778.6,10.4248959699067,36.0995581690027,"F","Adult"
"adult","male",3,-79.41542,43.77989,1975,"Scolopax minor","Scolopax_minor",143,NA,7.9,810,10.1098923951951,22.6120041994707,"Spring",116105,7.5,816,9.92987432449586,33.4693741574063,7.38,811.2,10.1641891296396,35.3583806437321,"M","Adult"
"adult","male",3,-72.9047,41.2483,2007,"Scolopax minor","Scolopax_minor",119,NA,12,1107,9.51298952469568,55.6536040023366,"Spring",116301,12.4,1192.5,8.84054541053644,50.4077592684265,11.66,1213,9.29661829399783,47.8901516238714,"M","Adult"
"adult","female",10,-80.07952,45.6414,1987,"Scolopax minor","Scolopax_minor",240,NA,6.6,884,10.2349075879235,33.2577086772145,"Fall",116289,5.95,937.5,10.2865105480778,34.4517580812971,5.64,1059.2,10.5993276715438,33.7711165324201,"F","Adult"
