"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",7,-80.14068,43.78864,2002,"Sialia sialis sialis","Sialia_sialis",32,NA,6.7,884,9.57896606680966,23.6918047295832,"Summer",117282,6.95,850.5,9.56781956403973,32.9054664554017,7.08,861.8,9.62702755789304,39.3758668384167,"M","Adult"
"ad","male",3,-79.39181,43.707734,1992,"Sialia sialis sialis","Sialia_sialis",20.6,NA,7,942,8.90190224819188,44.7027353377657,"Spring",117369,7.95,858.5,9.49116817088944,40.7531735628443,7.86,792.6,9.84057951094891,40.1665798533507,"M","Adult"
"ad","male",6,-76.69664,44.48616,2003,"Sialia sialis sialis","Sialia_sialis",29,NA,6.4,890,11.0219890411959,37.6424770389813,"Summer",117380,7.15,878,10.5384343775382,38.5372463310477,7.34,889.8,10.4450473815288,36.4346338976124,"M","Adult"
"ad","male",10,-80.56171,51.3443,1964,"Sialia sialis sialis","Sialia_sialis",29,NA,-0.9,858,12.7664658976222,53.11505724024,"Fall",117379,-1.1,710,13.2455752912072,48.7381734554705,-0.88,724,13.1622225658854,49.9910646223131,"M","Adult"
"ad","female",7,-94.98538,49.92533,1947,"Sialia sialis sialis","Sialia_sialis",29,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",117505,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"F","Adult"
"ad","male",6,-86.71792,50.18312,1947,"Sialia sialis sialis","Sialia_sialis",28,NA,-0.7,756,13.5037003907234,45.2918593959555,"Summer",117281,-0.6,760.5,13.2183020818293,36.7124841049835,-0.7,754,13.0378460946366,42.653923268359,"M","Adult"
"ad","female",6,-86.71792,50.18312,1947,"Sialia sialis sialis","Sialia_sialis",27.5,NA,-0.7,756,13.5037003907234,45.2918593959555,"Summer",117377,-0.6,760.5,13.2183020818293,36.7124841049835,-0.7,754,13.0378460946366,42.653923268359,"F","Adult"
"ad","female",10,-79.73102,44.4458,1990,"Sialia sialis sialis","Sialia_sialis",18.8,NA,7.4,1009,8.81625135070387,28.4051913044523,"Fall",117498,6.5,893.5,10.0482870608573,35.2451471992108,6.72,888.6,10.0142238150556,35.7774859647001,"F","Adult"
"ad","male",4,-79.06651,43.90531,1964,"Sialia sialis sialis","Sialia_sialis",26,155,7.6,713,9.53732698719123,52.6062463354196,"Spring",117283,7.2,654.5,10.2803642018135,47.8301069987611,7.26,717,10.4295432493951,45.4329896954878,"M","Adult"
"ad","female",4,-77.41055,43.93656,1950,"Sialia sialis sialis","Sialia_sialis",38,NA,7.3,891,9.88874474982911,33.1101288282299,"Spring",117278,8,817,9.91398267303165,29.8864859337851,7.8,836.8,10.225447971152,34.1519876768529,"F","Adult"
"ad","male",6,-93.83787,48.63186,1929,"Sialia sialis sialis","Sialia_sialis",30.25,NA,1.8,428,14.3487381981409,51.6416404531459,"Summer",117372,2.6,516,13.0476570507749,72.6772037145829,2.3,600.4,12.9322467363354,71.9103031551126,"M","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Sialia sialis sialis","Sialia_sialis",31.5,NA,0,617,13.8670636598183,60.9325865622278,"Summer",117452,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",7,-93.67195,48.52224,1929,"Sialia sialis sialis","Sialia_sialis",33.5,NA,1.8,430,14.3428870556422,51.5092607773849,"Summer",117500,2.6,515.5,13.0961014900749,70.8507770734729,2.28,580.4,12.9704520851031,70.1949039040026,"M","Adult"
