"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",3,-79.58286,44.38173,1988,"Sitta canadensis","Sitta_canadensis",8.2,NA,6.6,851,10.556381812425,32.1359177038522,"Spring",118925,7.1,802,10.1770930714167,30.7294905895138,6.72,917.2,10.0147676875642,32.1546943268129,"F","Adult"
"ad","female",10,-79.390963,43.6591,1985,"Sitta canadensis","Sitta_canadensis",10.6,NA,7.6,909,10.191629809889,46.733046137775,"Fall",118644,7.7,828,10.0706359767992,39.155047519316,7.68,839.2,10.0413957573905,40.8349768350461,"F","Adult"
"ad","male",6,-79.73102,44.4458,1990,"Sitta canadensis","Sitta_canadensis",11.2,NA,7.4,1009,8.81625135070387,28.4051913044523,"Summer",118926,6.5,893.5,10.0482870608573,35.2451471992108,6.72,888.6,10.0142238150556,35.7774859647001,"M","Adult"
"ad","male",9,-79.031,43.82596,1969,"Sitta canadensis","Sitta_canadensis",10,115,7.6,686,10.2813010614003,42.51351711788,"Fall",118638,7.5,737.5,10.5006807771096,40.6070054927497,7.38,772.4,10.1926638697529,41.0656274924486,"M","Adult"
"ad","male",9,-79.25011,43.77661,2003,"Sitta canadensis","Sitta_canadensis",11,NA,7,824,10.5283024042412,39.1141497661034,"Fall",118659,7.7,797.5,10.0788068586457,33.7312903160647,8.1,772.4,9.95046264080291,41.2278855422104,"M","Adult"
"ad","female",10,-109.3389833333,31.9464833333,2007,"Sitta canadensis","Sitta_canadensis",9.7,NA,13.7,547,7.19664799918979,100.977739657533,"Fall",118546,13.75,477.5,6.89732522586158,118.511839621257,13.68,476.6,6.90495618719017,100.208354311118,"F","Adult"
"ad","[male]",10,-79.372722,43.73418,1982,"Sitta canadensis","Sitta_canadensis",10,NA,7.1,880,10.0130218246345,44.573383591044,"Fall",118863,7.25,853,9.98708681914131,47.5680388005013,6.96,831,10.3624611767968,44.5295920673494,"M","Adult"
"ad","male",6,-82.02458,45.57757,1966,"Sitta canadensis","Sitta_canadensis",10.9,114,5.4,813,10.049826622958,53.6193540062853,"Summer",118829,5.05,879,9.77777528819334,49.3652234432756,5.12,770,10.1870463700132,41.3526829369646,"M","Adult"
"ad","male",7,-119.5295334,49.3502892,1980,"Sitta canadensis","Sitta_canadensis",10,NA,8.8,328,8.33533915254075,54.0952103933311,"Summer",118812,8.8,298.5,9.1454763830941,48.3666455853471,8.68,303,8.74234902700655,62.1723433219128,"M","Adult"
"ad","female",6,-82.03507,45.57744,1966,"Sitta canadensis","Sitta_canadensis",13.5,117,5.3,814,10.0752171192486,53.8210503928514,"Summer",118828,5,880,9.8015514135166,49.4660716365586,5.06,770.8,10.2057751406627,41.363159846376,"F","Adult"
"ad","male",10,-138.7844467,61.2480287,1981,"Sitta canadensis","Sitta_canadensis",11.2,NA,-1.3,310,10.4012091371701,86.1921084396904,"Fall",118643,-2.15,293,12.1299667763254,84.1133634896565,-2.72,277.8,12.8601517200219,81.6980789172155,"M","Adult"
"ad","male",10,-79.4067,43.744143,2003,"Sitta canadensis","Sitta_canadensis",11,NA,7.1,821,10.5114079442146,39.0254988756052,"Fall",118825,7.75,795,10.0895022778505,33.1387824432,8.14,766.6,9.96747103570886,42.2106892849818,"M","Adult"
"ad","male",7,-122.6094818,49.2960238,1973,"Sitta canadensis","Sitta_canadensis",10.6,NA,9.3,1521,5.43462524146344,77.6522963192103,"Summer",118808,9.05,1765,5.84534751067897,71.0213294583622,9.06,1691.4,6.05426992881644,62.558267409896,"M","Adult"
"ad","female",5,-79.41742,43.702718,1997,"Sitta canadensis","Sitta_canadensis",10.9,NA,7.2,705,9.55618156276899,32.0857657294775,"Spring",118645,7.1,843,9.98511546546329,37.8472441427494,7.22,825.8,10.398824006543,38.2927507619133,"F","Adult"
"ad","male",5,-79.425049,43.6909,1934,"Sitta canadensis","Sitta_canadensis",9,NA,6.9,636,11.4500066163803,37.0433893288318,"Spring",118646,7.4,672.5,10.9354749904388,38.1620705768655,7.9,715.4,10.2478836375692,34.2409058439269,"M","Adult"
"ad","male",9,-79.252264,43.77702,2004,"Sitta canadensis","Sitta_canadensis",10,NA,7.3,800,10.1181317894704,43.250946000403,"Fall",118831,7.15,812.5,10.330810186598,41.1825478832532,7.76,785.2,9.97686245274615,41.0943711419819,"M","Adult"
"ad","male",9,-79.372722,43.73418,1975,"Sitta canadensis","Sitta_canadensis",9.7,NA,8.2,807,10.1184200467476,22.8094245601912,"Fall",118809,7.75,812.5,9.94867574060713,33.8929215037592,7.64,808.6,10.169484489264,35.9143403262362,"M","Adult"
"ad","female",3,-104.7446666667,32.1106833333,2008,"Sitta canadensis","Sitta_canadensis",10.2,NA,13.7,416,6.38954520124773,127.897254922621,"Spring",118737,13.6,516,6.60501508289382,109.95868378066,13.72,592.2,6.64772329241016,112.438247859056,"F","Adult"
"ad","male",7,-81.57201,49.33011,1973,"Sitta canadensis","Sitta_canadensis",10.6,NA,1.9,859,12.9302558037927,38.9764785073422,"Summer",118807,0.5,807,13.2787214338134,44.0436553591114,0.72,826.2,13.001152959078,40.1363869228129,"M","Adult"
"ad","male",9,-79.853183,43.22748,1935,"Sitta canadensis","Sitta_canadensis",8,NA,7.7,662,10.0443109180362,32.6451786326045,"Fall",118819,7.75,648,10.5712749632933,37.5941998348722,8.56,754.6,9.84164855982096,36.6000675716312,"M","Adult"
"ad","male",5,-77.45764,43.97391,1936,"Sitta canadensis","Sitta_canadensis",11,NA,7,771,11.0757823446226,49.8855254725439,"Spring",118927,6.85,719,11.0119000074588,46.7342640954449,7.28,731.2,10.6676782386319,42.1714301812344,"M","Adult"
"ad","female",6,-57.5999451,49.0141175,1972,"Sitta canadensis","Sitta_canadensis",10.5,NA,2.8,1076,9.71989524821969,40.2649363136396,"Summer",118639,3.8,1098,9.27677152068228,35.649465254324,4.6,1063.8,8.35100459065558,35.0007098349352,"F","Adult"
"ad","male",6,-80.45638,45.70165,1978,"Sitta canadensis","Sitta_canadensis",10.5,NA,4.4,857,11.3947223296444,46.6763789344193,"Summer",118810,4.8,894,11.1540848460556,42.9652715209849,4.94,894.8,11.0062851937051,36.3876610141589,"M","Adult"
"ad.","female",11,-120.22386,39.43159,1953,"Sitta canadensis","Sitta_canadensis",10.2,NA,4.4,628,5.95427017638042,92.1433952612745,"Fall",118743,4.2,882,6.78681921969222,103.296418103496,4.38,930.8,6.94920923790529,99.3473558012201,"F","Adult"
"ad.","female",8,-118.91056,36.78619,1916,"Sitta canadensis","Sitta_canadensis",9.8,NA,9.5,1484,7.31330771244925,152.529949124809,"Summer",118772,9.45,1209,7.04179014997599,131.573063583213,9.06,999.6,6.85738092162541,145.492537406083,"F","Adult"
"ad.","female",1,-115.4207,35.1716,1938,"Sitta canadensis","Sitta_canadensis",10.1,NA,12.9,254,7.69030775283625,132.158136765635,"Winter",118795,13.15,195,8.20932228621751,124.12429244057,13.52,205.4,7.74788224787302,114.486156609254,"F","Adult"
