"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",4,98,7.8,938,10.1522500864676,26.3367161335566,"Summer",194160,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",8,-96.66696,40.800001,1989,"Sorex cinereus cinereus","Sorex_cinereus",2.5,75,10,599,11.6740939561479,113.599368190196,"Summer",191988,10.65,538.5,11.6964734677467,106.20026658784,10.98,758.6,11.0757217050315,88.8448684491129,"NS","NS"
"","",9,-76.655259,42.276659,1980,"Sorex cinereus","Sorex_cinereus",4.4,95,7.3,858,10.5133789222893,59.0958931379888,"Fall",191908,7.4,942,10.2728451786058,44.960785746668,7.16,1040.8,10.241257993487,46.678115287377,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,93,7.8,938,10.1522500864676,26.3367161335566,"Summer",191878,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",6,-110.774402,43.292954,1996,"Sorex cinereus cinereus","Sorex_cinereus",3.2,94,4.6,672,8.76526806449319,69.5157848360566,"Summer",191994,4.8,662.5,8.25005820047145,57.940151884326,4.26,569.2,8.79628142454606,53.2429590268817,"NS","NS"
"","",1,-83.536879,35.687352,1980,"Sorex cinereus cinereus","Sorex_cinereus",1.2,81,12.1,1317,8.44967275679773,43.7851126267465,"Winter",191987,11.95,1515,8.10911900394911,38.1439286620188,11.86,1512.2,8.23113803901326,42.8673365432465,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,92,7.8,938,10.1522500864676,26.3367161335566,"Summer",194141,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",6,-110.774402,43.292954,1996,"Sorex cinereus cinereus","Sorex_cinereus",3.3,102,4.6,672,8.76526806449319,69.5157848360566,"Summer",194241,4.8,662.5,8.25005820047145,57.940151884326,4.26,569.2,8.79628142454606,53.2429590268817,"NS","NS"
"","",7,-70.184875,44.25571,1991,"Sorex cinereus","Sorex_cinereus",3,85,7.5,1111,10.2125999123483,45.1383905238368,"Summer",194171,7.5,1218,9.81897427575366,41.5947658697181,6.86,1106,10.2752030436147,49.1458447924816,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,94,7.8,938,10.1522500864676,26.3367161335566,"Summer",194143,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",8,-107.1442904,37.83932011,2005,"Sorex cinereus","Sorex_cinereus",3,88,1.8,596,7.16812705346002,74.3635195693144,"Summer",194221,1.6,591.5,7.30076416524848,68.1108559350292,2,518,7.59820599984551,68.3345212100711,"NS","NS"
"","",6,-110.774402,43.292954,1996,"Sorex cinereus cinereus","Sorex_cinereus",3.5,98,4.6,672,8.76526806449319,69.5157848360566,"Summer",191996,4.8,662.5,8.25005820047145,57.940151884326,4.26,569.2,8.79628142454606,53.2429590268817,"NS","NS"
"","",10,-79.406653,42.439706,1992,"Sorex cinereus","Sorex_cinereus",4.2,90,9.3,1090,8.29988590648125,46.4133793721466,"Fall",194166,10.15,973,8.75592350228573,40.5275475158752,10.02,1006.4,9.00668997928294,41.0272352042005,"NS","NS"
"","",6,-110.812552,43.211128,1996,"Sorex cinereus cinereus","Sorex_cinereus",4.2,99,4.6,707,8.6692201949125,67.4919067425087,"Summer",194242,4.8,699,8.14049668631734,57.4427840341922,4.24,600.2,8.69801186476622,52.0428966141524,"NS","NS"
"","",10,-79.406653,42.439706,1992,"Sorex cinereus","Sorex_cinereus",4,88,9.3,1090,8.29988590648125,46.4133793721466,"Fall",191887,10.15,973,8.75592350228573,40.5275475158752,10.02,1006.4,9.00668997928294,41.0272352042005,"NS","NS"
"","",7,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,100,7.8,938,10.1522500864676,26.3367161335566,"Summer",194157,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",2.5,99,7.8,938,10.1522500864676,26.3367161335566,"Summer",191868,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,94,7.8,938,10.1522500864676,26.3367161335566,"Summer",194140,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",7,-70.184875,44.25571,1991,"Sorex cinereus","Sorex_cinereus",3,85,7.5,1111,10.2125999123483,45.1383905238368,"Summer",194159,7.5,1218,9.81897427575366,41.5947658697181,6.86,1106,10.2752030436147,49.1458447924816,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3,94,7.8,938,10.1522500864676,26.3367161335566,"Summer",194146,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",7,-106.07583,38.745184,1988,"Sorex cinereus cinereus","Sorex_cinereus",1,86,5.7,222,9.49669799073724,64.9853701246764,"Summer",194240,5.8,232,9.02738527882679,60.9218842752979,5.82,250.8,8.75689518232283,65.6726911237854,"NS","NS"
"","",6,-110.799176,43.28889,1996,"Sorex cinereus cinereus","Sorex_cinereus",4.5,96,4.8,651,8.84569318249214,68.1426122227941,"Summer",194243,5,643,8.32692371418027,57.3714753338677,4.44,552.8,8.87392522232294,52.7492280566235,"NS","NS"
"","",8,-76.655259,42.276659,1991,"Sorex cinereus","Sorex_cinereus",6,70,9.1,788,9.42302145457248,33.2075785300248,"Summer",194179,9.1,994,8.72614305506829,38.5707065395289,8.24,937,9.55878332497647,47.1024684735058,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",4.5,103,7.8,938,10.1522500864676,26.3367161335566,"Summer",194156,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",3.5,99,7.8,938,10.1522500864676,26.3367161335566,"Summer",191872,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"NS","NS"
"","",1,-110.809489,43.212514,1990,"Sorex cinereus","Sorex_cinereus",3,95,3.7,509,9.93809246375691,42.2267660932392,"Winter",194252,3.6,474.5,9.81833546439553,49.9989255575885,3.66,489,9.49030640350612,66.3433419884873,"NS","NS"
"","",7,-110.555,43.90611,2000,"Sorex cinereus cinereus","Sorex_cinereus",2.9,91,2.5,646,9.32927536242118,55.4695016251509,"Summer",191944,2.65,708,8.3587259149684,62.3741183147161,2.54,845.8,8.63749578379339,63.3225969332929,"NS","NS"
"","",6,-110.774402,43.292954,1996,"Sorex cinereus cinereus","Sorex_cinereus",2.7,98,4.6,672,8.76526806449319,69.5157848360566,"Summer",191995,4.8,662.5,8.25005820047145,57.940151884326,4.26,569.2,8.79628142454606,53.2429590268817,"NS","NS"
"","",7,-110.77253,43.300413,1996,"Sorex cinereus cinereus","Sorex_cinereus",3,95,4.6,688,8.73926614351987,70.6902501108919,"Summer",191993,4.75,677,8.22917457381178,58.6564551544703,4.18,580,8.7674146311026,53.4476732621626,"NS","NS"
"","",3,-76.4009,42.5175,1993,"Sorex cinereus","Sorex_cinereus",1.8,80,7.3,995,10.4057203091144,44.7874850005539,"Spring",194162,7.25,1033.5,9.67476529734149,46.2173426473015,8.08,1005.8,9.52210888018739,44.1507026073779,"NS","NS"
"","",9,-76.655259,42.276659,1991,"Sorex cinereus","Sorex_cinereus",3,81,9.1,788,9.42302145457248,33.2075785300248,"Fall",191909,9.1,994,8.72614305506829,38.5707065395289,8.24,937,9.55878332497647,47.1024684735058,"NS","NS"
"","",7,-110.784916,43.224781,1999,"Sorex cinereus cinereus","Sorex_cinereus",3.3,108,4.2,574,7.45013219325467,62.2029912294378,"Summer",194216,4.05,619.5,8.07898065363198,53.5327273247514,4.22,646.2,8.27075181642722,52.9847525101777,"NS","NS"
"","female",8,-128.61208,60.08708,2004,"Sorex cinereus","Sorex_cinereus",2.8,NA,-0.9,383,12.154722239824,41.9817479568046,"Summer",194717,-1.15,441.5,11.8150142009886,44.4550453854045,-1.24,453.8,11.2954967562881,53.4162645465214,"F","NS"
"","female",8,-142.0897222,65.30194444,2001,"Sorex cinereus","Sorex_cinereus",3.5,85,-2.7,204,14.0030516154678,75.9451030511662,"Summer",197751,-2.6,236.5,13.8830378751021,83.8956787811202,-2.74,201.8,14.8760118281317,74.3394152802282,"F","NS"
"","female",7,-132.3364,56.3451,2009,"Sorex cinereus","Sorex_cinereus",3.7,97,5.3,2609,6.80032864624716,54.9057793764071,"Summer",192274,5,2757.5,6.39625710701679,45.6607245322261,5.46,2784.8,6.07893506806259,48.8426452990434,"F","NS"
"","female",6,-75.627724,44.113591,1991,"Sorex cinereus","Sorex_cinereus",2.5,88,7.8,938,10.1522500864676,26.3367161335566,"Summer",191874,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"F","NS"
"","female",3,-76.5094764,42.4381028,1958,"Sorex cinereus","Sorex_cinereus",3.1,104,7.6,1010,10.2397916645473,31.0147769564569,"Spring",196472,8.35,882,9.74971314328424,37.5346174243305,8.7,889,9.74461938026731,43.6420860472876,"F","NS"
"","female",7,-133.06,61.16,1985,"Sorex cinereus cinereus","Sorex_cinereus",3,93.5,-2.3,370,11.2490100574552,51.2248016282391,"Summer",197277,-2.15,361.5,11.2850727136115,50.0407853623913,-2.46,344.8,11.9944113298062,56.8515981549061,"F","NS"
"","female",8,-82.11,36.1,1961,"Sorex cinereus cinereus","Sorex_cinereus",3,84,8.7,1589,6.92161743227606,40.2583055403861,"Summer",197266,8.5,1503.5,7.63365564780849,38.0250865031025,8.84,1547.6,7.70644528403372,36.8020063168767,"F","NS"
"","female",1,-82.12,36.1,1959,"Sorex cinereus cinereus","Sorex_cinereus",3,86,9.4,1498,7.65231198971127,22.2702517609876,"Winter",197263,8.75,1478,8.15639454591618,30.2747559225534,9.14,1463.4,7.61263059818807,38.5045104790127,"F","NS"
"","female",9,-105.909671,39.891017,1976,"Sorex cinereus cinereus","Sorex_cinereus",2.7,85,1.1,621,7.54290254397329,49.753550461694,"Fall",194265,0.9,630,7.59895342447104,41.6502513094225,0.96,620,7.85586149095595,46.0659136807629,"F","NS"
"","female",7,-154.5670667,60.1775,2003,"Sorex cinereus","Sorex_cinereus",3.3,103,3.5,434,8.17403038453325,64.503111275922,"Summer",193562,3.6,451,7.99769162371875,72.2642861120999,2.4,428.6,8.62034758198623,72.7183972933056,"F","NS"
"","female",8,-114.26,62.24,2007,"Sorex cinereus","Sorex_cinereus",2.9,73,-4,276,14.7838056362666,45.6756950511453,"Summer",192561,-3.3,276,15.019349022864,45.6756950511453,-3.78,265.4,15.1264749812722,49.9201555414647,"F","NS"
"","female",6,-149.36949,60.44353,2008,"Sorex cinereus","Sorex_cinereus",3,89,1.4,883,8.55893561068658,58.3881621741141,"Summer",194525,1.8,832.5,8.74102710267829,69.3598922969074,2.58,896.4,8.79073528324057,78.1546678570732,"F","NS"
"","female",8,-157.2333333,64.8,1992,"Sorex cinereus","Sorex_cinereus",3,93,-4.5,362,14.4765301174841,56.1641866839676,"Summer",195468,-3.9,344,14.7377902962407,62.5082744674346,-3.88,415.2,15.4938934522145,61.3959270535235,"F","NS"
