"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",6,-75.627724,44.113591,1991,"Sorex hoyi","Sorex_hoyi",4.5,88,7.8,938,10.1522500864676,26.3367161335566,"Summer",189869,7.95,1037.5,9.52653147683539,30.0597603544773,7.26,988.8,10.388365813319,37.9156373871413,"F","Adult"
"adult","female",7,-75.469299,44.151524,1991,"Sorex hoyi","Sorex_hoyi",3,86,7.4,957,10.1349081710869,27.695449388484,"Summer",189683,7.55,1064.5,9.50471880401791,31.9321420425873,6.84,1007.6,10.3927566182514,39.0210350666156,"F","Adult"
"adult","male",9,-150.44716,66.36026,2013,"Sorex hoyi","Sorex_hoyi",3.5,92,-6.4,572,14.8898073740517,78.0533046184913,"Fall",189902,-7.1,531.5,16.0728039459989,77.7764086372592,-6.38,520,15.8300287111888,79.1042898865879,"M","Adult"
"adult","male",3,-93.5833333,45.3,1926,"Sorex hoyi hoyi","Sorex_hoyi",2.9,NA,5.7,762,11.9873765674436,94.1031773336835,"Spring",190172,6.05,664,11.9766992693832,98.5512960441777,6.18,646,12.4209092206924,85.5155498907743,"M","Adult"
"adult","male",3,-93.5833333,45.3,1926,"Sorex hoyi hoyi","Sorex_hoyi",2.1,NA,5.7,762,11.9873765674436,94.1031773336835,"Spring",190125,6.05,664,11.9766992693832,98.5512960441777,6.18,646,12.4209092206924,85.5155498907743,"M","Adult"
"juvenile","female",7,-136.4361,62.3601,2005,"Sorex hoyi","Sorex_hoyi",3.2,88,-1.2,374,13.4735318534548,71.285284228204,"Summer",189874,-1.65,313.5,13.9311292506334,54.5733816470835,-1.82,271.4,13.1564342237308,63.6288758463927,"F","Juvenile"
"mature","male",8,-148.0166666667,64.85,1983,"Sorex hoyi","Sorex_hoyi",4.4,90,-1.5,302,13.0631653085609,123.900912562065,"Summer",189731,-2.05,348,13.4487700205881,105.95188133423,-1.44,347.6,13.1390067965724,90.1090202247268,"M","Adult"
"over-winter","male; male",7,-158.4896111111,67.01875,2003,"Sorex hoyi","Sorex_hoyi",4.3,91,-3.1,693,13.4384455269878,62.7044722077669,"Summer",189822,-2.75,664.5,13.0937102651752,81.0339861261563,-3.96,628.6,13.6475430639813,83.4502536495938,"NS","NS"
"over-winter","male",7,-159.8713055556,60.916,2006,"Sorex hoyi","Sorex_hoyi",4.9,81,-2.5,863,12.3335800548623,95.2984266578247,"Summer",190009,-1.85,933.5,11.9241749425298,101.690017706933,-0.86,866.4,11.183167091791,90.2114218226745,"M","NS"
"over-winter","male",7,-157.3388888889,59.8094444444,2003,"Sorex hoyi","Sorex_hoyi",5,96,2.9,1122,8.79184798032194,56.2163367449599,"Summer",189819,3.1,1086.5,8.49927397043393,59.8446795177647,1.76,1009.2,9.22945088375879,60.6876237199693,"M","NS"
