"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",9,-117.31723,33.34507,2004,"Sorex ornatus ornatus","Sorex_ornatus",2.8,82,16.8,344,3.73520313025174,146.205876087388,"Fall",190387,16.65,364,3.60076188574531,149.536083393528,16.3,300.8,3.5343815581993,151.329856500854,"F","Adult"
"adult","male",1,-117.36382,33.34365,2004,"Sorex ornatus ornatus","Sorex_ornatus",4,98,16.7,334,3.64004453852206,144.96325683433,"Winter",190303,16.55,354.5,3.49313291785073,148.166288856625,16.2,296.4,3.41726759730842,149.424720109778,"M","Adult"
"adult","male",6,-117.49208,33.32635,2006,"Sorex ornatus ornatus","Sorex_ornatus",5.5,99,16.1,203,3.58743598823686,101.560407970114,"Summer",190343,16,313,2.97432999514573,136.030726669885,15.76,272.2,2.9032182103331,141.305282645694,"M","Adult"
"adult","male",9,-117.46909,33.31851,2004,"Sorex ornatus ornatus","Sorex_ornatus",1.8,70,16.2,276,3.1807184246597,142.720906282801,"Fall",190341,16.05,300,3.04604295254101,146.412914321353,15.7,259.4,2.97664929982244,145.996176568851,"M","Adult"
"adult","male",4,-117.4797,33.46833,2004,"Sorex ornatus ornatus","Sorex_ornatus",5.1,95,16.9,402,3.57703110346437,151.095823746335,"Spring",190389,16.75,427,3.53356808198259,153.138718904068,16.44,361.6,3.45844730445205,153.419346077571,"M","Adult"
"adult","female",6,-117.22278,32.9283,2002,"Sorex ornatus ornatus","Sorex_ornatus",3,92,15.5,127,2.96784535658549,138.323977412713,"Summer",190227,15.65,191,3.06963062648803,136.367615746954,15.72,220,3.09560316229792,141.502355661514,"F","Adult"
"adult","male",9,-117.36359,33.34352,2004,"Sorex ornatus ornatus","Sorex_ornatus",2.9,72,16.7,334,3.64004453852206,144.96325683433,"Fall",190231,16.55,354.5,3.49313291785073,148.166288856625,16.2,296.2,3.41726759730842,149.581905800517,"M","Adult"
"adult","male",6,-116.65308,33.1347,2006,"Sorex ornatus ornatus","Sorex_ornatus",4,92,14.6,418,6.57393268212346,131.296944750358,"Summer",190391,14.5,554.5,5.94950101859946,141.931337046846,14.26,528.6,5.83282423401301,131.459369657999,"M","Adult"
"adult","male",5,-122.48094,37.63502,1981,"Sorex ornatus californicus","Sorex_ornatus",4.1,95,13.8,757,1.93694151286053,110.650938137341,"Spring",190317,13.55,650.5,1.90399645534684,125.579351709939,13.38,651.4,2.29410439243182,120.261469356422,"M","Adult"
"adult","female",6,-117.42081,33.23744,2006,"Sorex ornatus ornatus","Sorex_ornatus",3.4,88,15.8,179,3.50855016244948,95.8112622805794,"Summer",190345,15.65,286.5,2.88470809024331,134.712820899597,15.42,249,2.81246282399892,142.755005420188,"F","Adult"
"adult","male",4,-117.736,33.73464,2002,"Sorex ornatus ornatus","Sorex_ornatus",4.5,89,15.7,187,3.27065696301171,134.589470956741,"Spring",190298,15.7,312.5,3.49568035438074,147.48944385731,15.82,332.8,3.57134262212201,149.870550157957,"M","Adult"
"adult","male",4,-117.34905,33.37083,2004,"Sorex ornatus ornatus","Sorex_ornatus",4.5,94,16.9,358,3.66742416417845,147.290835322436,"Spring",190390,16.75,380,3.55292173137049,149.895073426033,16.36,316.8,3.47383716597669,151.686978090595,"M","Adult"
"adult","male",6,-117.31728,33.34507,2004,"Sorex ornatus ornatus","Sorex_ornatus",4.3,80,16.8,344,3.73520313025174,146.205876087388,"Summer",190386,16.65,364,3.60076188574531,149.536083393528,16.3,300.8,3.5343815581993,151.329856500854,"M","Adult"
"adult","female ?",3,-117.47946,33.469,2006,"Sorex ornatus ornatus","Sorex_ornatus",4,85,17,285,4.13429851878456,102.258494498158,"Spring",190340,16.85,451,3.5696219687698,140.761017885952,16.64,392.8,3.49425176690478,146.877535732236,"F","Adult"
"adult","undetermined",5,-122.48094,37.63502,1981,"Sorex ornatus californicus","Sorex_ornatus",3.8,97,13.8,757,1.93694151286053,110.650938137341,"Spring",190351,13.55,650.5,1.90399645534684,125.579351709939,13.38,651.4,2.29410439243182,120.261469356422,"NS","Adult"
"adult","male ?",6,-116.71965,33.13186,2006,"Sorex ornatus ornatus","Sorex_ornatus",2.7,83,15.5,397,6.44202584360673,130.912698818462,"Summer",190308,15.4,519,5.81124442543856,143.299000972466,15.16,479,5.6983991484979,133.10955302088,"M","Adult"
"adult","male",11,-117.73015,33.5362,2002,"Sorex ornatus ornatus","Sorex_ornatus",5,89,15.6,172,2.93447377968118,141.747780428145,"Fall",190220,15.65,271.5,3.12094598997846,144.962174587336,15.76,289.6,3.19418638119859,146.613626065404,"M","Adult"
