"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","undetermined",8,-105.894528,39.908365,1978,"Sorex palustris navigator","Sorex_palustris",10.1,145,1.9,600,8.23203277668181,49.6753093964835,"Summer",168279,2.2,575.5,8.20510153232279,52.7357396878916,1.7,584.6,8.00901270860624,48.7359578630841,"NS","Adult"
"adult","undetermined",9,-113.61376,44.95039,2010,"Sorex palustris","Sorex_palustris",10.5,144,6,387,8.56923231242113,52.7726675846909,"Fall",168358,5.6,363.5,9.05109186041443,53.730089182924,6.04,308.6,9.16754763174943,55.766914001324,"NS","Adult"
"adult","undetermined",7,-113.51654,44.97591,2010,"Sorex palustris","Sorex_palustris",9.58,130,5.1,548,8.34836220555574,61.522065710089,"Summer",168353,3.9,598.5,8.56744036059131,56.6865025536362,4.4,521.4,8.66349640583978,65.3438648862655,"NS","Adult"
"adult","female",7,-110.4044,41.0365,2007,"Sorex palustris","Sorex_palustris",13.5,152,2.7,488,9.44442676766023,59.956289957976,"Summer",168216,2.5,629,8.89545930037342,44.6910408877278,2.3,668.4,8.51636637940674,52.6727445370788,"F","Adult"
"adult","female",5,-113.6134,44.9508,2010,"Sorex palustris","Sorex_palustris",9.11,145,6,388,8.56796358535679,52.7898128843345,"Spring",168348,5.6,363.5,9.05109186041443,53.9614191038163,6.04,309,9.16822418928957,55.8802116189172,"F","Adult"
"adult","undetermined",7,-113.51654,44.97591,2010,"Sorex palustris","Sorex_palustris",10.32,137,5.1,548,8.34836220555574,61.522065710089,"Summer",168408,3.9,598.5,8.56744036059131,56.6865025536362,4.4,521.4,8.66349640583978,65.3438648862655,"NS","Adult"
"adult","female",3,-93.5833333,45.3,1928,"Sorex palustris hydrobadistes","Sorex_palustris",13.25,NA,6.7,735,10.9958669921517,76.9534500149813,"Spring",168378,6.1,751.5,11.5237633091272,66.9536033163471,5.9,711.2,11.8719375687874,84.1642493597524,"F","Adult"
"adult","undetermined",9,-113.61339,44.95087,2010,"Sorex palustris","Sorex_palustris",10.4,142,6,388,8.56796358535679,52.7898128843345,"Fall",168350,5.6,363.5,9.05109186041443,53.9614191038163,6.04,309,9.16822418928957,55.8802116189172,"NS","Adult"
"adult","female",9,-113.21584,44.65886,2010,"Sorex palustris","Sorex_palustris",11.58,154,3.5,430,8.3288108940647,54.722952264098,"Fall",168415,3.15,405.5,8.79947235457158,58.6890860397708,3.64,336.4,8.92618040895043,59.3517381304458,"F","Adult"
"adult","undetermined",7,-113.51654,44.97591,2010,"Sorex palustris","Sorex_palustris",10.44,136,5.1,548,8.34836220555574,61.522065710089,"Summer",168351,3.9,598.5,8.56744036059131,56.6865025536362,4.4,521.4,8.66349640583978,65.3438648862655,"NS","Adult"
"adult","female",9,-121.72019,44.51035,2012,"Sorex palustris","Sorex_palustris",8.5,144,7.7,913,6.27348315603787,74.2706673396028,"Fall",168297,6.95,1067.5,6.39886094680133,74.3809246169241,7.06,976.2,6.54522304513665,80.789375386908,"F","Adult"
