"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",5,-123.25399,44.54216,2013,"Sorex vagrans","Sorex_vagrans",6.5,104,11.4,685,6.4709315052359,61.8733448984312,"Spring",139483,11.5,1083.5,5.85671848920992,71.1026440574022,11.48,1073.8,5.62819426013564,73.0711661214288,"F","Adult"
"adult","female",7,-122.4262,42.9416,2007,"Sorex vagrans","Sorex_vagrans",4.3,100,8.8,1327,6.45844525807219,70.0108135937096,"Summer",140017,9.05,1425.5,6.48869309634711,84.0524870933157,9.26,1357,6.37977168858128,83.6188107685759,"F","Adult"
"adult","male",5,-123.25399,44.54216,2011,"Sorex vagrans","Sorex_vagrans",4.5,96,10.9,1033,5.71582068128506,80.1946085934681,"Spring",139476,11.35,1164,5.13270636879472,73.778384134601,11.44,1007.4,5.56399581289118,80.2900667198116,"M","Adult"
"adult","male",7,-117.9589,45.8375,2007,"Sorex vagrans","Sorex_vagrans",6.8,98,6,1031,7.51729319434176,74.0122042509477,"Summer",139469,6.2,1169.5,7.45756126190292,75.6148817333211,6.36,1130.4,7.48180119653654,75.3904793608124,"M","Adult"
"adult","female",6,-113.6134,44.9508,2010,"Sorex vagrans","Sorex_vagrans",4.9,101,6,388,8.56796358535679,52.7898128843345,"Summer",141223,5.8,342,9.1045874223025,55.2250431326168,6.24,288.2,9.22426067250797,54.73995817888,"F","Adult"
"adult","male",6,-113.6134,44.9508,2010,"Sorex vagrans","Sorex_vagrans",9.35,107,6,388,8.56796358535679,52.7898128843345,"Summer",141221,5.8,342,9.1045874223025,55.2250431326168,6.24,288.2,9.22426067250797,54.73995817888,"M","Adult"
"adult","male",7,-124.0999,46.8934,1948,"Sorex vagrans","Sorex_vagrans",7.8,108,9.2,2139,4.34246124875855,61.7755508047883,"Summer",139417,9.8,1982,4.08890657735101,68.6241845475669,9.72,1878.8,3.76211916293791,69.0029632419198,"M","Adult"
"adult","male",5,-113.6134,44.9508,2010,"Sorex vagrans","Sorex_vagrans",8.94,111,6,388,8.56796358535679,52.7898128843345,"Spring",141224,5.8,342,9.1045874223025,55.2250431326168,6.24,288.2,9.22426067250797,54.73995817888,"M","Adult"
"adult","female",8,-122.85,38.1,1926,"Sorex vagrans vagrans","Sorex_vagrans",6.5,NA,13.4,1037,2.53442958736938,124.964649205817,"Summer",141461,13,877,2.14534771314645,133.483595889258,12.5,746.6,2.40160068186712,127.932045246438,"F","Adult"
"adult","female",7,-117.9589,45.8375,2007,"Sorex vagrans","Sorex_vagrans",5.7,101,6,1031,7.51729319434176,74.0122042509477,"Summer",140024,6.2,1169.5,7.45756126190292,75.6148817333211,6.36,1130.4,7.48180119653654,75.3904793608124,"F","Adult"
"adult","male",7,-118.7,37.6,1922,"Sorex vagrans vagrans","Sorex_vagrans",8.6,NA,6.1,348,8.02156185199956,104.19038696107,"Summer",140978,6.4,329,7.24519284388307,122.041114977259,6.06,327.4,7.38862853692375,111.716153485972,"M","Adult"
"adult","male",9,-113.60181,44.97008,2010,"Sorex vagrans","Sorex_vagrans",3.27,100,6,405,8.5827655004878,52.0170528505342,"Fall",140748,5.8,356.5,9.1206025253591,53.706675197128,6.24,301.2,9.23099171803781,54.6764073210021,"M","Adult"
"adult","female",7,-122.4262,42.9416,2007,"Sorex vagrans","Sorex_vagrans",4,101,8.8,1327,6.45844525807219,70.0108135937096,"Summer",140015,9.05,1425.5,6.48869309634711,84.0524870933157,9.26,1357,6.37977168858128,83.6188107685759,"F","Adult"
"adult","male",6,-113.6134,44.9508,2010,"Sorex vagrans","Sorex_vagrans",8.37,111,6,388,8.56796358535679,52.7898128843345,"Summer",140745,5.8,342,9.1045874223025,55.2250431326168,6.24,288.2,9.22426067250797,54.73995817888,"M","Adult"
"adult","female",8,-117.93947,49.25795,2007,"Sorex vagrans","Sorex_vagrans",5.9,105,5.3,815,8.35055342023763,50.6190840094309,"Summer",140025,5.5,898.5,8.18574360275983,62.3521599096604,5.46,915,8.13035417814918,55.7979867129442,"F","Adult"
