"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",5,-103.8953018,30.6390936,1968,"Carduelis psaltria psaltria","Spinus_psaltria",10.6,NA,14.6,571,6.55376366539244,111.521385119181,"Spring",184245,14.95,493,6.44429402563859,115.535670117445,15.18,411,6.83940744586291,112.175373308071,"M","Adult"
"ad","male",6,-120.5881808,35.1185856,1968,"Carduelis psaltria hesperophila","Spinus_psaltria",9.1,109,13.8,307,2.07408249156541,94.0396731103374,"Summer",183904,13.65,387,2.60795947755325,104.456462424675,13.34,363.2,2.42421665284489,115.939264566274,"M","Adult"
"ad","male",6,-120.5881808,35.1185856,1969,"Carduelis psaltria hesperophila","Spinus_psaltria",9.8,117,13.6,663,2.19482863278041,172.90192877812,"Summer",184248,13.7,485,2.13445556217291,133.470800944229,13.52,427.4,2.4441503057027,131.674156579971,"M","Adult"
"ad","male",11,-103.0598561,29.8169754,1989,"Carduelis psaltria psaltria","Spinus_psaltria",10,NA,19,305,7.78325222201588,108.085688428639,"Fall",184252,18.65,283,7.48665635069194,111.31418026574,18.52,345.2,7.53181644167959,94.3510811449241,"M","Adult"
"ad","male",5,-99.1953097,18.9240088,1972,"Carduelis psaltria psaltria","Spinus_psaltria",9.7,NA,20.2,995,1.47216599854525,106.505577635399,"Spring",184360,20.1,1047,1.34775916136554,104.831793160123,20.2,977.4,1.61666506029912,123.329073979506,"M","Adult"
"ad","male",8,-109.3822849,31.9298117,1977,"Carduelis psaltria hesperophila","Spinus_psaltria",9.3,NA,13.1,681,6.70519924906762,109.398598226434,"Summer",184250,12.65,546.5,6.67067169619339,91.7887075197422,12.4,507.8,6.90165749107965,108.82478265554,"M","Adult"
"ad","male",12,-103.1671142,29.3082557,1979,"Carduelis psaltria psaltria","Spinus_psaltria",9,NA,18,318,7.41907349438941,97.3862973374124,"Winter",184251,18.4,386,7.45211273172728,100.827183466941,18.44,327.6,7.22624306410528,91.6580571616493,"M","Adult"
"ad","female",5,-103.615,30.14823,1971,"Carduelis psaltria psaltria","Spinus_psaltria",9.5,NA,15.8,339,5.85337897752618,129.315901285316,"Spring",184249,15.5,396,6.23236355929788,117.254772932418,15.36,414.4,6.58384548436403,118.119944768164,"F","Adult"
"ad","female",5,-112.1668266,34.3613941,1969,"Carduelis psaltria hesperophila","Spinus_psaltria",11.3,NA,15.6,414,8.0305100030503,71.5422339464135,"Spring",183905,15.5,366.5,7.86261734080344,75.8766241330153,15.48,457,7.83189440558089,85.4814495989701,"F","Adult"
"ad","male",5,-103.3975412,29.6462406,1978,"Carduelis psaltria hesperophila","Spinus_psaltria",9.7,NA,18.2,465,7.25588580311727,96.0435834011767,"Spring",183907,18.55,399,7.31177325332649,89.6941371826277,18.02,349.6,6.95548317679108,105.941319379015,"M","Adult"
