"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",11,-102.9341697,29.3431272,1987,"Sturnella neglecta","Sturnella_neglecta",120,NA,18.2,405,7.04510898468296,73.1702434344378,"Fall",143353,18.95,435.5,6.93257482019344,83.1672940547157,19.22,389.8,7.17210419808779,84.3658087209085,"M","Adult"
"ad","male",10,-98.3798218,26.5234216,1994,"Sturnella neglecta","Sturnella_neglecta",117,NA,23.7,431,5.3666196120655,63.5310576505325,"Fall",143195,23.3,505.5,5.43322371653095,86.3585567159197,23.36,524.2,5.53801399648809,74.6971547341584,"M","Adult"
"ad","female",10,-99.4479425,28.279887,1994,"Sturnella neglecta","Sturnella_neglecta",95,NA,22.5,490,6.41902357343885,61.01067252572,"Fall",143192,22.15,459.5,6.35387603329639,78.4881986344481,21.96,576.6,6.51498031085283,70.7325022301044,"F","Adult"
"ad","male",2,-98.5895042,33.1070614,1979,"Sturnella neglecta","Sturnella_neglecta",116,NA,16.6,743,9.45603462922439,61.8740531126397,"Winter",143350,16.95,654,9.97482731226934,55.4576160900721,17.34,669,9.08784139585443,66.5601853765757,"M","Adult"
"ad","female",6,-111.95538,40.0189171,1980,"Sturnella neglecta","Sturnella_neglecta",88,NA,10.5,327,8.75935430718428,63.7725695309746,"Summer",143351,10.2,267,9.48708413371484,62.3976606103104,10.28,256.8,9.43464923860541,64.1563636332586,"F","Adult"
"ad","female",10,-98.3798218,26.5234216,1994,"Sturnella neglecta","Sturnella_neglecta",88,NA,23.7,431,5.3666196120655,63.5310576505325,"Fall",143364,23.3,505.5,5.43322371653095,86.3585567159197,23.36,524.2,5.53801399648809,74.6971547341584,"F","Adult"
"ad","male",7,-103.6419296,30.5208642,1988,"Sturnella neglecta","Sturnella_neglecta",96,NA,16.4,348,6.6127058597732,118.062323588881,"Summer",143182,16.1,401.5,6.81131424035478,98.7671325063918,16.44,466.4,6.90541900889159,96.9071909681789,"M","Adult"
"ad","male",10,-98.3798218,26.5234216,1994,"Sturnella neglecta","Sturnella_neglecta",103,NA,23.7,431,5.3666196120655,63.5310576505325,"Fall",143368,23.3,505.5,5.43322371653095,86.3585567159197,23.36,524.2,5.53801399648809,74.6971547341584,"M","Adult"
"ad","male",3,-98.2070045,38.0982826,1966,"Sturnella neglecta","Sturnella_neglecta",135.9,NA,12.8,445,10.6571785452555,106.744269805459,"Spring",143202,13.2,605.5,10.3192225445228,100.766216963311,13.52,610,10.5224302522983,88.3872470110707,"M","Adult"
"ad","male",10,-105.7952702,31.2482855,1994,"Sturnella neglecta","Sturnella_neglecta",126,NA,18.8,171,8.3703435721093,58.9657194372854,"Fall",143369,18.25,229,8.13816259854541,79.6797573852667,17.44,296.4,8.00280287593762,93.576282777479,"M","Adult"
"ad","female",10,-98.3798218,26.5234216,1994,"Sturnella neglecta","Sturnella_neglecta",90,NA,23.7,431,5.3666196120655,63.5310576505325,"Fall",143363,23.3,505.5,5.43322371653095,86.3585567159197,23.36,524.2,5.53801399648809,74.6971547341584,"F","Adult"
"ad","male",11,-103.6560058,30.4522252,1989,"Sturnella neglecta","Sturnella_neglecta",112,NA,17.2,432,7.12683256603117,131.288365641181,"Fall",143356,16.85,389.5,6.82492272060301,124.338586041074,16.7,448.6,6.93329234609664,101.434535004188,"M","Adult"
