"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",6,-95.315,50.9317,1996,"Synaptomys borealis","Synaptomys_borealis",19,115,-0.2,699,15.2275070086002,38.8059249918262,"Summer",143986,0.65,616.5,14.5657357265287,52.1558634676511,1.04,618.6,13.5301314000466,71.7389228112448,"M","Adult"
"adult","female",8,-143.1154333333,65.32885,2001,"Synaptomys borealis","Synaptomys_borealis",29,116,-3.1,202,14.5302896799003,69.7325238059617,"Summer",144332,-3,227,14.3521153856172,75.9731540223558,-3.16,198.8,15.3135883882877,67.9459379329429,"F","Adult"
"adult","male",7,-132.0705555556,56.2697222222,1998,"Synaptomys borealis truei","Synaptomys_borealis",27.5,120,6.8,2145,5.70668799557045,50.3473098284151,"Summer",144511,7,2430.5,5.72634725696763,45.7804214302137,6.58,2373,6.13445215051727,54.1941988125883,"M","Adult"
"adult","female",6,-148.3166666667,64.7,1983,"Synaptomys borealis","Synaptomys_borealis",19.6,114,-1.9,257,13.7732613157787,127.258608675088,"Summer",144278,-2.45,290,14.158551541214,110.465436563957,-1.82,289.8,13.8957494028882,92.6001736007286,"F","Adult"
"adult","male",9,-150.44716,66.36026,2013,"Synaptomys borealis","Synaptomys_borealis",19,110,-6.6,607,14.8101214366965,79.7876928195043,"Fall",143998,-7.25,560.5,15.9933940663832,77.3211623298293,-6.52,549.6,15.7562376905349,78.5983622871215,"M","Adult"
"adult","female",7,-142.0150166667,65.3745833333,2001,"Synaptomys borealis","Synaptomys_borealis",23,115,-2.6,350,12.4472219122716,83.6233371098728,"Summer",144335,-2.45,410.5,12.3054891548704,90.3687930749041,-2.58,346,13.2687192025547,80.2828598998714,"F","Adult"
"adult","male",8,-142.9341666667,65.3465,2001,"Synaptomys borealis","Synaptomys_borealis",31.3,130,-3.4,192,14.7519772686014,72.9842760151428,"Summer",144360,-3.25,215.5,14.5714878062368,78.2163407070729,-3.4,187,15.519934534022,70.1378158249872,"M","Adult"
"adult","male",7,-138.582584,63.940204,2005,"Synaptomys borealis","Synaptomys_borealis",19,11,-2.2,350,14.7033365621755,50.924953148897,"Summer",143989,-2.9,295,15.1365348648689,42.0054801019972,-2.8,287.6,14.1551999064799,51.934862636991,"M","Adult"
"adult","female",8,-142.9341666667,65.3465,2001,"Synaptomys borealis","Synaptomys_borealis",28.8,121,-3.4,192,14.7519772686014,72.9842760151428,"Summer",144361,-3.25,215.5,14.5714878062368,78.2163407070729,-3.4,187,15.519934534022,70.1378158249872,"F","Adult"
"adult","female",8,-143.1503166667,65.3022333333,2001,"Synaptomys borealis","Synaptomys_borealis",23,123,-2.6,238,14.1803641445743,74.1006686265994,"Summer",144333,-2.5,269.5,13.9883153287734,79.7054176779795,-2.66,235.2,14.962344523368,71.8142212173894,"F","Adult"
