"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",9,-116.124764,37.259118,2009,"Tamias dorsalis","Tamias_dorsalis",42,202,10.2,184,8.22182516786322,115.187599331481,"Fall",150450,10.35,185.5,8.30516369995249,114.997609062188,10.58,272.8,8.14680135397154,108.086072854249,"M","Adult"
"adult","male",10,-107.4664649,33.0073,2012,"Tamias dorsalis","Tamias_dorsalis",52.5,216,16.8,176,7.80739257293232,117.483066320152,"Fall",150443,16.5,191.5,8.35861355604456,114.812162956504,16.22,225.2,8.00290393644938,117.627831158105,"M","Adult"
"adult","male",10,-108.76806,31.58858,2007,"Tamias dorsalis","Tamias_dorsalis",70,234,13.6,512,7.29219175598534,89.6177369632211,"Fall",150481,13.7,488.5,7.02545333440089,110.199243877667,13.6,513.6,7.05499307563915,92.7479491754721,"M","Adult"
"adult","female",9,-112.8452778,35.0016667,2001,"Tamias dorsalis","Tamias_dorsalis",64,229,12.9,372,8.18314509442205,67.5251383553152,"Fall",150522,12.75,386,7.89697142328967,94.9363030003776,12.14,412,7.49458696795628,94.4716065512049,"F","Adult"
"adult","male",5,-112.8330556,35.0522222,2001,"Tamias dorsalis","Tamias_dorsalis",51.8,218,13.2,315,8.31659075692569,72.7636840463063,"Spring",150525,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"adult","male",9,-108.2181,32.9773,2008,"Tamias dorsalis dorsalis","Tamias_dorsalis",61.6,231,11.3,655,6.74448708654751,87.0791110180936,"Fall",150508,11.45,660,7.06839992114753,74.280010330421,11.48,643,6.98655999215861,81.9206233717033,"M","Adult"
"adult","male",7,-113.6765,41.9529,2007,"Tamias dorsalis","Tamias_dorsalis",49,222,8.2,229,9.78612189880046,56.6680987388501,"Summer",150479,8,266.5,9.51041129807686,50.1232716826551,7.94,305.4,9.22189418879279,64.8076037304502,"M","Adult"
"adult","male",5,-112.8330556,35.0522222,2001,"Tamias dorsalis","Tamias_dorsalis",42.5,218,13.2,315,8.31659075692569,72.7636840463063,"Spring",150524,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"M","Adult"
"juvenile","female",9,-108.2181,32.9773,2008,"Tamias dorsalis dorsalis","Tamias_dorsalis",24.6,177,11.3,655,6.74448708654751,87.0791110180936,"Fall",150506,11.45,660,7.06839992114753,74.280010330421,11.48,643,6.98655999215861,81.9206233717033,"F","Juvenile"
"juvenile","female",9,-108.72627,40.87071,2013,"Tamias dorsalis","Tamias_dorsalis",49.5,215,5.8,383,10.9483463536183,86.9408090710575,"Fall",150423,7.1,267.5,10.2071730583629,64.2445797557774,6.62,294.2,9.99931674443938,59.4612155605335,"F","Juvenile"
"juvenile","female",9,-108.2181,32.9773,2008,"Tamias dorsalis dorsalis","Tamias_dorsalis",25.3,176,11.3,655,6.74448708654751,87.0791110180936,"Fall",150589,11.45,660,7.06839992114753,74.280010330421,11.48,643,6.98655999215861,81.9206233717033,"F","Juvenile"
