"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","female",9,-106.84685,36.0202,2012,"Tamias minimus","Tamias_minimus",46.5,208,7.6,455,7.61889099541396,60.3022689155527,"Fall",151410,7.1,487.5,7.93373377423165,73.1143946926749,6.72,614.4,7.71499700235148,64.9588300359845,"F","Adult"
"adult","male",12,-106.7418833333,36.0972333333,2007,"Tamias minimus","Tamias_minimus",55,225,7,807,8.01034842052341,79.184361079407,"Winter",150915,7,738.5,7.61919100937076,94.8431915144775,7.1,659.4,7.48593898591083,82.4531354128534,"M","Adult"
"adult","female",7,-110.9255,43.121,2007,"Tamias minimus","Tamias_minimus",45,185,4.4,518,9.3063476219517,32.7688740295942,"Summer",151368,4.4,564.5,8.97008032121924,40.5766756212969,4.18,619.6,8.69741109340243,42.668828696394,"F","Adult"
"adult","female",7,-106.3211111111,35.7788888889,1977,"Tamias minimus","Tamias_minimus",52,225,10.3,430,8.68960978305805,87.8300949080782,"Summer",150831,9.8,360,8.50060359680673,89.4137612666192,9.5,364.2,8.6503868098433,86.8038931752599,"F","Adult"
"adult","female",7,-78.9362,48.5348,1993,"Tamias minimus","Tamias_minimus",43,220,0.7,871,13.3539461878457,52.6705833977314,"Summer",151393,0.45,887.5,12.7148020736041,51.7205741223302,0.94,920.8,12.8079024829447,50.7516391691315,"F","Adult"
"adult","female",6,-107.2892,44.0511,2010,"Tamias minimus","Tamias_minimus",46,210,5.6,467,8.85808567457901,94.2121630792873,"Summer",150938,5.3,474.5,8.83139026551321,85.643451807558,5.86,478,9.01957181616429,81.4555633664498,"F","Adult"
"adult","male",6,-107.2347,44.2263,2010,"Tamias minimus","Tamias_minimus",45,195,0.8,584,8.10190306862118,81.5886965176174,"Summer",151390,0.5,578,8.0907792946654,73.8944258412841,1.1,577.4,8.26000137804548,69.1519554076971,"M","Adult"
"adult","female",7,-110.4044,41.0365,2007,"Tamias minimus","Tamias_minimus",52,226,2.7,488,9.44442676766023,59.956289957976,"Summer",151367,2.7,610,8.93050246250532,44.5111800374692,2.54,648.8,8.55517719605264,52.6279518686305,"F","Adult"
"adult","male",6,-107.2347,44.2263,2010,"Tamias minimus","Tamias_minimus",47,196,0.8,584,8.10190306862118,81.5886965176174,"Summer",150943,0.5,578,8.0907792946654,73.8944258412841,1.1,577.4,8.26000137804548,69.1519554076971,"M","Adult"
"adult","male",7,-78.9362,48.5348,1993,"Tamias minimus","Tamias_minimus",45,210,0.7,871,13.3539461878457,52.6705833977314,"Summer",150948,0.45,887.5,12.7148020736041,51.7205741223302,0.94,920.8,12.8079024829447,50.7516391691315,"M","Adult"
"adult","female",7,-108.3586076,38.3284694,1982,"Tamias minimus","Tamias_minimus",50,202,6.9,529,8.4308236773632,62.5846194532723,"Summer",150890,7.55,538.5,8.20749681075351,61.3990729655735,7.24,620.8,8.54915594855634,65.7073883302339,"F","Adult"
"adult","male",7,-110.4044,41.0365,2007,"Tamias minimus","Tamias_minimus",51,225,2.7,488,9.44442676766023,59.956289957976,"Summer",150903,2.7,610,8.93050246250532,44.5111800374692,2.54,648.8,8.55517719605264,52.6279518686305,"M","Adult"
"adult","male",5,-105.10585,38.0624166667,2012,"Tamias minimus","Tamias_minimus",41.2,208,6.6,307,7.53265114905326,72.1445994455732,"Spring",150976,6,400.5,7.94163857313687,60.0573002285772,5.7,473.8,7.79059857073101,62.7980934159766,"M","Adult"
"adult","female",7,-107.0139007568,41.1777992249,2004,"Tamias minimus","Tamias_minimus",52,196,-0.3,1302,8.1386982430183,62.8452762604687,"Summer",151587,0.05,1391.5,8.51786564305026,65.0681043661719,1.66641873911022e-17,1152.6,8.90679404058039,72.2400278402151,"F","Adult"
"adult","female",6,-107.2892,44.0511,2010,"Tamias minimus","Tamias_minimus",46,203,5.6,467,8.85808567457901,94.2121630792873,"Summer",151391,5.3,474.5,8.83139026551321,85.643451807558,5.86,478,9.01957181616429,81.4555633664498,"F","Adult"
"adult","male",7,-107.6801,37.454,2007,"Tamias minimus","Tamias_minimus",44.5,207,5.5,723,8.05089868877815,54.0010701887576,"Summer",150898,5.45,715.5,7.63669807914031,60.6938327475425,5.46,700.2,7.49556761044209,64.5407443824219,"M","Adult"
"adult","male",5,-105.1068166667,38.0624666667,2012,"Tamias minimus","Tamias_minimus",45.2,203,6.6,307,7.53265114905326,72.1445994455732,"Spring",151416,6,400.5,7.94249352946795,60.0573002285772,5.7,473.8,7.78722071718017,62.7980934159766,"M","Adult"
"adult","female",6,-107.2892,44.0511,2010,"Tamias minimus","Tamias_minimus",49,213,5.6,467,8.85808567457901,94.2121630792873,"Summer",150940,5.3,474.5,8.83139026551321,85.643451807558,5.86,478,9.01957181616429,81.4555633664498,"F","Adult"
"adult","male",7,-106.8697166667,38.8234333333,2010,"Tamias minimus","Tamias_minimus",44,203,2.8,609,9.30224801764703,68.5735791816121,"Summer",151653,2.6,578.5,9.15797905688557,58.9702559586432,2.68,666.2,9.08640429371529,68.9180396407932,"M","Adult"
"adult","male",9,-106.8428666667,36.0198,2012,"Tamias minimus","Tamias_minimus",41.8,195,7.5,458,7.61264896356217,60.4825348613309,"Fall",151909,7,490.5,7.91661275597423,73.301865388272,6.62,618,7.70918334705892,65.1308410664441,"M","Adult"
