"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",6,-120.4884833333,39.6221,2012,"Tamias speciosus","Tamias_speciosus",56.7,204,8.5,1310,6.87804478031366,129.109357449129,"Summer",190600,7.95,1108,7.18058613308895,132.673598509139,7.94,1237.6,7.33306971965725,115.26861835007,"M","Adult"
"adult","female",6,-120.494,39.6148166667,2012,"Tamias speciosus","Tamias_speciosus",68.8,218,8.3,1413,6.89221673448764,128.405763281102,"Summer",190602,7.75,1197.5,7.18220126645218,132.306463562051,7.74,1334.8,7.32652687402349,114.955834956393,"F","Adult"
"adult","male",6,-120.4939833333,39.6146166667,2012,"Tamias speciosus","Tamias_speciosus",50.5,200,8.3,1414,6.86759518582478,128.284119449821,"Summer",190430,7.75,1198,7.16989049212076,132.24564164641,7.74,1335.4,7.32257527496774,114.935421393128,"M","Adult"
"adult","male",6,-120.4872333333,39.6216666667,2012,"Tamias speciosus","Tamias_speciosus",58.5,209,8.5,1298,6.87804478031366,129.249087779844,"Summer",190601,7.95,1098,7.17702339539365,132.728831452655,7.94,1226,7.32912860384247,115.26261208326,"M","Adult"
"adult","male",6,-120.4939,39.6159166667,2012,"Tamias speciosus","Tamias_speciosus",58.7,207,8.4,1407,6.88826406420237,128.333864449427,"Summer",190428,7.8,1192,7.18421741031966,132.269354716506,7.76,1329.2,7.33122348742156,114.923550666545,"M","Adult"
"adult","female",6,-120.4871,39.6217833333,2012,"Tamias speciosus","Tamias_speciosus",71.6,215,8.5,1296,6.87804478031366,129.298274906733,"Summer",190429,7.95,1096,7.17702339539365,132.74369845908,7.94,1223.8,7.32927891600385,115.292610865133,"F","Adult"
"adult","male",6,-120.4929,39.6155666667,2012,"Tamias speciosus","Tamias_speciosus",60.1,209,8.4,1397,6.89010599381901,128.408679771612,"Summer",190599,7.8,1183.5,7.18513837512798,132.466142069244,7.76,1319.6,7.33036412236211,115.110333194172,"M","Adult"
"adult","female",9,-121.148229,40.7308689,2004,"Tamias speciosus frater","Tamias_speciosus",47.5,195,9,600,7.32596048103571,96.199939961984,"Fall",190723,9.1,608.5,7.47793039706901,96.0361079055766,8.56,563.4,7.28013389986084,100.733917352861,"F","Adult"
"embryo","female",6,-119.80131,37.75731,2003,"Tamias speciosus frater","Tamias_speciosus",74,220,11.3,889,6.83167755253555,137.069274114511,"Summer",190613,11.05,926.5,6.61408640251373,141.307297084863,10.8,969,6.44220077978541,135.637029285075,"F","Juvenile"
"embryo","female",6,-119.79336,37.74995,2003,"Tamias speciosus frater","Tamias_speciosus",60.3,230,11.3,887,6.81141532927473,139.77050136521,"Summer",190434,11,926.5,6.58629508894068,144.209774157805,10.72,964.8,6.42158297724473,137.661467552138,"F","Juvenile"
"embryo","female",6,-119.79149,37.75139,2003,"Tamias speciosus frater","Tamias_speciosus",51,204,11.2,886,6.79946521961303,139.977484444154,"Summer",190605,10.95,926.5,6.58464020087354,144.478894860988,10.68,963.8,6.421702512004,137.85948614724,"F","Juvenile"
"embryo","female",6,-119.7993,37.74597,2003,"Tamias speciosus frater","Tamias_speciosus",64,203,11.4,888,6.81560153195771,137.581043513513,"Summer",190435,11.15,926,6.59640500132964,142.183819229499,10.9,968.4,6.42076708006387,136.322741397233,"F","Juvenile"
"embryo","female",6,-119.79149,37.75139,2003,"Tamias speciosus frater","Tamias_speciosus",77,215,11.2,886,6.79946521961303,139.977484444154,"Summer",190432,10.95,926.5,6.58464020087354,144.478894860988,10.68,963.8,6.421702512004,137.85948614724,"F","Juvenile"
"embryo","female",6,-119.80131,37.75731,2003,"Tamias speciosus frater","Tamias_speciosus",62.8,224,11.3,889,6.83167755253555,137.069274114511,"Summer",190615,11.05,926.5,6.61408640251373,141.307297084863,10.8,969,6.44220077978541,135.637029285075,"F","Juvenile"
"embryo","female",6,-119.79423,37.75048,2003,"Tamias speciosus frater","Tamias_speciosus",67.5,213,11.3,887,6.8054568123119,139.423653336621,"Summer",190433,11.05,926.5,6.58738325639507,143.802547961743,10.74,965.4,6.41968127496378,137.400926541902,"F","Juvenile"
"embryo","female",6,-119.80015,37.75515,2003,"Tamias speciosus frater","Tamias_speciosus",59,203,11.3,889,6.8244380388025,137.400332651051,"Summer",190604,11.05,927,6.6104666456472,141.556060004136,10.8,968.6,6.44459656553444,135.985210831896,"F","Juvenile"
"unknown","male",10,-117.04618,34.26628,1964,"Tamias speciosus","Tamias_speciosus",43,196,8.6,360,6.94805401140885,101.563534377017,"Fall",190767,8.9,455,6.65506695382126,98.7024379235522,9.3,366.4,6.74591977989152,118.3695847915,"M","NS"
"unknown","female",7,-119.273385,37.972866,1973,"Tamias speciosus","Tamias_speciosus",61.7,214,1.4,1154,6.86825702383469,95.2564827872344,"Summer",190572,1.45,891,6.81220791515011,87.5601384394724,1.48,1062,6.72342314546883,111.440380889899,"F","NS"
"unknown","male",11,-117.07706,34.25514,1964,"Tamias speciosus","Tamias_speciosus",57,209,8.8,403,6.8376132199368,102.765581288404,"Fall",190563,9.1,517,6.55172989874094,99.3265752221204,9.52,419.4,6.63350153076306,119.369908257587,"M","NS"
"unknown","male",6,-119.14582,34.8214123,1966,"Tamias speciosus","Tamias_speciosus",61.3,230,8.9,417,6.6256846415821,150.029754633428,"Summer",190765,8.5,545.5,6.37769685785041,137.804885793267,8.42,520.2,6.4507849310629,144.567208439168,"M","NS"
"unknown","male",7,-119.3203743,37.4652691,1965,"Tamias speciosus","Tamias_speciosus",32,196,8,1183,5.51732120991096,121.9278495316,"Summer",190757,8.1,1134,5.96302257047383,134.73044927412,8.28,1058,6.23213665005429,126.118860387519,"M","NS"
"unknown","male",10,-117.04618,34.26628,1964,"Tamias speciosus","Tamias_speciosus",44,204,8.6,360,6.94805401140885,101.563534377017,"Fall",190577,8.9,455,6.65506695382126,98.7024379235522,9.3,366.4,6.74591977989152,118.3695847915,"M","NS"
"unknown","female",6,-119.14582,34.8214123,1966,"Tamias speciosus","Tamias_speciosus",60.7,222,8.9,417,6.6256846415821,150.029754633428,"Summer",190763,8.5,545.5,6.37769685785041,137.804885793267,8.42,520.2,6.4507849310629,144.567208439168,"F","NS"
"unknown","female",8,-119.5622882,38.3218564,1965,"Tamias speciosus","Tamias_speciosus",68,210,3,1100,5.66463644558113,107.797010208889,"Summer",190761,3.1,964.5,6.16451878789174,124.865255208987,3.3,877,6.4302040989656,109.590582273704,"F","NS"
"unknown","female",1,-117.57139,34.42611,1967,"Tamias speciosus","Tamias_speciosus",86,201,13.8,300,7.54616097459797,99.8950549120917,"Winter",190569,13.9,259,7.33573399276369,136.564863164389,13.64,273.4,6.9849173676048,120.67149097652,"F","NS"
