"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"4 days old","undetermined",6,-122.2574231,37.871928,1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",11.1,NA,13.9,545,3.73054549589865,79.8613086459901,"Summer",162763,13.65,481,3.51939409302725,121.628176060149,13.52,486,3.28137808816171,129.345961825823,"NS","Juvenile"
"4 days old","undetermined",6,-122.2574231,37.871928,1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",10.7,NA,13.9,545,3.73054549589865,79.8613086459901,"Summer",162762,13.65,481,3.51939409302725,121.628176060149,13.52,486,3.28137808816171,129.345961825823,"NS","Juvenile"
"aad.","male",10,-121.17385,35.970848,1918,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",27,NA,14.1,479,5.62835758378136,134.003052882456,"Fall",161802,14,351.5,5.75151357125455,158.556554158413,13.84,495.6,5.25392299882827,159.123006409248,"M","Adult"
"ad","female",7,-85.10667,55.22391,1976,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",22.8,NA,-4.7,476,15.1269852190773,58.5571316770652,"Summer",162204,-3.95,521.5,14.7292928566721,70.0396610233951,-4.44,521.8,14.726239315799,68.6470516775166,"F","Adult"
"ad","female",6,-115.1408386,67.8194862,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",28.5,NA,-9.9,248,16.1101017621826,88.9928407438442,"Summer",162125,-11.2,231,15.6477345105447,73.3585467005624,-10.66,231.8,15.4124440014057,73.9535113749569,"F","Adult"
"ad","male",6,-84.89674,54.53435,1981,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",28.4,NA,-2.2,447,12.2035358760807,43.3614805592409,"Summer",163227,-3,496,13.1481120900877,50.360194842107,-3.62,563.4,13.3816700015512,55.2650752659751,"M","Adult"
"ad","female",6,-133.6999969,68.3600006,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",24,NA,-10.2,191,16.8873877090675,51.5388203202208,"Summer",162180,-10.85,228,16.6649753663767,62.0274366766846,-9.98,249.2,16.6033448542727,67.6133107259536,"F","Adult"
"ad","male",7,-68.4070587,58.1011962,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",32.5,NA,-5.4,508,13.6190708533692,59.1941861134364,"Summer",163154,-5.75,484,13.8573375771082,61.0767514003861,-6.04,502.6,13.4991496388687,60.3718775632884,"M","Adult"
"ad","female",6,-146.08983,61.85423,1993,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",22.6,NA,-1.4,443,11.845367333803,68.1131098884574,"Summer",163241,-2.45,464,11.69272614088,58.3604737069237,-2.86,465.4,12.5985615306115,62.5060217692751,"F","Adult"
"ad","male",7,-133.6999969,68.3600006,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",25.5,NA,-10.2,191,16.8873877090675,51.5388203202208,"Summer",163180,-10.85,228,16.6649753663767,62.0274366766846,-9.98,249.2,16.6033448542727,67.6133107259536,"M","Adult"
"ad","male",6,-133.6999969,68.3600006,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",24.9,NA,-10.2,191,16.8873877090675,51.5388203202208,"Summer",163192,-10.85,228,16.6649753663767,62.0274366766846,-9.98,249.2,16.6033448542727,67.6133107259536,"M","Adult"
"ad","male",7,-68.4070587,58.1011962,1975,"Zonotrichia leucophrys leucophrys","Zonotrichia_leucophrys",30.5,NA,-5.4,508,13.6190708533692,59.1941861134364,"Summer",162165,-5.75,484,13.8573375771082,61.0767514003861,-6.04,502.6,13.4991496388687,60.3718775632884,"M","Adult"
