sp,include_bio1,include_bio12,include_bio4,include_bio15,mass_mean,bio1_mean,bio1_breadth,bio12_mean,bio12_breadth,bio4_mean,bio4_breadth,bio15_mean,bio15_breadth,n_row,partial_r2_bio1_2yr,partial_r2_bio4_2yr,partial_r2_bio12_2yr,partial_r2_bio15_2yr,partial_r2_bio1_bio4,partial_r2_bio12_bio15,r.squared,adj.r.squared,r.squared.bio1,adj.r.squared.bio1,p.value,df,df.residual,AIC,(Intercept)_estimate,(Intercept)_p.value,seasonFall_estimate,seasonFall_p.value,seasonSummer_estimate,seasonSummer_p.value,seasonWinter_estimate,seasonWinter_p.value,sexF_estimate,sexF_p.value,bio1_2yr_estimate,bio1_2yr_p.value,bio12_2yr_estimate,bio12_2yr_p.value,bio15_2yr_estimate,bio15_2yr_p.value,bio4_2yr_estimate,bio4_2yr_p.value,habitat_axis1,habitat_axis2,trophic_axis1,trophic_axis2,taxa,p.value.adj
Accipiter_cooperii,Y,Y,N,Y,371.838079521453,114.042760600744,208,758.220047179711,1429,8013.08837381106,9997,43.0311251773436,91,578,0.1291057005994345,NA,0.12536383011980834,0.1463913186016409,NA,0.2687399731086637,0.4768366613505999,0.47041184841981776,0.46342957421716713,0.458739273292492,4.304312322686404e-76,8,570,-150.95229880892418,0.7808356938957064,2.6756273699219088e-132,-0.039698063171646696,0.15812792604502934,-0.09280268113929763,0.0012260447359980016,-0.01180776250834146,0.6629923653389607,0.3547413171648687,3.8003895422755956e-66,-0.024687571975720503,0.10171049974932181,-0.0052581887881031665,0.6264899602978173,-0.059783593323478434,1.7373731256227815e-4,NA,NA,-0.026333936614430453,-0.03888796189715203,-0.2788581524854535,0.774905912933079,birds,6.169514329183846e-75
Accipiter_gentilis,Y,Y,Y,Y,897.085048076923,51.2234751774099,173,724.913991129868,1588,9523.9143497286,8724,39.1944123796583,65,208,0.11879602842514525,0.15261986933678107,0.11160754901278258,0.17221586610092654,0.30869620333838643,0.27669586038447713,0.3710987382043116,0.3458162754185553,0.2990228632346527,0.2816719440077877,8.526489963274316e-17,9,199,-72.61680310473125,0.8856563434453711,1.2659405796621377e-47,-0.0013392386331174163,0.978136759066726,-0.1355503401153045,0.017736645721580395,-0.01572050539130678,0.7551771646050123,0.20142187534977468,1.0507258906293333e-11,-0.024437561597603345,0.1892292512466453,0.005468105734215543,0.739130743878035,0.05604264309514253,1.699320914684635e-4,0.06553234123540905,0.002062615989937369,-0.5348129993609533,-0.1730452321792416,-0.2788581524854534,0.7749059129330791,birds,2.0368837134488644e-16
Aegolius_acadicus,Y,Y,Y,Y,79.0547636363636,64.9984058386943,139,789.9571776013,1825,9055.48375568483,9019,37.4609996082678,74,275,0.1258754220863353,0.111245859630833,0.11364118658435984,0.1116188609782387,0.23591601422198638,0.22677663023948136,0.12233694020467015,0.09594105870706626,0.11707279393950411,0.10066150758150239,2.5672048695354926e-5,9,266,-172.05600050028232,0.9091607551695559,2.844636687048422e-99,0.026084058592329578,0.3869820225323096,-0.0264218501417934,0.47233162453793354,0.004657883064037915,0.8756715730180522,0.11769888398399367,8.872501056118465e-8,-0.0265631871535156,0.034963241944667316,-0.01301212063331362,0.38433773951863004,0.005845239135739732,0.6969139985730315,-0.0034201543432680263,0.8409909681417062,-0.4678454585031555,-0.059357302391537727,-0.18304372235145472,0.570525743953399,birds,3.3966095196931135e-5
Aimophila_ruficeps,N,Y,Y,N,18.8414141414141,158.819756538629,140,572.935383945615,1062,5925.8248719065,7287,70.3941344898028,80,297,NA,0.12870367755934797,0.1271022577844636,NA,NA,NA,0.16416391991333762,0.1409462510220415,0.10294855914856217,0.08753530415111488,1.5582359282416857e-8,9,288,-522.7768160185003,1.0122530637298304,2.81303351540413e-194,0.009236494259526565,0.6313227639889738,0.008414442666666747,0.6000785291599993,-0.02190755505690865,0.2224231117822279,-0.04421047444556214,2.4508937335676845e-4,0.008091582910767437,NA,0.014769927020325608,0.02233821909399959,-0.014014775109579027,NA,0.016797729106581213,0.01651511545239031,-0.17370883143650032,0.010197338569604579,-0.07157046243729488,-0.17576471900642598,birds,2.5048278472670086e-8
Ammospermophilus_leucurus,Y,Y,N,Y,87.8245751633987,140.637464788732,148,220.763541247485,335,7423.34645875251,5896,47.711106639839,81,306,0.1505457150106957,NA,0.1352198936917569,0.1424958879021554,NA,0.27253076181117253,0.07065931878081119,0.048829168550830304,0.04187630991831536,0.0259075817502874,0.0025212935580010308,8,298,-156.6001253073613,0.998691679907836,4.404543024517186e-122,0.009622020157985696,0.7683873031594259,-0.032859583799769464,0.28638015332127714,0.044897696996669886,0.18158593392874817,-0.04159958723505771,0.05047853020448504,0.04512867303627904,0.0029878011951680805,0.0233156729010281,0.06154599381091718,-0.031972753171293375,0.014233863609058242,NA,NA,0.13314926480293038,0.009886325281750801,-0.07049392537083923,-0.09496357024809224,mammals,0.002834395372393316
Antrozous_pallidus,Y,Y,Y,Y,16.7841891891892,156.667876270084,152,405.212742129236,991,6452.16558010912,6473,66.2308611542119,84,148,0.1849258612773349,0.215369660434383,0.12439252141461432,0.1158020994675889,0.3334378914259356,0.2405109409270797,0.2682766807492326,0.22616310841825316,0.11253154224998455,0.08128265289258962,4.940712733288416e-7,9,139,-42.88941068999833,0.9322661365048797,2.7514712887321156e-37,0.06823361743065691,0.24970519852701367,-0.03804160745498276,0.4920699959339202,-0.06743811112111714,0.7493066257601134,0.08343733455578364,0.01580532968364247,-0.07348077127217963,5.298987402392399e-4,-0.026926450930144463,0.1487474834983957,0.018815250303966413,0.39195900217573587,-0.09753098982640468,3.2257136133844994e-5,0.1331492648029301,0.009886325281750657,0.5558151607934405,0.17790139258538404,mammals,7.389587740222675e-7
Aphelocoma_californica,Y,Y,Y,Y,85.1860298742138,121.716997660047,188,455.460298794024,1393,7006.57610847783,7547,52.9727245455091,82,1272,0.11111125018572332,0.1140608316715428,0.2428575515387249,0.11270956201219784,0.2250119647333536,0.3409594200201208,0.30113701103712986,0.29671032543799836,0.15745926544013175,0.1541316953984262,6.334949622511656e-93,9,1263,-2074.488509262881,1.0263386834236676,0,0.012020989937583045,0.14113595814978597,-0.016180888562879733,0.059196484292513514,0.028496131507189486,0.012482698287374654,-0.08803675045115945,1.2253332206860858e-43,-4.9954554363142735e-5,0.9887864872599714,0.04817604051554455,5.850929257281001e-46,-0.004947166866133447,0.13170058896514691,-0.0070967084942334035,0.04050768084719732,-0.3585242912958237,-0.07489634236464913,-0.26649891585988034,0.19066265285115572,birds,1.362014168840006e-91
Aplodontia_rufa,Y,Y,N,Y,907.4166,79.7776725944959,101,1563.77273649334,2160,5095.53336939617,4046,63.1339509094597,41,150,0.21873641409964195,NA,0.13492952788790746,0.13264656192335011,NA,0.2746691997685078,0.14188190297795622,0.09958030664588369,0.11269647923247025,0.08188732920581987,0.002438011365687006,8,142,65.35431705130256,0.9383794106386392,2.761059150435763e-16,0.009640821884816419,0.9312470004383342,0.04030708010242061,0.6950116933589039,0.14467280544439864,0.23106181829676775,-0.07349687215413976,0.13293481096792167,-0.11592498864414193,6.220911584245508e-5,0.03441150337487947,0.2037984184315538,-0.03390757864068124,0.26508517456087743,NA,NA,0.13314926480293005,0.009886325281750983,-0.40868239361943315,0.43171202744319076,mammals,0.002758802334856349
Archilochus_colubris,Y,Y,Y,Y,2.84611538479878,120.790049797504,249,1059.85526438135,1606,8186.05463777999,11905,35.4842368170923,87,260,0.11674785047568548,0.11122041951619532,0.12803986555672275,0.12942212901728478,0.233000561759107,0.24670864726965125,0.18732454696265957,0.16142254049134996,0.15924153531214386,0.14269117183403657,1.2476971156326143e-8,9,251,-126.39239195257599,0.9415249112859524,1.3095163650318433e-113,0.058706980836574975,0.06864063869957766,-0.06323355550746912,0.02423631990056591,0.10503018191119089,0.3585502261989202,0.12893793341450144,1.9347228096853144e-7,0.028326020259818514,0.20681732232313424,-0.028548617318266786,0.028184051339684785,-0.037540781380978674,0.022403227875158565,-0.004057195564971088,0.8606729354890894,0.38333547357704856,0.16799119312722482,0.11655764064399048,0.04704205859449451,birds,2.0438467037029492e-8
Auriparus_flaviceps,Y,Y,Y,Y,6.82650655021834,186.635483808528,116,388.664189071482,712,6131.22591603275,5810,68.623841046784,80,229,0.11245028234576471,0.11783879863858926,0.21442167366178155,0.12910305662316846,0.2292596619113565,0.3598982324125959,0.23592343160590176,0.20813882911884363,0.06623155060239175,0.045295038284059674,4.691964786628149e-10,9,220,-365.5553986122663,0.9808324029433145,1.7164167527391611e-161,0.003729219704804975,0.8486053620415851,0.03227753728756569,0.15730284572350534,0.025959593906985688,0.27792067672862414,0.003435195474779333,0.816173285571467,-0.004167164274171975,0.5651049858625065,0.04362614315171561,1.9117123110610467e-7,-0.01654621664023693,0.034123699854126326,-0.010887223928556004,0.19657440648356228,-0.3421954790075707,0.15879423378510435,0.1909501180237652,-0.08376472651949947,birds,8.070179433000416e-10
