"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-122.5535,47.5193,NA,1955,"Aplodontia rufa","Aplodontia_rufa",816.5,300,"male",9.3,1362,5.2159429258822,81.0342761076823,"Summer",5752
1,-124.13973,41.062449,NA,1986,"Aplodontia rufa humboldtiana","Aplodontia_rufa",844.5,310,"female",12.3,1372,2.08755330180544,91.1708172696403,"Winter",5753
7,-122.2667,49,NA,1945,"Aplodontia rufa rufa Rafinesque, 1817","Aplodontia_rufa",20,NA,"male",9.9,1395,5.40091883316388,64.657640301913,"Summer",5754
2,-123.7651,44.6709,NA,1985,"Aplodontia rufa pacifica Merriam, 1899","Aplodontia_rufa",915,307,"female",9.6,1366,5.31675453522906,72.2149279097912,"Winter",5755
4,-123.813864,47.161059,NA,2004,"Aplodontia rufa","Aplodontia_rufa",930,356,"female",10.8,2005,4.6120642193747,57.9071290221879,"Spring",5756
7,-119.66798,37.66596,NA,2003,"Aplodontia rufa californica","Aplodontia_rufa",1190,336,"female",9.1,959,6.8858825714558,140.10895336076,"Summer",5757
8,-121.363656,40.434312,NA,2001,"Aplodontia rufa californica","Aplodontia_rufa",560,260,"undetermined",8.3,1553,7.28449474132308,112.448259104851,"Summer",5758
8,-120.2418191,39.4319423,NA,1985,"Aplodontia rufa californica","Aplodontia_rufa",1233,327,"male",5.1,637,7.11891952135401,116.605686432348,"Summer",5759
9,-122.4443359,47.2529221,NA,1960,"Aplodontia rufa rufa","Aplodontia_rufa",1.5,312,"female",10.4,1081,5.13215502021472,68.9877173519167,"Fall",5760
4,-123.7258224,44.6707382,NA,1985,"Aplodontia rufa","Aplodontia_rufa",794,300,"female",9.5,1223,5.47956949204788,72.9384213276154,"Spring",5761
10,-123.7663193,44.6707382,NA,1984,"Aplodontia rufa","Aplodontia_rufa",1014,325,"male",10.4,2250,4.2284390701176,80.5691284560469,"Fall",5762
8,-123.756218,44.6056404,NA,1987,"Aplodontia rufa","Aplodontia_rufa",1025,315,"male",11.1,1635,4.39534878127901,105.670117807014,"Summer",5763
11,-122.5,47.75,NA,1997,"Aplodontia rufa","Aplodontia_rufa",740,260,"female",11.4,1138,5.07880324724658,62.0801263309482,"Fall",5764
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",1294.5,355,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5765
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",540.3,270,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5766
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",429.4,251,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5767
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",1131.9,341,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5768
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",581,260,"male",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5769
