"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
11,-110.959223,31.973369,NA,1953,"Auriparus flaviceps","Auriparus_flaviceps",7.3,NA,"male",19.5,168,7.63520553988978,190.789785143303,"Fall",6261
4,-97.3797226,28.0992408,NA,1967,"Auriparus flaviceps","Auriparus_flaviceps",7,NA,"female",21.9,1047,6.00264461918598,166.023235619324,"Spring",6262
1,-111.1996834,32.2786864,NA,1969,"Auriparus flaviceps","Auriparus_flaviceps",7.4,NA,"male",20.1,208,7.49997979795259,81.9507814011756,"Winter",6263
10,-110.8728561,32.5037648,NA,1970,"Auriparus flaviceps","Auriparus_flaviceps",6.3,NA,"male",18.1,327,7.62354307988806,106.713176905939,"Fall",6264
10,-115.831393,33.32555,NA,1993,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.8,NA,"male",22.7,111,7.74562926606178,191.633147628092,"Fall",6265
3,-114.837823,32.816697,NA,1994,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.8,NA,"male",22.8,90,8.54564836981993,131.803180807519,"Spring",6266
5,-115.4932594,33.1691688,"juvenile",1994,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.6,NA,"female",23.2,61,8.54219473607871,111.427183396501,"Spring",6267
9,-116.0735474,33.5724258,NA,1987,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6,NA,"undetermined",22.5,90,7.76113081420172,138.633821275728,"Fall",6268
2,-115.3313698,33.3375316,NA,1989,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6,NA,"undetermined",22.5,64,7.82541992289851,224.051029090169,"Winter",6269
9,-108.083333,30.6,"imm.sk.",1948,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.1,NA,"male",16.9,273,7.46488750448026,117.153040309365,"Fall",6270
9,-116.257,34.03749,"ad.",1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.6,NA,"male",15,75,6.33367024622207,105.057559980664,"Fall",6271
9,-116.257,34.03749,"imm.",1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.4,NA,"female",15,75,6.33367024622207,105.057559980664,"Fall",6272
9,-116.257,34.03749,"ad.",1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.2,NA,"female",15,75,6.33367024622207,105.057559980664,"Fall",6273
9,-115.8597138,33.9844415,"ad.",1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,"male",18,54,7.04084942361791,168.841035219409,"Fall",6274
9,-115.8090522,33.7365557,"ad.",1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.2,NA,"male",17,47,6.75875974815893,129.246065528299,"Fall",6275
4,-116.14889,34.10833,"u ad.",1951,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.8,NA,"male",16.5,221,7.73345251998019,112.82035402357,"Spring",6276
2,-98.672,29.03,"u ad.",1952,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.8,NA,"male",21.4,534,6.2614743156912,61.0813709830374,"Winter",6277
2,-97.56546,30.11,"u ad.",1952,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.5,NA,"male",19.8,914,6.74220088155735,70.7359995857113,"Winter",6278
2,-97.56546,30.11,"u ad.",1952,"Auriparus flaviceps ornatus","Auriparus_flaviceps",8.3,NA,"male",19.8,914,6.74220088155735,70.7359995857113,"Winter",6279
2,-97.56546,30.11,"u ad.",1952,"Auriparus flaviceps ornatus","Auriparus_flaviceps",8.2,NA,"male",19.8,914,6.74220088155735,70.7359995857113,"Winter",6280
6,-106.08889,28.7080373639,"u ad.",1957,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.5,NA,"male",19,240,5.85322366501804,147.45161899312,"Summer",6281
3,-114.64222,34.925,"u ad.",1958,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.7,NA,"male",22.9,115,8.85456567728386,93.0860311120625,"Spring",6282
7,-97.509,28.14492,"sk.ad.",1964,"Auriparus flaviceps ornatus","Auriparus_flaviceps",8.5,NA,"undetermined",21.9,600,6.76427222898952,76.7732012150335,"Summer",6283
3,-114.8667,31,"imm.",1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7,NA,"male",21.3,85,5.24377697558706,168.172831604019,"Spring",6284
4,-114.8667,31,"u ad.",1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.9,NA,"undetermined",21.3,85,5.24377697558706,168.172831604019,"Spring",6285
4,-114.8667,31,"ad.",1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,"male",21.3,85,5.24377697558706,168.172831604019,"Spring",6286
