"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-104.574654,37.136059,NA,1901,"Baeolophus ridgwayi","Baeolophus_ridgwayi",2.85,5.6,"male",10.4,439,8.00613401200491,80.3827483976278,"Spring",7361
10,-119.20396,38.51328,"AHY",2012,"Baeolophus ridgwayi zaleptus","Baeolophus_ridgwayi",13.2,NA,"undetermined",8.5,276,7.43946784509361,117.021487556613,"Fall",7362
10,-118.681281,38.412435,"HY",2012,"Baeolophus ridgwayi zaleptus","Baeolophus_ridgwayi",15,NA,"male",8.8,186,7.70778826901725,81.0534576697119,"Fall",7363
9,-108.9865833333,31.5163833333,NA,2009,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16,NA,"female",15.7,324,6.8874666583365,81.2827135029541,"Fall",7364
10,-107.5067666667,33.9443666667,NA,2010,"Baeolophus ridgwayi","Baeolophus_ridgwayi",14.6,NA,"undetermined",10.1,326,7.75055716472283,105.584487099592,"Fall",7365
10,-107.5067666667,33.9443666667,NA,2010,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.1,NA,"male",10.1,326,7.75055716472283,105.584487099592,"Fall",7366
4,-105.7680166667,34.1603333333,NA,2011,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17.1,NA,"male",10.6,237,8.51737528926499,126.726668390542,"Spring",7367
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.5,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7369
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.6,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7370
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",14.3,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7371
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.9,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7372
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.5,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7373
4,-109.9636,33.7209,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.5,NA,"male",11.1,513,8.45560151436295,90.2722595045756,"Spring",7374
6,-114.02278,38.94167,"unknown",1962,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.2,NA,"male",9.8,140,9.36729885712994,66.135032660162,"Summer",7375
6,-114.33583,39.14361,"juv.",1962,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.2,NA,"female",7.7,248,8.93923934124151,79.5461564826503,"Summer",7376
6,-114.33583,39.14361,"juv.",1962,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15,NA,"male",7.7,248,8.93923934124151,79.5461564826503,"Summer",7377
6,-115.28361,36.63,"juv.sk.",1963,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.2,NA,"male",10.9,263,7.94470950324234,127.021594027793,"Summer",7378
6,-115.64714,36.40167,"ad.sk.",1963,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.5,NA,"undetermined",9.9,443,7.75036656024615,157.805418806367,"Summer",7379
6,-108.985283,31.349445,"unknown",1964,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17,NA,"female",14.5,384,7.5718928020714,133.47733223377,"Summer",7380
5,-114.09734,36.5919,"ad.oss.",1970,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.9,NA,"female",11.5,339,8.23151740494295,107.917881141305,"Spring",7381
6,-119.61867,38.81817,"ad.sk.",1969,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.6,NA,"male",7.6,895,7.26875317556407,137.111200659695,"Summer",7382
4,-120.36391,40.90495,"ad.sk.",1988,"Baeolophus ridgwayi","Baeolophus_ridgwayi",18,NA,"male",7.6,246,8.26221776669209,95.0565469613779,"Spring",7383
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.8,NA,"female",7.1,269,8.24004909517589,70.4945212851083,"Summer",7384
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.1,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7385
6,-119.9754,42.0616,"adult? 2 assymetric skull windows",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.6,NA,"female",7.1,269,8.24004909517589,70.4945212851083,"Summer",7386
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7387
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7388
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.7,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7389
6,-119.9754,42.0616,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.5,NA,"female",7.1,269,8.24004909517589,70.4945212851083,"Summer",7390
6,-119.9754,42.0616,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.6,NA,"undetermined",7.1,269,8.24004909517589,70.4945212851083,"Summer",7391
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.7,NA,"female",7.1,269,8.24004909517589,70.4945212851083,"Summer",7392
6,-119.9754,42.0616,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.8,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7393
6,-119.9754,42.0616,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.3,NA,"male",7.1,269,8.24004909517589,70.4945212851083,"Summer",7394
6,-120.35436,40.91219,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.6,NA,"male",6.5,287,8.00140139240772,74.3677757135274,"Summer",7395
6,-120.35436,40.91219,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",14.7,NA,"female",6.5,287,8.00140139240772,74.3677757135274,"Summer",7396
6,-120.35436,40.91219,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16,NA,"male",6.5,287,8.00140139240772,74.3677757135274,"Summer",7397
6,-120.35436,40.91219,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.5,NA,"male",6.5,287,8.00140139240772,74.3677757135274,"Summer",7398
6,-120.35436,40.91219,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",14.7,NA,"female",6.5,287,8.00140139240772,74.3677757135274,"Summer",7399
6,-120.35436,40.91219,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.6,NA,"female",6.5,287,8.00140139240772,74.3677757135274,"Summer",7400
6,-120.35436,40.89046,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17.7,NA,"male",6.5,281,8.03652174875311,75.5094017908539,"Summer",7401
6,-120.35436,40.89046,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17.2,NA,"male",6.5,281,8.03652174875311,75.5094017908539,"Summer",7402
6,-120.35436,40.89046,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16,NA,"male",6.5,281,8.03652174875311,75.5094017908539,"Summer",7403
6,-120.35436,40.89046,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15,NA,"female",6.5,281,8.03652174875311,75.5094017908539,"Summer",7404
6,-119.99887,39.90694,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",17,NA,"male",9.5,360,8.00955395421334,69.0922381584022,"Summer",7405
6,-119.99442,39.91115,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15.7,NA,"female",9.2,365,7.9111495927449,68.9136928105683,"Summer",7406
6,-119.99442,39.91115,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15,NA,"male",9.2,365,7.9111495927449,68.9136928105683,"Summer",7407
6,-119.99442,39.91115,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.5,NA,"male",9.2,365,7.9111495927449,68.9136928105683,"Summer",7408
5,-114.44903,37.51717,"ad.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",16.2,NA,"male",11.4,209,8.78143271944052,81.363249159862,"Spring",7409
5,-114.44903,37.51717,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.7,NA,"male ?",11.4,209,8.78143271944052,81.363249159862,"Spring",7410
5,-114.44903,37.51717,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",15,NA,"undetermined",11.4,209,8.78143271944052,81.363249159862,"Spring",7411
