"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-76.655259,42.276659,NA,1937,"Bonasa umbellus umbellus","Bonasa_umbellus",646,NA,"male",7.6,1194,9.74481991375496,46.9260740090129,"Spring",10200
11,-76.39509,42.38263,"ad.",1926,"Bonasa umbellus umbellus","Bonasa_umbellus",598,410,"female",6.1,952,10.1580353325917,33.1215373262086,"Fall",10201
9,-76.4809,42.4466,NA,1938,"Bonasa umbellus","Bonasa_umbellus",482.399993896484,NA,"female",9.1,822,9.45038078437567,50.8603179611321,"Fall",10202
9,-76.5095,42.4381,NA,1938,"Bonasa umbellus","Bonasa_umbellus",587,NA,"male",9.9,785,9.4059781119469,50.7312382008264,"Fall",10203
10,-76.5095,42.4381,NA,1931,"Bonasa umbellus umbellus","Bonasa_umbellus",541.299987792969,410,"female",10.6,734,9.79039031010728,45.7361463765925,"Fall",10204
11,-76.5095,42.4381,"imm.",1929,"Bonasa umbellus umbellus","Bonasa_umbellus",547,420,"female",8.8,918,9.39623957665077,44.1432442829202,"Fall",10205
11,-76.5095,42.4381,NA,1926,"Bonasa umbellus umbellus","Bonasa_umbellus",442,465,"male",7.4,843,10.099246146484,35.1038756458292,"Fall",10206
10,-76.2954,42.3784,NA,1927,"Bonasa umbellus umbellus","Bonasa_umbellus",453,402,"female",7.2,1038,8.87410260080967,55.2337618745322,"Fall",10207
10,-76.655259,42.276659,NA,1953,"Bonasa umbellus","Bonasa_umbellus",625,NA,"male",9,867,8.52914788454062,36.6418370422818,"Fall",10208
10,-76.5095,42.4381,NA,1939,"Bonasa umbellus","Bonasa_umbellus",530.299987792969,NA,"male",9.5,688,10.2050306964336,30.703559881706,"Fall",10209
10,-76.5095,42.4381,NA,1994,"Bonasa umbellus","Bonasa_umbellus",514.700012207031,360,"female",8.8,988,10.7238441490602,52.6406379338935,"Fall",10210
1,-77.080954,42.124571,NA,2002,"Bonasa umbellus","Bonasa_umbellus",558.4,NA,"male",8.6,963,9.02672798869104,42.3780119483055,"Winter",10211
4,-76.4506,42.4801,"ad.",2006,"Bonasa umbellus","Bonasa_umbellus",643.1,350,"male",9.4,1142,8.56615521406863,50.8288018785992,"Spring",10212
11,-76.350161,42.383205,NA,2007,"Bonasa umbellus","Bonasa_umbellus",526,NA,"female",8.3,1023,10.3491765153298,30.8381367176074,"Fall",10213
4,-76.485675,42.458406,NA,2008,"Bonasa umbellus","Bonasa_umbellus",518.4,340,"female",8.8,1017,9.42801675857654,38.153331779568,"Spring",10214
4,-76.52639,42.466149,NA,2012,"Bonasa umbellus","Bonasa_umbellus",627,NA,"male",10.8,962,8.71226930045418,35.9004548494108,"Spring",10215
11,-76.459673,42.406765,NA,2011,"Bonasa umbellus","Bonasa_umbellus",560,346,"undetermined",9.3,1330,10.0466035267767,50.1009829308644,"Fall",10216
9,-109.0383873755,40.7105627291,"adult",1990,"Bonasa umbellus","Bonasa_umbellus",485.3,365,"female",6.3,338,9.94478697000534,57.3834160542437,"Fall",10221
9,-109.0383873755,40.7105627291,"immature",1990,"Bonasa umbellus","Bonasa_umbellus",396.8,NA,"male",6.3,338,9.94478697000534,57.3834160542437,"Fall",10222
10,-88.73658,45.7257403,NA,1967,"Bonasa umbellus umbellus","Bonasa_umbellus",30,NA,"female",3.6,803,10.8323589305377,62.7369974688385,"Fall",10223
