"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-117.164293,46.730767,NA,2002,"Ixoreus naevius","Ixoreus_naevius",69.8,NA,"male",8.4,428,7.24938868896105,59.6362615737021,"Spring",39504
11,-117.164293,46.730767,NA,1996,"Ixoreus naevius","Ixoreus_naevius",91.7,NA,"male",8.2,774,7.91608929314025,71.5732167831782,"Fall",39505
3,-117.153569,46.667257,NA,2005,"Ixoreus naevius","Ixoreus_naevius",52.9,NA,"male",8.8,477,7.71325109303739,69.5535549979173,"Spring",39506
2,-117.179457,46.728691,NA,2006,"Ixoreus naevius","Ixoreus_naevius",82.8,NA,"male",9.5,567,7.62561472931855,80.2748918274908,"Winter",39507
3,-117.164293,46.730767,NA,1928,"Ixoreus naevius","Ixoreus_naevius",60.3,239,"male",8.6,402,7.95548219592609,80.3834128378609,"Spring",39508
10,-117.165636,46.72953,NA,2012,"Ixoreus naevius","Ixoreus_naevius",74.8,NA,"male",9.3,600,7.58085207491995,61.271378458313,"Fall",39509
1,-117.043562,46.436024,NA,1955,"Ixoreus naevius","Ixoreus_naevius",82.5,249,"male",9.6,441,8.72357915842651,61.4631505843924,"Winter",39510
3,-117.179457,46.728691,NA,1960,"Ixoreus naevius","Ixoreus_naevius",69.1,243,"female",8,595,8.25056471896428,62.0835874784356,"Spring",39511
1,-117.179457,46.728691,"Ad",1965,"Ixoreus naevius","Ixoreus_naevius",86.6,NA,"male",8.8,385,7.1714659758256,64.1542441733557,"Winter",39512
11,-117.179457,46.728691,NA,1971,"Ixoreus naevius","Ixoreus_naevius",78.4,237,"male",8.1,663,7.58329004316648,44.776639089984,"Fall",39513
8,-117.298473,46.815477,"Ad",1970,"Ixoreus naevius","Ixoreus_naevius",73.6,252,"female",8.6,560,7.79945608049146,81.8189548510173,"Summer",39514
3,-117.165649,46.729529,NA,1975,"Ixoreus naevius","Ixoreus_naevius",92.5,NA,"male",7.5,673,7.79049051242875,55.5277570147625,"Spring",39515
2,-117.179457,46.728691,NA,1978,"Ixoreus naevius","Ixoreus_naevius",92.1,NA,"male",7.7,476,7.679424497061,52.5999406874918,"Winter",39516
2,-117.1625,46.730636,NA,1982,"Ixoreus naevius","Ixoreus_naevius",81.3,NA,"female",7.6,636,7.92790908274322,45.8176798771481,"Winter",39517
5,-117.179457,46.728691,NA,1982,"Ixoreus naevius","Ixoreus_naevius",80,NA,NA,7.7,624,7.93245634317414,47.5084650830297,"Spring",39518
2,-117.1625,46.730636,NA,1983,"Ixoreus naevius","Ixoreus_naevius",80.7,NA,"male",8.6,654,7.14721814923312,51.8771001530378,"Winter",39519
7,-117.20894,46.824342,NA,1977,"Ixoreus naevius","Ixoreus_naevius",61.9,NA,"male",8.2,489,8.00225347049571,81.2952284410756,"Summer",39520
11,-117.164293,46.730767,NA,1985,"Ixoreus naevius","Ixoreus_naevius",76,NA,"male",6.5,398,9.78626124170559,50.4655094456465,"Fall",39521
10,-117.164293,46.730767,NA,1984,"Ixoreus naevius","Ixoreus_naevius",84.2,NA,"male",7.9,602,7.41503386861633,53.1034086551605,"Fall",39522
12,-117.163002,46.72998,NA,1988,"Ixoreus naevius","Ixoreus_naevius",81.6,NA,"male",9,498,7.38749967953648,64.3030274674913,"Winter",39523
12,-117.184639,46.643124,NA,1990,"Ixoreus naevius","Ixoreus_naevius",76.5,NA,"male",9.4,576,8.18661139059416,59.0490711415193,"Winter",39524
12,-117.164293,46.730767,NA,1990,"Ixoreus naevius","Ixoreus_naevius",82.4,NA,"female",9,573,8.21836450588042,60.5834714064507,"Winter",39525
3,-117.164293,46.730767,NA,1991,"Ixoreus naevius","Ixoreus_naevius",80.6,NA,"male",8.9,481,7.10548230508519,70.4790903845913,"Spring",39526
10,-117.164293,46.730767,NA,1991,"Ixoreus naevius","Ixoreus_naevius",77.3,NA,"male",8.9,481,7.10548230508519,70.4790903845913,"Fall",39527
2,-117.164293,46.730767,NA,1993,"Ixoreus naevius","Ixoreus_naevius",70,NA,"male",8,450,8.12597779664178,64.9375768633916,"Winter",39528
10,-117.20894,46.824342,NA,1991,"Ixoreus naevius","Ixoreus_naevius",80,NA,"male",8.9,490,7.14338006743858,69.8583701827885,"Fall",39529
10,-117.20894,46.824342,NA,1994,"Ixoreus naevius","Ixoreus_naevius",74.8,NA,"female",9.4,504,8.04296700116432,86.319969527551,"Fall",39530
10,-117.164293,46.730767,NA,1994,"Ixoreus naevius","Ixoreus_naevius",78.8,NA,"male",9.4,491,8.01042880855761,84.5443613966003,"Fall",39531
2,-117.164293,46.730767,NA,1996,"Ixoreus naevius","Ixoreus_naevius",75,NA,"male",8.2,774,7.91608929314025,71.5732167831782,"Winter",39532
1,-105.11056,40.568919,"adult",1990,"Ixoreus naevius","Ixoreus_naevius",88,229,"male",9,435,8.99903614367403,84.2459279693343,"Winter",39533
7,-162.3483,67.9233,"immature",1961,"Ixoreus naevius","Ixoreus_naevius",78.4,NA,"male",-7.5,314,15.5868898874547,93.6087090267732,"Summer",39534
3,-121.9927864,41.6623745,"immature",1961,"Ixoreus naevius","Ixoreus_naevius",73.5,NA,"male",8.5,486,7.47255077945377,67.0908552272247,"Spring",39535
11,-122.6160965,38.7523041,NA,1990,"Ixoreus naevius","Ixoreus_naevius",69,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Fall",39536
11,-118.3742523,33.7717275,NA,2001,"Ixoreus naevius","Ixoreus_naevius",75.1,NA,"male",15,505,2.6866674186028,146.791377437019,"Fall",39537
11,-122.6160965,38.7523041,NA,1990,"Ixoreus naevius","Ixoreus_naevius",76,NA,"female",14.8,485,6.84308985677368,136.518873548435,"Fall",39538
10,-117.9846239,37.3729538,NA,1999,"Ixoreus naevius","Ixoreus_naevius",66.4,NA,"female",12,103,7.88073985143911,88.2335349237877,"Fall",39539
5,-161.7661111111,60.7080555556,"u ad.",1955,"Ixoreus naevius meruloides","Ixoreus_naevius",91.6,NA,"female",-2.5,508,10.3363289890414,75.0066928965721,"Spring",39540
5,-161.7933,60.7043,"sk.double",1956,"Ixoreus naevius meruloides","Ixoreus_naevius",72,NA,"male",-4,348,13.3921845141338,84.1012928813907,"Spring",39541
6,-161.7661111111,60.7080555556,"sk.double",1956,"Ixoreus naevius meruloides","Ixoreus_naevius",74.7,NA,"male",-4,348,13.3848031194132,84.1012928813907,"Summer",39542
4,-149.9495,61.1665277778,"u ad.",1958,"Ixoreus naevius meruloides","Ixoreus_naevius",70.5,NA,"male",2.1,391,9.18468339633485,78.3492623712058,"Spring",39543
4,-149.9495,61.1665277778,"sk.doubled",1958,"Ixoreus naevius meruloides","Ixoreus_naevius",71,NA,"male",2.1,391,9.18468339633485,78.3492623712058,"Spring",39544
6,-154.8880555556,59.8252777778,"sk.double",1958,"Ixoreus naevius meruloides","Ixoreus_naevius",71.2,NA,"male",2.4,672,7.73426065495519,76.098033921904,"Summer",39545
6,-122.2900123,42.7531053,"ad.sk.",1964,"Ixoreus naevius naevius","Ixoreus_naevius",79.8,NA,"male",5.9,1881,6.65602370151666,144.565746680807,"Summer",39546
7,-115.733,48.8933,"u ad.",1966,"Ixoreus naevius meruloides","Ixoreus_naevius",74,NA,"male",3.5,878,7.15496754751974,70.8026421177941,"Summer",39547
6,-115.9446,48.2631,"u ad.",1966,"Ixoreus naevius meruloides","Ixoreus_naevius",74.8,NA,"female",6,1261,7.35574399343599,76.037495097777,"Summer",39548
6,-115.9446,48.2631,"u ad.",1966,"Ixoreus naevius meruloides","Ixoreus_naevius",87.8,NA,"male",6,1261,7.35574399343599,76.037495097777,"Summer",39549
7,-115.733,48.8933,"u ad.",1966,"Ixoreus naevius meruloides","Ixoreus_naevius",78,NA,"female",3.5,878,7.15496754751974,70.8026421177941,"Summer",39550
12,-122.9225696,39.4645693,"sk.oss.",1979,"Ixoreus naevius ssp.","Ixoreus_naevius",77,NA,"male",12.9,1717,6.58082614321885,98.8925881287596,"Winter",39551
7,-115.733,48.8933,"unknown",1966,"Ixoreus naevius ssp.","Ixoreus_naevius",77,NA,"undetermined",3.5,878,7.15496754751974,70.8026421177941,"Summer",39552
6,-115.9446,48.2631,"unknown",1966,"Ixoreus naevius ssp.","Ixoreus_naevius",80.8,NA,"undetermined",6,1261,7.35574399343599,76.037495097777,"Summer",39553
3,-122.9267405,39.4351551,"skull ossified",1981,"Ixoreus naevius ssp.","Ixoreus_naevius",82,NA,"female",12.9,1508,5.98332911285409,107.784286162652,"Spring",39554
11,-122.2634126,37.8725859,"small to medium skull windows",1998,"Ixoreus naevius naevius ?","Ixoreus_naevius",75.2,NA,"male",13.8,846,3.10800530400078,145.880474196638,"Fall",39555
