"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-87.756161,34.94378,"First year",1991,"Melospiza georgiana","Melospiza_georgiana",14.8999996185303,134,NA,16.7,1951,7.98594883453925,65.5682980205292,"Spring",45539
3,-87.756161,34.94378,NA,1991,"Melospiza georgiana","Melospiza_georgiana",14.8999996185303,134,NA,16.7,1951,7.98594883453925,65.5682980205292,"Spring",45540
9,-76.451,42.4799,NA,2009,"Melospiza georgiana","Melospiza_georgiana",19.5,139,NA,7.9,932,9.47479911036736,46.2075105631006,"Fall",45541
10,-76.4809,42.4466,NA,2005,"Melospiza georgiana","Melospiza_georgiana",15.8000001907349,134,"undetermined",8.9,1038,10.8230393983475,51.4120865351793,"Fall",45542
6,-76.655259,42.276659,NA,2012,"Melospiza georgiana","Melospiza_georgiana",15,NA,"male",9.6,1077,8.72503798724039,33.8959977213799,"Summer",45543
7,-76.402883,42.434729,NA,2012,"Melospiza georgiana","Melospiza_georgiana",18.5,NA,"male",10.1,1021,8.77787766852765,36.9617041401733,"Summer",45544
7,-76.402883,42.434729,NA,2012,"Melospiza georgiana","Melospiza_georgiana",20,NA,"male",10.1,1021,8.77787766852765,36.9617041401733,"Summer",45545
7,-76.402883,42.434729,NA,2012,"Melospiza georgiana","Melospiza_georgiana",18,NA,"male",10.1,1021,8.77787766852765,36.9617041401733,"Summer",45546
4,-87.5038888889,41.0075,NA,1977,"Melospiza georgiana","Melospiza_georgiana",11.6,136,"undetermined",10.2,1046,11.9999589645763,65.7152166353233,"Spring",45550
10,-95.6966263,39.0483341,"immature",1954,"Melospiza georgiana ericrypta","Melospiza_georgiana",14.3,NA,"female",13.8,845,10.2905369886684,89.9334865400063,"Fall",45551
3,-88.187466,34.6003286,NA,1959,"Melospiza georgiana","Melospiza_georgiana",16.5,NA,"female",15.9,1265,8.18461231750648,27.3490033271125,"Spring",45552
11,-95.3028345,39.0127483,NA,1964,"Melospiza georgiana","Melospiza_georgiana",15.8,NA,"female",12.8,999,9.87102816173153,73.6671698474863,"Fall",45553
12,-76.4396365,39.0176693,NA,1965,"Melospiza georgiana","Melospiza_georgiana",22.5,NA,"undetermined",13.4,785,9.08648680317329,50.2980762431763,"Winter",45554
12,-76.4396365,39.0176693,NA,1965,"Melospiza georgiana","Melospiza_georgiana",19.2,NA,"female",13.4,785,9.08648680317329,50.2980762431763,"Winter",45555
10,-95.7687531,39.0444049,NA,1986,"Melospiza georgiana","Melospiza_georgiana",10.8,NA,"male",13.3,1083,9.79921147105957,69.6486254190867,"Fall",45556
1,-115.831393,33.32555,NA,1994,"Melospiza georgiana ericrypta","Melospiza_georgiana",16.2,NA,"male",23.3,53,8.54164486323899,114.048204751294,"Winter",45557
1,-108.3069444444,32.8725,NA,1994,"Melospiza georgiana ericrypta","Melospiza_georgiana",22.4,NA,"male",13,554,7.49146484037304,92.1194559095507,"Winter",45558
2,-83.4669,41.75,"unknown",1940,"Melospiza georgiana","Melospiza_georgiana",17.4,NA,"male",9,863,10.8086104845193,37.7300666971616,"Winter",45559
5,-106.3304805555,29.4621811111,"u ad.",1964,"Melospiza georgiana georgiana","Melospiza_georgiana",15,NA,"female",16.2,175,7.15102768626279,136.342973641135,"Spring",45560
