"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-117.164293,46.730767,NA,2001,"Melospiza melodia","Melospiza_melodia",21.9,NA,"male",8.6,475,7.99401291118812,57.0874026707448,"Fall",45778
11,-118.199735,46.060288,NA,1999,"Melospiza melodia","Melospiza_melodia",20.6,NA,"female",10.6,573,6.5050330164769,70.4887707101518,"Fall",45779
1,-117.179457,46.728691,NA,1947,"Melospiza melodia","Melospiza_melodia",28.3,169,"male",8.6,534,7.3098314866785,67.4667835290506,"Winter",45780
5,-117.252123,46.790246,"Ad",1951,"Melospiza melodia","Melospiza_melodia",23.6,166,"male",8.1,599,7.94175768652728,71.4720627505777,"Spring",45781
10,-117.1959,46.8519,NA,1952,"Melospiza melodia","Melospiza_melodia",21.7,162,"male",8.2,458,8.1994964738234,67.198364202394,"Fall",45782
6,-119.292055,46.982151,"Juv",1953,"Melospiza melodia","Melospiza_melodia",20.1,166,"male",11.9,195,6.91863425829116,77.3326403885916,"Summer",45783
6,-117.408,46.932,"Ad",1953,"Melospiza melodia","Melospiza_melodia",22.5,153,"female",10.1,539,6.107143110301,95.6855621909589,"Summer",45784
7,-117.24014,46.341092,"Juv",1954,"Melospiza melodia","Melospiza_melodia",21.8,168,"male",9.1,340,6.7055099460342,44.9052688535369,"Summer",45785
7,-117.678523,46.250425,"Ad",1954,"Melospiza melodia","Melospiza_melodia",21.5,163,"male",7,784,6.43896166106984,62.2050025701072,"Summer",45786
3,-119.292097,46.967181,NA,1954,"Melospiza melodia","Melospiza_melodia",21.5,169,"male",10.4,165,7.88006210558513,49.532752940092,"Spring",45787
10,-117.179457,46.728691,"Ad",1964,"Melospiza melodia","Melospiza_melodia",22.8,173,"male",7.5,633,7.34844860972008,73.3561902385375,"Fall",45788
10,-117.377213,46.635728,NA,1972,"Melospiza melodia","Melospiza_melodia",22.7,NA,"male",11.3,482,8.36437249724851,64.2394996900314,"Fall",45789
10,-117.377213,46.635728,NA,1972,"Melospiza melodia","Melospiza_melodia",22.4,NA,"male",11.3,482,8.36437249724851,64.2394996900314,"Fall",45790
10,-117.377213,46.635728,NA,1972,"Melospiza melodia","Melospiza_melodia",24.4,NA,"male",11.3,482,8.36437249724851,64.2394996900314,"Fall",45791
12,-117.255248,46.548727,NA,1972,"Melospiza melodia","Melospiza_melodia",20,NA,NA,11.1,498,8.41097317181369,66.5608267169087,"Winter",45792
2,-117.377213,46.635728,NA,1973,"Melospiza melodia","Melospiza_melodia",24.4,NA,"female",11.9,475,7.84652017061568,111.54938850789,"Winter",45793
3,-117.1471,46.7218,NA,1973,"Melospiza melodia","Melospiza_melodia",22.7,NA,"male",8.6,532,7.48790944648691,109.5588666063,"Spring",45794
10,-117.179457,46.728691,NA,1970,"Melospiza melodia","Melospiza_melodia",21.6,169,NA,8.4,568,7.77032037871533,80.7771623407065,"Fall",45795
10,-117.164293,46.730767,NA,1973,"Melospiza melodia","Melospiza_melodia",23.1,NA,"male",8.6,524,7.4581407627078,109.643696085904,"Fall",45796
9,-117.136436,46.431893,NA,1977,"Melospiza melodia","Melospiza_melodia",21.8,NA,"female",11.5,354,8.59772256666458,77.6034979303045,"Fall",45797
12,-117.21,46.841,NA,1977,"Melospiza melodia","Melospiza_melodia",26.2,NA,"male",8.1,495,8.01469767289314,81.6696948691601,"Winter",45798
3,-117.35863,46.7713,NA,1978,"Melospiza melodia","Melospiza_melodia",21.5,NA,"male",8.6,455,7.83596989800396,52.7402758331955,"Spring",45799
11,-117.179457,46.728691,"Imm",1956,"Melospiza melodia","Melospiza_melodia",20.1,167,"female",7.9,511,8.35806179503938,57.8137935781925,"Fall",45800
9,-117.165649,46.729529,NA,1983,"Melospiza melodia","Melospiza_melodia",22.2,NA,"female",8.6,653,7.1532997259794,51.8771001530378,"Fall",45801
6,-117.20894,46.824342,NA,1977,"Melospiza melodia","Melospiza_melodia",21,NA,NA,8.2,489,8.00225347049571,81.2952284410756,"Summer",45802
10,-117.237765,46.826862,NA,1981,"Melospiza melodia","Melospiza_melodia",20.1,NA,"female",8.7,607,6.36416934997424,57.7938084058512,"Fall",45803
6,-117.1752,46.5295,NA,1985,"Melospiza melodia","Melospiza_melodia",20,NA,"female",7.2,414,9.85111514991931,43.7058961785907,"Summer",45804
5,-117.3335,46.7432,NA,1984,"Melospiza melodia","Melospiza_melodia",22.8,NA,"male",8.7,578,7.5383263153278,59.019408524159,"Spring",45805
4,-117.179457,46.728691,NA,1992,"Melospiza melodia","Melospiza_melodia",24,NA,"female",9.9,428,7.29924757434046,54.6314449832959,"Spring",45806
10,-76.5095,42.4381,"imm.",1950,"Melospiza melodia","Melospiza_melodia",20,NA,"male",9,942,9.34026798655189,22.1277688905802,"Fall",45807
6,-76.5095,42.4381,"imm.",1956,"Melospiza melodia","Melospiza_melodia",21.7999992370605,NA,"male",8.7,913,9.00213358548456,36.7863452860828,"Summer",45808
3,-76.5095,42.4381,NA,1952,"Melospiza melodia","Melospiza_melodia",24.5,NA,"undetermined",10,821,9.18590405639713,40.5512633587367,"Spring",45809
3,-76.5095,42.4381,NA,1952,"Melospiza melodia","Melospiza_melodia",23.2000007629395,NA,"male",10,821,9.18590405639713,40.5512633587367,"Spring",45810
8,-76.5095,42.4381,NA,1954,"Melospiza melodia","Melospiza_melodia",20.2999992370605,NA,"undetermined",9.7,834,9.39066267387693,31.6517032910352,"Summer",45811
