"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-123.8666666667,44.55,NA,1996,"Microtus oregoni","Microtus_oregoni",23,143,"male",11,3665,4.1714306099147,92.0266077653585,"Spring",62681
10,-122.7166666667,43.7333333333,NA,1995,"Microtus oregoni","Microtus_oregoni",16,124,"male",11.8,1911,5.46095645968227,75.4184223859873,"Fall",62682
10,-122.7166666667,43.7333333333,NA,1995,"Microtus oregoni","Microtus_oregoni",17,127,"female",11.8,1911,5.46095645968227,75.4184223859873,"Fall",62683
10,-122.3,43.2,NA,1995,"Microtus oregoni","Microtus_oregoni",18,128,"male",5.7,2097,5.7571233873324,76.3526552002324,"Fall",62684
5,-123.86222,45.23056,NA,1996,"Microtus oregoni","Microtus_oregoni",23,137,"male",11.1,3174,3.62201810480223,79.3092653139997,"Spring",62685
1,-123.9,45,NA,1995,"Microtus oregoni","Microtus_oregoni",10,96,"undetermined",11.7,2660,3.6227396296508,75.4818007047478,"Winter",62686
1,-123.9,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",15,118,"female",11.8,2983,4.12122186941806,81.8757703449476,"Winter",62687
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",22.6,142,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62688
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",24,134,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62689
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",18.7,128,"male",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62690
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",22.5,142,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62691
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",18,128,"male",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62692
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",18.3,129,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62693
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",16.4,118,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62694
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",15.9,121,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62695
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",17.4,121,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62696
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",20.8,122,"male",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62697
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",20.3,128,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62698
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",20.5,125,"undetermined",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62699
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",16.5,121,"undetermined",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62700
9,-122.2413333333,47.7853333333,NA,2001,"Microtus oregoni","Microtus_oregoni",13.5,108,"undetermined",9.9,1060,4.48195033304462,60.5695277737877,"Fall",62701
5,-123.9166666667,45.25,NA,1996,"Microtus oregoni","Microtus_oregoni",21,133,"male",10.2,3791,4.34353403103831,83.5754717495116,"Spring",62702
4,-123.5666666667,44.2833333333,NA,1996,"Microtus oregoni","Microtus_oregoni",15,124,"female",10.9,3131,5.25324574992365,89.9888956453805,"Spring",62703
1,-123.9,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",25,139,"male",11.8,2983,4.12122186941806,81.8757703449476,"Winter",62704
1,-123.9,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",13,132,"male",11.8,2983,4.12122186941806,81.8757703449476,"Winter",62705
1,-123.9,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",20,129,"male",11.8,2983,4.12122186941806,81.8757703449476,"Winter",62706
5,-123.8666666667,44.5333333333,NA,1995,"Microtus oregoni","Microtus_oregoni",23,133,"male",11.7,2677,3.98744240957747,80.6583006994274,"Spring",62707
1,-123.8,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",19,122,"female",11.9,2869,4.25899226948291,82.4377486649928,"Winter",62708
1,-123.8,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",14,125,"male",11.9,2869,4.25899226948291,82.4377486649928,"Winter",62709
1,-123.9,44.5,NA,1995,"Microtus oregoni","Microtus_oregoni",18,126,"male",11.8,2983,4.12122186941806,81.8757703449476,"Winter",62710
10,-120.326844,49.458596,NA,1974,"Microtus oregoni serpens","Microtus_oregoni",25,117,"female",5.8,404,7.55065720599368,87.8059736782909,"Fall",62711
3,-122.4869,48.7597,"unknown",1928,"Microtus oregoni","Microtus_oregoni",20,133,"female",10,730,4.70122485651507,70.6271804234902,"Spring",62712
8,-122.4869,48.7597,"unknown",1931,"Microtus oregoni","Microtus_oregoni",17,129,"female",10.1,1013,4.53019331984315,58.1024322160195,"Summer",62713
9,-122.4869,48.7597,"unknown",1931,"Microtus oregoni","Microtus_oregoni",18,132,"female",10.1,1013,4.53019331984315,58.1024322160195,"Fall",62714
