"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-103.393087,29.452229,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",14,175,"female",18.5,307,6.88995755803438,131.025556782455,"Spring",87616
3,-103.393087,29.452229,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",17,183,"female",18.5,307,6.88995755803438,131.025556782455,"Spring",87617
3,-103.427137,29.45917,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",17,185,"male",18.3,322,6.73626548818206,133.186353975996,"Spring",87618
3,-103.427137,29.45917,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",19,178,"male",18.3,322,6.73626548818206,133.186353975996,"Spring",87619
3,-103.427137,29.45917,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",9,150,"male",18.3,322,6.73626548818206,133.186353975996,"Spring",87620
3,-103.403043,29.42607,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",16,191,"female",18.5,313,6.8455471038855,129.965254447499,"Spring",87621
3,-103.403043,29.42607,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",13,170,"male",18.5,313,6.8455471038855,129.965254447499,"Spring",87622
3,-103.403043,29.42607,NA,1993,"Peromyscus eremicus eremicus","Peromyscus_eremicus",20,198,"female",18.5,313,6.8455471038855,129.965254447499,"Spring",87623
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19.5,176,"male",22.4,71,7.65590977908273,235.459934337961,"Fall",87624
9,-115.49025,33.33764,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19.5,195,"male",23.2,42,7.7343781948264,197.385508487931,"Fall",87625
6,-115.8987345,35.7688924,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,181,"female",13.7,162,8.11355020750454,106.572636259317,"Summer",87626
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17.5,170,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87627
3,-113.41025,37.00755,NA,1978,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",24.9,195,"female",16,422,8.82418766112711,87.6136009050731,"Spring",87628
10,-101.2616038,24.61472,NA,1973,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",32,192,"female",19.6,584,4.32697668964455,105.098790892328,"Fall",87629
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",25,179,"female",14,153,8.15558927139151,106.868059852465,"Summer",87630
5,-118.5849813,34.3234131,NA,1974,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17.8,157,"male",16.4,626,5.7758837707604,178.872160128369,"Spring",87631
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",16.5,180,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87632
4,-117.8134912,36.7526083,NA,1977,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",21,180,"female",20.8,66,8.78132919461754,108.122422753232,"Spring",87633
9,-115.39087,33.46253,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17.5,184,"male",20.1,70,7.73604315114411,209.014039449193,"Fall",87634
2,-115.43546,33.4269,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",21.5,193,"male",21.3,67,7.70931648111949,201.394946571559,"Winter",87635
1,-115.6017,33.44859,NA,1990,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",10,166,"male",20.1,95,8.14331385899258,149.949577928115,"Winter",87636
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20,185,"female",14,153,8.15558927139151,106.868059852465,"Summer",87637
8,-118.3165309,34.4821522,NA,1973,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",12.5,173,"female",15.9,398,6.40898989819391,154.467728054767,"Summer",87638
2,-115.43546,33.4269,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",21.5,202,"female",21.3,67,7.70931648111949,201.394946571559,"Winter",87639
5,-118.5849813,34.3234131,NA,1974,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",16.7,152,"male",16.4,626,5.7758837707604,178.872160128369,"Spring",87640
2,-115.10323,33.25854,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19,200,"male",23.2,63,7.93505838133227,186.346965528876,"Winter",87641
8,-116.642031,33.9151181,NA,1977,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",16.5,156,"male",20.2,219,6.67986572174966,139.517252917903,"Summer",87642
5,-118.5849813,34.3234131,NA,1974,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19.7,154,"male",16.4,626,5.7758837707604,178.872160128369,"Spring",87643
2,-115.43546,33.4269,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",16.5,183,"male",21.3,67,7.70931648111949,201.394946571559,"Winter",87644
1,-115.6017,33.44859,NA,1990,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",9,147,"male",20.1,95,8.14331385899258,149.949577928115,"Winter",87645
6,-115.8987345,35.7688924,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,183,"male",13.7,162,8.11355020750454,106.572636259317,"Summer",87646
1,-115.6017,33.44859,NA,1990,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",10,165,"male",20.1,95,8.14331385899258,149.949577928115,"Winter",87647
9,-115.39087,33.46253,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",12.5,169,"female",20.1,70,7.73604315114411,209.014039449193,"Fall",87648
4,-115.54264,33.48033,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17,185,"female",19.6,78,7.53747707167727,194.87758395278,"Spring",87649
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",15.5,181,"male",22.4,71,7.65590977908273,235.459934337961,"Fall",87650
6,-115.8987345,35.7688924,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",16,177,"female",13.7,162,8.11355020750454,106.572636259317,"Summer",87651
2,-115.45073,33.43958,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19,172,"male",21.2,67,7.70495216589875,199.13889206543,"Winter",87652
9,-115.39087,33.46253,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",15,181,"male",20.1,70,7.73604315114411,209.014039449193,"Fall",87653
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17,180,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87654
2,-115.46593,33.45233,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,180,"female",20.5,71,7.7068397406381,197.938849454332,"Winter",87655
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17,179,"female",14,153,8.15558927139151,106.868059852465,"Summer",87656
9,-115.45073,33.43958,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17,176,"male",21.2,67,7.70495216589875,199.13889206543,"Fall",87657
2,-115.45073,33.43958,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,180,"male",21.2,67,7.70495216589875,199.13889206543,"Winter",87658
5,-117.8249778,36.7471083,NA,1977,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",25,181,"female",20.8,66,8.78499064348168,108.122422753232,"Spring",87659
1,-118.5394807,34.0749251,NA,1995,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,192,"male",17.6,935,3.39125434914665,195.032968973943,"Winter",87660
2,-115.324722,33.62611,NA,1969,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",14.2,184,"female",19.9,98,7.85005307837682,112.896581879983,"Winter",87661
9,-115.25477,33.23941,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",12,164,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87662
3,-113.41025,37.00755,NA,1978,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",27.4,186,"male",16,422,8.82418766112711,87.6136009050731,"Spring",87663
6,-115.8987345,35.7688924,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20,170,"female",13.7,162,8.11355020750454,106.572636259317,"Summer",87664
5,-117.8249778,36.7471083,NA,1977,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",35,173,"male",20.8,66,8.78499064348168,108.122422753232,"Spring",87665
4,-115.54264,33.48033,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20.5,179,"female",19.6,78,7.53747707167727,194.87758395278,"Spring",87666
5,-118.5849813,34.3234131,NA,1974,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20.1,165,"male",16.4,626,5.7758837707604,178.872160128369,"Spring",87667
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,177,"female",14,153,8.15558927139151,106.868059852465,"Summer",87668
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20,177,"female",14,153,8.15558927139151,106.868059852465,"Summer",87669
1,-115.6017,33.44859,NA,1990,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",10.5,163,"female",20.1,95,8.14331385899258,149.949577928115,"Winter",87670
6,-115.88722,35.77278,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",17,180,"male",14,153,8.15558927139151,106.868059852465,"Summer",87671
3,-113.41025,37.00755,NA,1978,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",20.3,180,"male",16,422,8.82418766112711,87.6136009050731,"Spring",87672
2,-115.46593,33.45233,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18,186,"male",20.5,71,7.7068397406381,197.938849454332,"Winter",87673
10,-102.4458971,23.18111,NA,1973,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",34,184,"female",17.5,521,3.17961070611234,106.805539865144,"Fall",87674
2,-115.324722,33.62611,NA,1969,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",18.2,197,"male",19.9,98,7.85005307837682,112.896581879983,"Winter",87675
2,-115.324722,33.62611,NA,1969,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",13.7,182,"male",19.9,98,7.85005307837682,112.896581879983,"Winter",87676
5,-118.2766462,34.3813192,NA,1975,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",19,185,"male",14.2,365,6.65737230899745,160.358798936208,"Spring",87677
4,-115.54264,33.48033,NA,1989,"Peromyscus eremicus Baird, 1857","Peromyscus_eremicus",12.5,168,"male",19.6,78,7.53747707167727,194.87758395278,"Spring",87678
