"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-92.163,35.9462,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,153,"male",15.6,1620,7.74653392678221,46.4239318032234,"Spring",113993
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",15.5,168,"female",15.1,1591,7.67287133643296,57.207254378828,"Spring",113994
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,162,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",113995
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",15,178,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",113996
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,166,"female",15.1,1591,7.67287133643296,57.207254378828,"Spring",113997
3,-92.1728,36.0594,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,169,"female",15.5,1566,7.78539814283279,48.0381903608108,"Spring",113998
3,-99.2876557,27.7315181,NA,1977,"Reithrodontomys fulvescens intermedias","Reithrodontomys_fulvescens",10.2,147,"female",21.9,337,7.03586052543208,92.7071715998727,"Spring",113999
3,-99.2876557,27.7315181,NA,1977,"Reithrodontomys fulvescens intermedias","Reithrodontomys_fulvescens",9.3,151,"male",21.9,337,7.03586052543208,92.7071715998727,"Spring",114000
3,-99.2876557,27.7315181,NA,1977,"Reithrodontomys fulvescens intermedias","Reithrodontomys_fulvescens",11.6,162,"male",21.9,337,7.03586052543208,92.7071715998727,"Spring",114001
3,-99.2876557,27.7315181,NA,1977,"Reithrodontomys fulvescens intermedias","Reithrodontomys_fulvescens",12.5,180,"male",21.9,337,7.03586052543208,92.7071715998727,"Spring",114002
2,-94.9013187,29.3385687,NA,2009,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14,171,"male",21.5,1126,6.46407320690619,76.6626718326804,"Winter",114003
2,-94.9013187,29.3385687,NA,2009,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,163,"male",21.5,1126,6.46407320690619,76.6626718326804,"Winter",114004
2,-94.9013187,29.3385687,NA,2009,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14.5,109,"female",21.5,1126,6.46407320690619,76.6626718326804,"Winter",114005
1,-103.7474221583,26.6855533417,NA,1997,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,176,"male",19.3,321,5.69558574421428,95.5441949142813,"Winter",114006
8,-97.6307983,26.1322002,NA,1997,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",8,162,"male",22.6,772,5.76073438079388,90.7883840760643,"Summer",114007
8,-97.5820007,26.2350006,NA,1997,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,179,"male",22.4,779,5.6920132775245,91.6938152402018,"Summer",114008
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,165,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114009
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,158,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114010
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,144,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114011
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,161,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114012
11,-94.1701889,32.6681442,"subadult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,156,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114013
11,-94.1701889,32.6681442,"subadult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,165,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114014
11,-94.1701889,32.6681442,"subadult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",8,155,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114015
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,155,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114016
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,157,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114017
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",9,148,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114018
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14,160,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114019
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,157,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114020
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,164,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114021
11,-94.1110001,32.6790009,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",10,161,"male",19.2,1116,7.02551626486473,68.3933018515095,"Fall",114022
11,-94.1110001,32.6790009,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,160,"male",19.2,1116,7.02551626486473,68.3933018515095,"Fall",114023
11,-94.1110001,32.6790009,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,169,"male",19.2,1116,7.02551626486473,68.3933018515095,"Fall",114024
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,171,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114025
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11,161,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114026
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,158,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114027
11,-94.1701889,32.6681442,NA,1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",9,150,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114028
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11,166,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114029
11,-94.1701889,32.6681442,"subadult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",7,132,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114030
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",17,171,"female",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114031
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,164,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114032
11,-94.1701889,32.6681442,"adult",1999,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,152,"male",19.2,1088,6.9871472914722,68.1674646734979,"Fall",114033
1,-98.9693611111,36.7985,NA,2001,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12.6,150,"male",14.9,477,10.0956636355628,97.5875222034004,"Winter",114034
1,-98.9693611111,36.7985,NA,2001,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,161,"female",14.9,477,10.0956636355628,97.5875222034004,"Winter",114035
10,-97.058,36.116,"unknown",1971,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",25.3,158,"male",15.3,832,9.11097822642686,78.0928185185632,"Fall",114036
7,-104.3610366,24.3322934,"unknown",1964,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",16,178,"male",17.6,549,4.44968504162901,134.864128704324,"Summer",114037
7,-104.3610366,24.3322934,"unknown",1964,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",16.1,181,"male",17.6,549,4.44968504162901,134.864128704324,"Summer",114038
12,-109.750265,29.97864,"unknown",1951,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",6.8,135,"female",21.1,336,7.03626967285158,131.901736169837,"Winter",114039
3,-92.163,35.9462,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14,162,"female",15.6,1620,7.74653392678221,46.4239318032234,"Spring",114040
3,-92.163,35.9462,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,170,"male",15.6,1620,7.74653392678221,46.4239318032234,"Spring",114041
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.3,144,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",114042
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",13,174,"female",15.1,1591,7.67287133643296,57.207254378828,"Spring",114043
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",15.5,166,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",114044
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",12,166,"female",15.1,1591,7.67287133643296,57.207254378828,"Spring",114045
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",14,169,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",114046
3,-93.69331,36.120515,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.5,157,"female",15.1,1591,7.67287133643296,57.207254378828,"Spring",114047
3,-91.594268,30.04875,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",17.5,150,"female",20.7,1427,5.61731630088981,32.3022262254457,"Spring",114048
3,-90.484466,30.986094,"adult",1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.4,167,"male",19.7,1727,5.96174674423732,55.1969168997808,"Spring",114049
3,-90.484466,30.986094,NA,1990,"Reithrodontomys fulvescens","Reithrodontomys_fulvescens",11.9,163,"male",19.7,1727,5.96174674423732,55.1969168997808,"Spring",114050
2,-96.5551934814,28.6758254971,NA,1995,"Reithrodontomys fulvescens intermedius","Reithrodontomys_fulvescens",13.1,160,"male",21.7,1112,6.05712703175258,49.8181137053893,"Winter",114051
2,-96.5551934814,28.6758254971,NA,1995,"Reithrodontomys fulvescens intermedius","Reithrodontomys_fulvescens",15.2,162,"male",21.7,1112,6.05712703175258,49.8181137053893,"Winter",114052
