"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.225427,46.760094,NA,1950,"Salpinctes obsoletus","Salpinctes_obsoletus",17.1,146,"male",7.7,664,8.66696969167215,67.7164616626842,"Spring",115438
8,-117.4689,47.4147,"Imm",1956,"Salpinctes obsoletus","Salpinctes_obsoletus",13.9,142,"female",8.4,397,8.87022171838638,60.6953788196197,"Summer",115439
8,-119.177355,46.973591,NA,1985,"Salpinctes obsoletus","Salpinctes_obsoletus",17,NA,"male",8.9,145,10.3901577845516,52.986477044059,"Summer",115440
10,-104.992657,39.739688,"immature",2011,"Salpinctes obsoletus","Salpinctes_obsoletus",12.2,140,"undetermined",11,410,9.50168645318006,62.4364017525078,"Fall",115443
9,-104.287691,40.755813,NA,1994,"Salpinctes obsoletus","Salpinctes_obsoletus",15.8,147,"undetermined",9.6,253,9.3671088000902,78.1060981161845,"Fall",115444
8,-108.1909,40.0064,NA,1996,"Salpinctes obsoletus","Salpinctes_obsoletus",13.6,141,"undetermined",7.7,409,9.21929383347113,46.8597461796013,"Summer",115445
7,-103.513056,37.769722,"immature",1995,"Salpinctes obsoletus","Salpinctes_obsoletus",15.7,140,"male",12.7,396,8.59173316554226,107.386439551817,"Summer",115446
7,-103.513056,37.769722,"immature",1995,"Salpinctes obsoletus","Salpinctes_obsoletus",13.8,135,"undetermined",12.7,396,8.59173316554226,107.386439551817,"Summer",115447
8,-114.8487,44.5969313,"immature",1948,"Salpinctes obsoletus","Salpinctes_obsoletus",19.3,NA,"female",2.2,795,8.83802048315153,62.2526108126819,"Summer",115448
6,-99.08432,37.0475049,NA,1956,"Salpinctes obsoletus","Salpinctes_obsoletus",16.5,NA,"female",15.5,295,10.841279137322,119.933437639365,"Summer",115449
6,-99.08432,37.0475049,NA,1956,"Salpinctes obsoletus","Salpinctes_obsoletus",16.1,NA,"male",15.5,295,10.841279137322,119.933437639365,"Summer",115450
8,-99.7656822,37.1886387,"immature",1957,"Salpinctes obsoletus","Salpinctes_obsoletus",15.2,NA,"female",13.7,769,9.64262553834417,82.4929758243685,"Summer",115451
8,-99.7656822,37.1886387,"immature",1957,"Salpinctes obsoletus","Salpinctes_obsoletus",17.3,NA,"male",13.7,769,9.64262553834417,82.4929758243685,"Summer",115452
1,-104.372151,29.564842,NA,1953,"Salpinctes obsoletus","Salpinctes_obsoletus",15,NA,"undetermined",21.6,138,8.27592345849749,95.003188231701,"Winter",115453
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",18.3,NA,"male",11.9,737,9.819029144133,89.8866129945844,"Summer",115454
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16.7,NA,"female",11.9,737,9.819029144133,89.8866129945844,"Summer",115455
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16.5,NA,"male",11.9,737,9.819029144133,89.8866129945844,"Summer",115456
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16,NA,"female",11.9,737,9.819029144133,89.8866129945844,"Summer",115457
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16.4,NA,"female",11.9,737,9.819029144133,89.8866129945844,"Summer",115458
7,-100.1694722,38.861055,"adult",1965,"Salpinctes obsoletus","Salpinctes_obsoletus",18.2,NA,"male",11.9,737,9.819029144133,89.8866129945844,"Summer",115459
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16.5,NA,"female",11.9,737,9.819029144133,89.8866129945844,"Summer",115460
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",17.1,NA,"male",11.9,737,9.819029144133,89.8866129945844,"Summer",115461
7,-100.1694722,38.861055,NA,1965,"Salpinctes obsoletus","Salpinctes_obsoletus",16.1,NA,"male",11.9,737,9.819029144133,89.8866129945844,"Summer",115462
10,-95.2,39.0166667,NA,1995,"Salpinctes obsoletus","Salpinctes_obsoletus",15.5,NA,"female",13.2,989,9.82548865312699,99.0324677496562,"Fall",115463
6,-101.0763471,39.7863849,NA,1999,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",20,NA,"female",11.8,538,8.68395856528786,105.430813584777,"Summer",115464
5,-121.8628506,41.9622187,"immature",1961,"Salpinctes obsoletus","Salpinctes_obsoletus",17.5,NA,"male",7.8,320,6.98992239953457,59.3860635625442,"Spring",115465
1,-110.6964759,32.3356308,"adult",1969,"Salpinctes obsoletus","Salpinctes_obsoletus",16.1,NA,"male",16.6,405,7.16182535560889,76.4559801282329,"Winter",115466
7,-118.6802777,37.5613888,"immature",1993,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",17.3,NA,"male",7.2,421,7.45812552613835,140.200015595972,"Summer",115467
7,-118.0183982,37.3372716,NA,1995,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",14,NA,"undetermined",12,178,7.3642049911389,111.137821315797,"Summer",115468
9,-115.2335572,33.2583912,NA,1989,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",14.5,NA,"undetermined",22.9,64,7.78430335918885,225.346067015405,"Fall",115469
7,-118.6802777,37.5613888,NA,1993,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",14.5,NA,"female",7.2,421,7.45812552613835,140.200015595972,"Summer",115470
9,-104.675,36.2476666667,NA,2010,"Salpinctes obsoletus","Salpinctes_obsoletus",16.9,NA,"female",11.5,450,8.90088095742112,82.4908476300762,"Fall",115472
8,-120.28173,35.59775,"unknown",1947,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",16.1,NA,"female",14.6,104,6.07759796051836,93.2076166137476,"Summer",115473
9,-120.17411,35.285637,"unknown",1947,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",17.4,NA,"undetermined",15.1,136,6.31637482335326,101.144960479023,"Fall",115474
3,-119.4254927,34.0108815,"unknown",1950,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",17.6,NA,"male",14.7,168,2.48210260330498,110.152533811117,"Spring",115475
3,-119.4254927,34.0108815,"unknown",1950,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",17.2,NA,"female",14.7,168,2.48210260330498,110.152533811117,"Spring",115476
1,-118.369409,29.019935,"unknown",1950,"Salpinctes obsoletus guadeloupensis","Salpinctes_obsoletus",16.3,NA,"female",-9999,-9999,0,0,"Winter",115477
1,-118.369409,29.019935,"unknown",1950,"Salpinctes obsoletus guadeloupensis","Salpinctes_obsoletus",16.5,NA,"male",-9999,-9999,0,0,"Winter",115478
1,-118.369409,29.019935,"unknown",1950,"Salpinctes obsoletus guadeloupensis","Salpinctes_obsoletus",16.7,NA,"female",-9999,-9999,0,0,"Winter",115479
1,-118.369409,29.019935,"unknown",1950,"Salpinctes obsoletus guadeloupensis","Salpinctes_obsoletus",16.3,NA,"undetermined",-9999,-9999,0,0,"Winter",115480
2,-115.583333,28.316667,"unknown",1950,"Salpinctes obsoletus tenuirostris","Salpinctes_obsoletus",15.8,NA,"female",19.4,35,3.64737348421208,118.280820527414,"Winter",115481
2,-115.583333,28.316667,"unknown",1950,"Salpinctes obsoletus tenuirostris","Salpinctes_obsoletus",15.7,NA,"male",19.4,35,3.64737348421208,118.280820527414,"Winter",115482
3,-105.11826,30.96872,"unknown",1950,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",17,NA,"female",15.3,276,6.25301745341617,135.170931102904,"Spring",115483
8,-116.3164598,34.0141366,"unknown",1950,"Salpinctes obsoletus obsoletus","Salpinctes_obsoletus",15.4,NA,"male",13.6,86,5.80336892753605,103.823112813695,"Summer",115484
