"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
1,-82.226234,30.816062,NA,1936,"Sciurus carolinensis","Sciurus_carolinensis",363,435,"male",20,1207,6.51834241803757,49.905492386405,"Winter",115791
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",566,465,"female",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115792
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",600,483,"male",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115793
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",515.3,480,"male",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115794
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",557,405,"male",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115795
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",550,493,"female",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115796
11,-76.3857,42.3443,NA,1995,"Sciurus carolinensis","Sciurus_carolinensis",536,465,"female",7.9,855,10.5385403796414,53.768654830872,"Fall",115797
3,-76.498255,42.446719,NA,2006,"Sciurus carolinensis","Sciurus_carolinensis",658.7,469,"female",10.5,1052,8.50049463801425,49.0573292375431,"Spring",115798
4,-76.38849,42.42766,"adult",2010,"Sciurus carolinensis","Sciurus_carolinensis",583.5,440,"male",9.2,1033,10.1310952472618,47.3652892216942,"Spring",115799
1,-76.490741,42.465699,"adult",1947,"Sciurus carolinensis leucotis","Sciurus_carolinensis",455,476,"male",8.9,960,10.3733450669872,56.8690681222307,"Winter",115800
5,-76.655259,42.276659,NA,1949,"Sciurus carolinensis leucotis","Sciurus_carolinensis",747,489,"female",9.4,838,9.49884761750635,36.7417764160875,"Spring",115801
6,-76.485893,42.455335,NA,1949,"Sciurus carolinensis leucotis","Sciurus_carolinensis",480,484,"female",10.3,750,9.46806434411186,38.0743769721604,"Summer",115802
7,-76.3652,42.4502,NA,1949,"Sciurus carolinensis leucotis","Sciurus_carolinensis",643,427,"male",9,850,9.61011146783649,37.275819438081,"Summer",115803
4,-76.38849,42.42766,"immature",1925,"Sciurus carolinensis leucotis","Sciurus_carolinensis",91.6,NA,"male",7.3,917,9.48427726036703,37.3235319588728,"Spring",115804
9,-106.95556,44.79722,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",568.8,463,"male",5.7,387,9.80059908496631,88.1932319665021,"Fall",115805
5,-122.3053,47.6564,"unknown",1964,"Sciurus carolinensis","Sciurus_carolinensis",641.9,NA,"female",10.3,1000,5.05179236119281,72.2329564672525,"Spring",115807
5,-122.30664,47.65612,"unknown",1964,"Sciurus carolinensis","Sciurus_carolinensis",663,NA,"female",10.3,1000,5.05179236119281,72.3973458893773,"Spring",115808
4,-122.3053,47.6491628,"unknown",1976,"Sciurus carolinensis","Sciurus_carolinensis",628.6,430,"male",11.1,722,4.65165333917724,56.4613034553648,"Spring",115809
6,-122.3160117,47.6491628,"unknown",1975,"Sciurus carolinensis","Sciurus_carolinensis",560,486,"male",10.6,1119,4.92894973138756,71.2001216879993,"Summer",115810
6,-122.3160117,47.6491628,"unknown",1975,"Sciurus carolinensis","Sciurus_carolinensis",520,478,"male",10.6,1119,4.92894973138756,71.2001216879993,"Summer",115811
9,-122.3128743,47.6512825,"unknown",1976,"Sciurus carolinensis","Sciurus_carolinensis",645.1,470,"female",11,723,4.63611481804114,56.4733910965653,"Fall",115812
6,-122.3053,47.6491628,"unknown",1976,"Sciurus carolinensis","Sciurus_carolinensis",671.3,428,"male",11.1,722,4.65165333917724,56.4613034553648,"Summer",115813
9,-79.39469,43.6626,"unknown",1974,"Sciurus carolinensis","Sciurus_carolinensis",570,480,"male",7.6,802,9.74786301367296,44.3212185759727,"Fall",115814
9,-122.3095,47.66128,"unknown",1977,"Sciurus carolinensis","Sciurus_carolinensis",700.2,453,"female",10.6,932,5.12151581491498,56.5307459247828,"Fall",115815
5,-122.3075,47.6358,"unknown",1977,"Sciurus carolinensis","Sciurus_carolinensis",365.4,422,"female",10.8,919,5.12903204288779,57.5536689991208,"Spring",115816
8,-122.3133,47.6817,"unknown",1985,"Sciurus carolinensis","Sciurus_carolinensis",769.8,508,"female",9.7,720,6.24252280004574,74.5487122928569,"Summer",115817
11,-122.3053,47.6564,"unknown",1979,"Sciurus carolinensis","Sciurus_carolinensis",684.3,452,"female",11.1,831,5.55116012990787,85.582175979923,"Fall",115818
5,-122.3053,47.6564,"unknown",1979,"Sciurus carolinensis","Sciurus_carolinensis",654.9,460,"female",11.1,831,5.55116012990787,85.582175979923,"Spring",115819
9,-122.1431,47.6331,"unknown",1986,"Sciurus carolinensis","Sciurus_carolinensis",621.1,470,"male",11.3,1199,4.92569023005144,74.8702102185619,"Fall",115820
5,-122.3102,47.6611,"unknown",1992,"Sciurus carolinensis","Sciurus_carolinensis",582.9,498,"male",11.7,800,4.95166791611828,78.6666003984759,"Spring",115821
7,-122.30664,47.65612,"unknown",1992,"Sciurus carolinensis","Sciurus_carolinensis",667,492,"female",11.9,792,4.9536870259954,79.3102190801025,"Summer",115822
12,-122.2428,47.7864484,"unknown",1990,"Sciurus carolinensis","Sciurus_carolinensis",495,448,"male",10.6,1181,5.81853751280155,71.8533742115685,"Winter",115823
12,-122.2428,47.7864484,"unknown",1990,"Sciurus carolinensis","Sciurus_carolinensis",824.1,479,"male",10.6,1181,5.81853751280155,71.8533742115685,"Winter",115824
12,-122.2428,47.7864484,"unknown",1990,"Sciurus carolinensis","Sciurus_carolinensis",510.3,450,"male",10.6,1181,5.81853751280155,71.8533742115685,"Winter",115825
11,-93.5306,35.9102,"unknown",1976,"Sciurus carolinensis carolinensis","Sciurus_carolinensis",523,465,"female",13.7,1040,7.52985975160148,55.695673851773,"Fall",115826
9,-86.9086,40.4267,"unknown",1962,"Sciurus carolinensis carolinensis","Sciurus_carolinensis",364,452,"male",10.1,838,10.7809139714871,70.7893475419673,"Fall",115827
1,-86.9086,40.4267,"unknown",1964,"Sciurus carolinensis carolinensis","Sciurus_carolinensis",493,485,"female",10.9,756,10.0317526188628,73.3643570070849,"Winter",115828
5,-122.5985,47.0902,"unknown",1992,"Sciurus carolinensis","Sciurus_carolinensis",728.3,492,"female",11.6,838,5.04026213844503,78.6765998841743,"Spring",115829
7,-122.49716,47.26706,"unknown",1985,"Sciurus carolinensis","Sciurus_carolinensis",675.9,465,"male",9.4,727,6.42841702556278,78.9654871254272,"Summer",115830
9,-122.48855,47.25787,"unknown",1986,"Sciurus carolinensis","Sciurus_carolinensis",573,472,"male",11,1104,4.83932752653619,78.8024737408342,"Fall",115831
9,-122.48855,47.25787,"unknown",1986,"Sciurus carolinensis","Sciurus_carolinensis",688.9,481,"female",11,1104,4.83932752653619,78.8024737408342,"Fall",115832
11,-122.34355,47.66834,"unknown",1978,"Sciurus carolinensis","Sciurus_carolinensis",391.8,447,"female",10.7,910,5.20619531874955,57.5867186834191,"Fall",115833
7,-73.45397496,41.72990416,NA,2008,"Sciurus carolinensis pennsylvanicus","Sciurus_carolinensis",430,NA,"male male",9.3,1379,9.28434247276107,46.623959120874,"Summer",115834
9,-77.27269,42.706,NA,1938,"Sciurus carolinensis","Sciurus_carolinensis",540,502,"female",8.9,901,9.07271968178464,51.6713542346058,"Fall",115835
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",579.3,485,"female",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115836
3,-76.655259,42.276659,NA,1994,"Sciurus carolinensis","Sciurus_carolinensis",512,475,"female",7.1,1226,10.6799266539304,53.6758478406825,"Spring",115837
3,-76.655259,42.276659,NA,1994,"Sciurus carolinensis","Sciurus_carolinensis",585,490,"male",7.1,1226,10.6799266539304,53.6758478406825,"Spring",115838
3,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",511.2,468,"male",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115839
4,-76.655259,42.276659,NA,1993,"Sciurus carolinensis","Sciurus_carolinensis",560,483,"female",7.1,1020,10.2401578763871,47.9865543775618,"Spring",115840
8,-76.490741,42.465699,"juvenile",2008,"Sciurus carolinensis","Sciurus_carolinensis",68.5,204,"female ?",8.9,1014,9.43190507444458,38.4168546530195,"Summer",115841
10,-76.655259,42.276659,NA,2012,"Sciurus carolinensis","Sciurus_carolinensis",675,496.5,"female",9.6,1077,8.72503798724039,33.8959977213799,"Fall",115842
6,-76.495684,42.440612,NA,2013,"Sciurus carolinensis","Sciurus_carolinensis",633,485,"undetermined",9.4,1007,9.66306228518024,44.5398552190238,"Summer",115843
4,-76.45442,42.4566,NA,1950,"Sciurus carolinensis leucotis","Sciurus_carolinensis",465,442,"male",8.1,988,9.41502667403164,23.5134886763006,"Spring",115844
6,-76.45442,42.4566,NA,1950,"Sciurus carolinensis leucotis","Sciurus_carolinensis",568,484,"female",8.1,988,9.41502667403164,23.5134886763006,"Summer",115845
10,-122.85,48.55,NA,1992,"Sciurus carolinensis","Sciurus_carolinensis",710,483,"male",11.3,658,4.10921912511146,56.5600443140942,"Fall",115847
9,-122.2413333333,47.7853333333,NA,2001,"Sciurus carolinensis","Sciurus_carolinensis",575,484,"female",9.9,1060,4.48195033304462,60.5695277737877,"Fall",115848
9,-122.2413333333,47.7853333333,NA,2001,"Sciurus carolinensis","Sciurus_carolinensis",590,460,"male",9.9,1060,4.48195033304462,60.5695277737877,"Fall",115849
10,-122.3160117,47.6564,"unknown",1974,"Sciurus carolinensis","Sciurus_carolinensis",395,448,"female",11,1016,5.06780539436466,77.6449343863577,"Fall",115850
