"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.128922,47.61915,"Ad",1959,"Setophaga ruticilla","Setophaga_ruticilla",8.3,140,"male",8.4,569,7.73627327868039,65.2971480253113,"Spring",116305
5,-76.5095,42.4381,NA,1941,"Setophaga ruticilla","Setophaga_ruticilla",9,NA,"male",9.6,683,10.4461787996928,46.2294395870154,"Spring",116306
7,-76.45219,42.477118,"imm.",1990,"Setophaga ruticilla","Setophaga_ruticilla",8.19999980926514,129,"male",9.5,1120,8.15614195040471,41.4266121345918,"Summer",116307
5,-76.46632,42.44127,"imm.",1954,"Setophaga ruticilla","Setophaga_ruticilla",8.19999980926514,NA,"male",8.7,898,9.41855036133963,31.0989493282767,"Spring",116308
5,-76.46632,42.44127,NA,1954,"Setophaga ruticilla","Setophaga_ruticilla",7.69999980926514,NA,"female",8.7,898,9.41855036133963,31.0989493282767,"Spring",116309
5,-76.46632,42.44127,NA,1952,"Setophaga ruticilla","Setophaga_ruticilla",8.5,NA,"male",9,873,9.24361778185196,39.4320112942418,"Spring",116310
6,-76.479382,42.448207,NA,1995,"Setophaga ruticilla","Setophaga_ruticilla",7.09999990463257,116,"undetermined",8.5,787,10.5171144792522,55.0991996000785,"Summer",116311
7,-76.4506,42.4801,NA,2003,"Setophaga ruticilla","Setophaga_ruticilla",8.10000038146973,NA,"male",7.4,1112,10.2071387674599,33.8459825009096,"Summer",116312
5,-76.451,42.4799,NA,2007,"Setophaga ruticilla","Setophaga_ruticilla",8.3,NA,"male",8.5,984,10.3389342103556,29.2580911832691,"Spring",116313
5,-103.9333,44.4833,NA,2012,"Setophaga ruticilla","Setophaga_ruticilla",9.5,NA,NA,8.7,436,9.44539329755276,84.4517033427315,"Spring",116314
5,-103.9333,44.4833,NA,2012,"Setophaga ruticilla","Setophaga_ruticilla",7.9,NA,"male",8.7,436,9.44539329755276,84.4517033427315,"Spring",116315
6,-104.00402,44.560435,NA,2012,"Setophaga ruticilla","Setophaga_ruticilla",10.3,NA,NA,9.4,339,10.1182403548635,88.3232433068409,"Summer",116316
9,-95.6966263,39.0483341,NA,1954,"Setophaga ruticilla","Setophaga_ruticilla",9.1,NA,"female",13.8,845,10.2905369886684,89.9334865400063,"Fall",116318
5,-95.3738182,38.8378412,"snco",1957,"Setophaga ruticilla","Setophaga_ruticilla",9.5,NA,"male",12.5,1054,10.0917908432667,65.6524842450367,"Spring",116319
5,-101.78469,37.1521231,NA,1950,"Setophaga ruticilla","Setophaga_ruticilla",7.5,NA,"male",13.5,457,8.51972310689625,120.003987155499,"Spring",116320
9,-77.2878957,38.9660325,"adult",1969,"Setophaga ruticilla","Setophaga_ruticilla",8.8,NA,"female",12.4,1036,9.49080495995354,62.0693284642199,"Fall",116321
9,-77.2878957,38.9660325,"adult",1969,"Setophaga ruticilla","Setophaga_ruticilla",9.8,NA,"male",12.4,1036,9.49080495995354,62.0693284642199,"Fall",116322
9,-91.4907073,44.8098524,NA,1974,"Setophaga ruticilla","Setophaga_ruticilla",8.6,NA,"undetermined",6.4,564,11.2195851487072,73.5477810807178,"Fall",116323
9,-91.4907073,44.8098524,NA,1974,"Setophaga ruticilla","Setophaga_ruticilla",8.9,NA,"undetermined",6.4,564,11.2195851487072,73.5477810807178,"Fall",116324
9,-91.4907073,44.8098524,NA,1974,"Setophaga ruticilla","Setophaga_ruticilla",7.2,NA,"undetermined",6.4,564,11.2195851487072,73.5477810807178,"Fall",116325
9,-79.3501282,35.0635845,NA,1988,"Setophaga ruticilla","Setophaga_ruticilla",8.9,NA,"undetermined",15.3,1073,8.32393409319648,48.5252028931618,"Fall",116326
