"sp","decimallongitude","decimallatitude"
"Accipiter_cooperii",-105.721435,53.13359
"Accipiter_cooperii",-118.704933,47.756901
"Accipiter_cooperii",-120.917029,38.460058
"Accipiter_cooperii",-80.010501,33.078381
"Accipiter_cooperii",-118.329794,36.038523
"Accipiter_cooperii",-123.286858,38.603188
"Accipiter_cooperii",-97.20681,30.646659
"Accipiter_cooperii",-97.72768,31.241866
"Accipiter_cooperii",-94.927354,41.71282
"Accipiter_cooperii",-89.93621,41.67143
"Accipiter_cooperii",-111.909994,33.516646
"Accipiter_cooperii",-123.597393,44.590834
"Accipiter_cooperii",-97.202268,29.246528
"Accipiter_cooperii",-98.638966,31.109627
"Accipiter_cooperii",-81.706009,35.718643
"Accipiter_cooperii",-113.53838,44.88726
"Accipiter_cooperii",-72.738333,46.510015
"Accipiter_cooperii",-94.43464,41.1984
"Accipiter_cooperii",-85.772517,41.896657
"Accipiter_cooperii",-99.756889,29.304963
"Accipiter_cooperii",-91.954708,46.680301
"Accipiter_cooperii",-118.350735,49.897178
"Accipiter_cooperii",-98.176138,38.754497
"Accipiter_cooperii",-75.30276,44.146618
"Accipiter_cooperii",-75.461225,44.797307
"Accipiter_cooperii",-121.832027,43.827344
"Accipiter_cooperii",-77.027078,38.501103
"Accipiter_cooperii",-109.811783,40.232364
"Accipiter_cooperii",-116.39253,47.113972
"Accipiter_cooperii",-115.775,38.5536
"Accipiter_cooperii",-85.140171,39.643281
"Accipiter_cooperii",-114.635467,31.849565
"Accipiter_cooperii",-80.50126,40.95411
"Accipiter_cooperii",-92.52352,34.870956
"Accipiter_cooperii",-106.47206,28.80393
"Accipiter_cooperii",-84.04129,42.90816
"Accipiter_cooperii",-85.336304,44.656932
"Accipiter_cooperii",-100.2584,19.4436
"Accipiter_cooperii",-89.769459,42.583612
"Accipiter_cooperii",-94.729056,38.932106
"Accipiter_cooperii",-81.920414,30.116622
"Accipiter_cooperii",-80.646515,33.452068
"Accipiter_cooperii",-97.653351,38.900919
"Accipiter_cooperii",-92.83189,43.60356
"Accipiter_cooperii",-110.944233,44.919841
"Accipiter_cooperii",-91.650739,43.439241
"Accipiter_cooperii",-80.083723,44.201113
"Accipiter_cooperii",-108.028564,29.13297
"Accipiter_cooperii",-85.892341,31.78998
"Accipiter_cooperii",-120.831671,49.119051
"Accipiter_cooperii",-110.619965,33.823653
"Accipiter_cooperii",-77.11338,42.497542
"Accipiter_cooperii",-81.22123,37.261986
"Accipiter_cooperii",-114.46523,51.02594
"Accipiter_cooperii",-121.474028,35.932776
"Accipiter_cooperii",-81.678153,38.471618
"Accipiter_cooperii",-96.26236,19.254364
"Accipiter_cooperii",-93.187,30.812
"Accipiter_cooperii",-82.612767,27.461502
"Accipiter_cooperii",-83.565617,35.100389
"Accipiter_cooperii",-100.542755,31.905542
"Accipiter_cooperii",-120.429821,36.473929
"Accipiter_cooperii",-76.330261,38.9857
"Accipiter_cooperii",-97.75392,26.686
"Accipiter_cooperii",-111.68456,51.48959
"Accipiter_cooperii",-100.093657,20.095937
"Accipiter_cooperii",-105.117187,48.107431
"Accipiter_cooperii",-120.722848,44.91062
"Accipiter_cooperii",-85.65568,45.738507
"Accipiter_cooperii",-114.633701,53.196164
"Accipiter_cooperii",-105.40625,40.854167
"Accipiter_cooperii",-117.532339,36.074771
"Accipiter_cooperii",-97.946979,41.614066
"Accipiter_cooperii",-115.408333,30.941667
"Accipiter_cooperii",-99.224396,29.64841
"Accipiter_cooperii",-111.967644,38.603457
"Accipiter_cooperii",-96.956427,34.501411
"Accipiter_cooperii",-87.451944,35.312324
"Accipiter_cooperii",-95.785847,30.8511
"Accipiter_cooperii",-102.6275,21.1206
"Accipiter_cooperii",-90.984009,31.96096
"Accipiter_cooperii",-88.4755,45.43353
"Accipiter_cooperii",-111.05794,32.42024
"Accipiter_cooperii",-82.120732,27.67722
"Accipiter_cooperii",-99.001585,37.956746
"Accipiter_cooperii",-74.804504,44.782337
"Accipiter_cooperii",-98.174601,27.216833
"Accipiter_cooperii",-87.515502,32.52952
"Accipiter_cooperii",-105.59902,36.372192
"Accipiter_cooperii",-99.322414,38.539573
"Accipiter_cooperii",-78.84778,42.329089
"Accipiter_cooperii",-92.138729,44.114304
"Accipiter_cooperii",-85.115036,34.913875
"Accipiter_cooperii",-112.13317,37.613913
"Accipiter_cooperii",-77.362633,40.913188
"Accipiter_cooperii",-113.532715,28.87354
"Accipiter_cooperii",-78.185921,39.702168
"Accipiter_cooperii",-83.666296,36.608431
"Accipiter_cooperii",-79.82449,35.67799
"Accipiter_cooperii",-86.695175,35.586131
"Accipiter_cooperii",-122.474599,41.719216
"Accipiter_cooperii",-86.467552,35.713068
"Accipiter_cooperii",-69.397888,45.170178
"Accipiter_cooperii",-82.783333,9.633333
"Accipiter_cooperii",-97.959595,49.468124
"Accipiter_cooperii",-101.436983,30.90875
"Accipiter_cooperii",-101.074424,34.424299
"Accipiter_cooperii",-95.942778,36.705833
"Accipiter_cooperii",-81.35112,27.171583
"Accipiter_cooperii",-109.296174,35.824232
"Accipiter_cooperii",-106.637421,50.432142
"Accipiter_cooperii",-98.572769,31.365094
"Accipiter_cooperii",-75.906585,38.799258
"Accipiter_cooperii",-90.80124,45.35307
"Accipiter_cooperii",-86.585301,48.77606
"Accipiter_cooperii",-72.609467,44.540732
"Accipiter_cooperii",-90.14647,38.869184
"Accipiter_cooperii",-99.779799,30.681594
"Accipiter_cooperii",-71.879398,42.863326
"Accipiter_cooperii",-101.05033,33.683851
"Accipiter_cooperii",-82.402782,42.69223
"Accipiter_cooperii",-103.259071,30.098688
"Accipiter_cooperii",-121.075644,38.633366
"Accipiter_cooperii",-80.592956,28.41254
"Accipiter_cooperii",-86.18459,42.662724
"Accipiter_cooperii",-119.590472,49.613758
"Accipiter_cooperii",-122.039415,47.37982
"Accipiter_cooperii",-91.130798,48.67142
"Accipiter_cooperii",-123.264434,44.119856
"Accipiter_cooperii",-113.420582,53.440276
"Accipiter_cooperii",-69.742026,45.902673
"Accipiter_cooperii",-102.271557,39.36244
"Accipiter_cooperii",-94.6844,39.660637
"Accipiter_cooperii",-124.262948,48.254107
"Accipiter_cooperii",-96.23137,34.575362
"Accipiter_cooperii",-100.195234,41.492507
"Accipiter_cooperii",-71.765839,41.336768
"Accipiter_cooperii",-105.840976,39.635704
"Accipiter_cooperii",-124.483659,42.904255
"Accipiter_cooperii",-72.716081,41.498607
"Accipiter_cooperii",-118.297648,34.041494
"Accipiter_cooperii",-76.901837,40.944474
"Accipiter_cooperii",-74.358258,39.774473
"Accipiter_cooperii",-70.005325,41.265012
"Accipiter_cooperii",-98.726449,47.979453
"Accipiter_cooperii",-86.53096,41.022772
"Accipiter_cooperii",-102.314416,38.104163
"Accipiter_cooperii",-121.277389,45.270296
"Accipiter_cooperii",-66.489258,45.39845
"Accipiter_cooperii",-119.914999,46.674913
"Accipiter_cooperii",-121.962919,43.031301
"Accipiter_cooperii",-104.578437,38.940996
"Accipiter_cooperii",-115.493259,40.201887
"Accipiter_cooperii",-76.431685,37.664247
"Accipiter_cooperii",-92.971614,16.754755
"Accipiter_cooperii",-95.889788,34.163807
"Accipiter_cooperii",-115.075386,49.499462
"Accipiter_cooperii",-92.21613,43.639336
"Accipiter_cooperii",-76.40076,41.52428
