"sp","decimallongitude","decimallatitude"
"Aimophila_ruficeps","-99.128008","20.0519"
"Aimophila_ruficeps","-111.417074","33.90832"
"Aimophila_ruficeps","-117.587187","33.748531"
"Aimophila_ruficeps","-110.30056","30.98194"
"Aimophila_ruficeps","-110.636573","31.787847"
"Aimophila_ruficeps","-103.519088","20.720249"
"Aimophila_ruficeps","-99.698733","29.448633"
"Aimophila_ruficeps","-99.50446","30.07707"
"Aimophila_ruficeps","-99.721019","29.504565"
"Aimophila_ruficeps","-110.86725","31.72775"
"Aimophila_ruficeps","-118.410816","33.757457"
"Aimophila_ruficeps","-107.914884","27.213597"
"Aimophila_ruficeps","-100.998693","25.355376"
"Aimophila_ruficeps","-107.975349","32.591081"
"Aimophila_ruficeps","-101.788333","19.818333"
"Aimophila_ruficeps","-98.33781","30.25304"
"Aimophila_ruficeps","-122.69733","38.45061"
"Aimophila_ruficeps","-122.02286","37.95115"
"Aimophila_ruficeps","-110.174269","31.408857"
"Aimophila_ruficeps","-99.831347","20.120177"
"Aimophila_ruficeps","-100.834117","25.247678"
"Aimophila_ruficeps","-103.933851","30.598611"
"Aimophila_ruficeps","-115.633056","30.827258"
"Aimophila_ruficeps","-122.624499","38.041302"
"Aimophila_ruficeps","-100.673937","20.161717"
"Aimophila_ruficeps","-100.867","25.433"
"Aimophila_ruficeps","-101.325","20.76"
"Aimophila_ruficeps","-118.157204","34.22149"
"Aimophila_ruficeps","-103.275561","29.270321"
"Aimophila_ruficeps","-98.2435","30.3031"
"Aimophila_ruficeps","-117.715201","34.112053"
"Aimophila_ruficeps","-100.526523","26.500978"
"Aimophila_ruficeps","-97.827762","30.696252"
"Aimophila_ruficeps","-104.053831","20.648286"
"Aimophila_ruficeps","-121.34","37.43"
"Aimophila_ruficeps","-118.51141","34.400678"
"Aimophila_ruficeps","-98.583069","34.734277"
"Aimophila_ruficeps","-100.01235","29.66943"
"Aimophila_ruficeps","-99.232507","19.739723"
"Aimophila_ruficeps","-109.21895","31.934813"
"Aimophila_ruficeps","-97.965431","30.309393"
"Aimophila_ruficeps","-100.181999","29.431507"
"Aimophila_ruficeps","-100.353","25.614"
"Aimophila_ruficeps","-117.783382","33.600279"
"Aimophila_ruficeps","-122.6975","38.0617"
"Aimophila_ruficeps","-122.642891","37.938727"
"Aimophila_ruficeps","-99.192638","19.314869"
"Aimophila_ruficeps","-121.78673","37.215497"
"Aimophila_ruficeps","-111.511016","33.730086"
"Aimophila_ruficeps","-121.476909","37.389902"
"Aimophila_ruficeps","-97.778664","30.327249"
"Aimophila_ruficeps","-121.58638","37.569073"
"Aimophila_ruficeps","-121.748557","37.620839"
"Aimophila_ruficeps","-98.36661","30.69616"
"Aimophila_ruficeps","-121.862647","37.454308"
"Aimophila_ruficeps","-117.047321","32.921646"
"Aimophila_ruficeps","-117.102921834023","32.7937908480622"
"Aimophila_ruficeps","-116.596371","31.866743"
"Aimophila_ruficeps","-121.146648","38.972831"
"Aimophila_ruficeps","-100.938583","33.766467"
"Aimophila_ruficeps","-102.604802","29.051937"
"Aimophila_ruficeps","-121.19002","36.51775"
"Aimophila_ruficeps","-98.851389","17.944722"
"Aimophila_ruficeps","-107.73824","33.33452"
"Aimophila_ruficeps","-118.628333","34.109167"
"Aimophila_ruficeps","-98.672962","34.720988"
"Aimophila_ruficeps","-96.472192","17.267056"
"Aimophila_ruficeps","-122.618327","38.050262"
"Aimophila_ruficeps","-122.327968","39.307186"
"Aimophila_ruficeps","-121.14366","38.74197"
"Aimophila_ruficeps","-98.406773","31.291393"
"Aimophila_ruficeps","-99.34901","30.157881"
"Aimophila_ruficeps","-117.171571","33.455362"
"Aimophila_ruficeps","-110.700438","31.416645"
"Aimophila_ruficeps","-104.847101","31.894011"
"Aimophila_ruficeps","-98.584442","32.599325"
"Aimophila_ruficeps","-110.2367","32.337"
"Aimophila_ruficeps","-104.854717","23.9499"
"Aimophila_ruficeps","-121.179761","39.06857"
"Aimophila_ruficeps","-116.418626","33.270098"
"Aimophila_ruficeps","-118.696032","34.234796"
"Aimophila_ruficeps","-102.850656","37.149577"
"Aimophila_ruficeps","-100.106049","30.593001"
"Aimophila_ruficeps","-99.77204","30.48939"
"Aimophila_ruficeps","-103.857968","30.632467"
"Aimophila_ruficeps","-118.06532","33.977493"
"Aimophila_ruficeps","-119.682121","34.482773"
"Aimophila_ruficeps","-99.249458","30.649543"
"Aimophila_ruficeps","-117.031458","32.572437"
"Aimophila_ruficeps","-99.485994","30.5995"
"Aimophila_ruficeps","-99.28334","30.886174"
"Aimophila_ruficeps","-121.500893","36.756765"
"Aimophila_ruficeps","-100.968647","22.098683"
"Aimophila_ruficeps","-110.685097","32.377102"
"Aimophila_ruficeps","-99.763879","25.042291"
"Aimophila_ruficeps","-98.630136","29.615497"
"Aimophila_ruficeps","-96.948663","19.469117"
