"sp","decimallongitude","decimallatitude"
"Cistothorus_palustris","-121.671932","38.556388"
"Cistothorus_palustris","-88.01302","30.726195"
"Cistothorus_palustris","-118.1118","34.7919"
"Cistothorus_palustris","-71.31393","42.52323"
"Cistothorus_palustris","-80.32374","32.494128"
"Cistothorus_palustris","-120.09288","37.222028"
"Cistothorus_palustris","-70.88009","42.5584"
"Cistothorus_palustris","-87.622833","41.899722"
"Cistothorus_palustris","-119.484076","47.396226"
"Cistothorus_palustris","-120.27107","40.38267"
"Cistothorus_palustris","-121.774353","36.905319"
"Cistothorus_palustris","-98.632593","38.471515"
"Cistothorus_palustris","-90.290831","43.194313"
"Cistothorus_palustris","-118.386955","37.351738"
"Cistothorus_palustris","-74.7288","39.28694"
"Cistothorus_palustris","-115.68142","33.110554"
"Cistothorus_palustris","-89.48455","43.112381"
"Cistothorus_palustris","-81.416459","31.032343"
"Cistothorus_palustris","-77.713337","43.303976"
"Cistothorus_palustris","-80.08706","42.16083"
"Cistothorus_palustris","-70.986786","42.799431"
"Cistothorus_palustris","-122.49979","37.767662"
"Cistothorus_palustris","-111.944933","41.71912"
"Cistothorus_palustris","-123.774365","39.303886"
"Cistothorus_palustris","-78.454914","43.12047"
"Cistothorus_palustris","-77.153656","43.842142"
"Cistothorus_palustris","-74.371948","39.417629"
"Cistothorus_palustris","-75.001114","39.217426"
"Cistothorus_palustris","-83.190365","42.004599"
"Cistothorus_palustris","-74.639804","41.158964"
"Cistothorus_palustris","-72.95787","43.186353"
"Cistothorus_palustris","-76.75624","42.98337"
"Cistothorus_palustris","-73.060352","43.610479"
"Cistothorus_palustris","-74.501381","40.705498"
"Cistothorus_palustris","-74.115293","39.921849"
"Cistothorus_palustris","-119.433983","48.947444"
"Cistothorus_palustris","-75.710928","38.009867"
"Cistothorus_palustris","-122.276931","47.411739"
"Cistothorus_palustris","-79.036331","44.686544"
"Cistothorus_palustris","-82.51831","41.946724"
"Cistothorus_palustris","-123.210209","49.219613"
"Cistothorus_palustris","-122.049522","36.951881"
"Cistothorus_palustris","-122.124088","37.475846"
"Cistothorus_palustris","-95.44486","29.042002"
"Cistothorus_palustris","-79.862994","32.774205"
"Cistothorus_palustris","-116.805096","43.995778"
"Cistothorus_palustris","-122.060165","39.346512"
"Cistothorus_palustris","-123.046115","49.018181"
"Cistothorus_palustris","-110.831795","54.195014"
"Cistothorus_palustris","-123.316126","44.420969"
"Cistothorus_palustris","-73.347731","44.072972"
"Cistothorus_palustris","-73.117876","43.813906"
"Cistothorus_palustris","-86.309187","39.878272"
"Cistothorus_palustris","-119.284573","50.7082"
"Cistothorus_palustris","-88.592469","43.530851"
"Cistothorus_palustris","-88.672199","44.197098"
"Cistothorus_palustris","-93.45583","45.07246"
"Cistothorus_palustris","-114.425368","36.528881"
"Cistothorus_palustris","-96.762171","33.756137"
"Cistothorus_palustris","-115.7868","30.041161"
"Cistothorus_palustris","-70.11616","41.66681"
"Cistothorus_palustris","-73.825282","40.596326"
"Cistothorus_palustris","-87.555799","41.666629"
"Cistothorus_palustris","-78.930931","43.856193"
"Cistothorus_palustris","-117.21674","32.905713"
"Cistothorus_palustris","-70.719542","43.050128"
"Cistothorus_palustris","-97.073049","28.009861"
"Cistothorus_palustris","-82.327808","29.620539"
"Cistothorus_palustris","-75.468703","39.263244"
"Cistothorus_palustris","-95.623026","29.373574"
"Cistothorus_palustris","-122.98233","45.490946"
"Cistothorus_palustris","-121.424847","38.282425"
"Cistothorus_palustris","-80.56545","32.61154"
"Cistothorus_palustris","-88.292313","42.908286"
"Cistothorus_palustris","-76.480658","39.220052"
"Cistothorus_palustris","-82.031581","41.340055"
"Cistothorus_palustris","-111.747694","40.296025"
"Cistothorus_palustris","-105.037227","40.271251"
"Cistothorus_palustris","-89.916044","43.22706"
"Cistothorus_palustris","-74.931687","38.932529"
"Cistothorus_palustris","-72.446873","43.09653"
"Cistothorus_palustris","-85.405569","41.731867"
"Cistothorus_palustris","-85.247941","41.028025"
"Cistothorus_palustris","-94.500833","29.51006"
"Cistothorus_palustris","-121.993647","47.809047"
"Cistothorus_palustris","-112.262308","41.445995"
"Cistothorus_palustris","-114.722071","29.73252"
"Cistothorus_palustris","-81.156313","32.829523"
"Cistothorus_palustris","-89.812","29.312"
"Cistothorus_palustris","-106.338531","39.194959"
"Cistothorus_palustris","-81.051983","32.146655"
"Cistothorus_palustris","-119.247778","50.338056"
"Cistothorus_palustris","-111.50708","45.90725"
"Cistothorus_palustris","-73.857651","40.605091"
"Cistothorus_palustris","-120.475817","46.332262"
"Cistothorus_palustris","-111.710186","24.681961"
"Cistothorus_palustris","-70.8089","42.78989"
"Cistothorus_palustris","-123.24995","44.046512"
"Cistothorus_palustris","-123.993244","46.899616"
"Cistothorus_palustris","-73.204965","41.729001"
"Cistothorus_palustris","-121.554966","36.903289"
"Cistothorus_palustris","-122.800916","49.232648"
"Cistothorus_palustris","-95.216746","38.920822"
"Cistothorus_palustris","-75.045761","44.920257"
"Cistothorus_palustris","-122.946215","38.112226"
"Cistothorus_palustris","-71.383428","42.356144"
"Cistothorus_palustris","-93.508828","41.757928"
"Cistothorus_palustris","-122.497401","47.180568"
"Cistothorus_palustris","-114.985472","36.087693"
"Cistothorus_palustris","-95.25713","40.063753"
"Cistothorus_palustris","-121.492739","38.12345"
"Cistothorus_palustris","-114.468518","42.585716"
"Cistothorus_palustris","-86.060972","42.782236"
"Cistothorus_palustris","-76.764116","43.092118"
"Cistothorus_palustris","-74.016416","40.826605"
"Cistothorus_palustris","-93.693294","44.87698"
"Cistothorus_palustris","-104.50766","40.36295"
"Cistothorus_palustris","-88.2572","41.8349"
"Cistothorus_palustris","-81.702966","26.286829"
"Cistothorus_palustris","-89.304031","43.402721"
"Cistothorus_palustris","-121.817962","39.323625"
"Cistothorus_palustris","-75.130102","39.246307"
"Cistothorus_palustris","-119.235578","46.240657"
"Cistothorus_palustris","-89.458219","43.206206"
"Cistothorus_palustris","-89.335205","41.222736"
"Cistothorus_palustris","-88.107519","42.067423"
"Cistothorus_palustris","-75.613737","39.42776"
"Cistothorus_palustris","-76.720995","43.056675"
"Cistothorus_palustris","-107.878876","37.141846"
"Cistothorus_palustris","-116.942092","32.601865"
"Cistothorus_palustris","-97.643266","27.863285"
"Cistothorus_palustris","-72.152624","42.687798"
"Cistothorus_palustris","-122.295663","47.64615"
"Cistothorus_palustris","-121.9587","37.542054"
"Cistothorus_palustris","-119.375038","50.516483"
"Cistothorus_palustris","-121.782915","42.21945"
"Cistothorus_palustris","-122.22084","48.44597"
"Cistothorus_palustris","-88.797986","30.500484"
"Cistothorus_palustris","-93.8584","29.70918"
