"sp","decimallongitude","decimallatitude"
"Coccothraustes_vespertinus","-114.076114","46.674604"
"Coccothraustes_vespertinus","-111.861129","41.634594"
"Coccothraustes_vespertinus","-123.20825","44.70764"
"Coccothraustes_vespertinus","-109.342935","37.872486"
"Coccothraustes_vespertinus","-121.249763","40.955547"
"Coccothraustes_vespertinus","-121.6853","46.62392"
"Coccothraustes_vespertinus","-57.915502","49.580932"
"Coccothraustes_vespertinus","-113.092454","55.25909"
"Coccothraustes_vespertinus","-106.20286","35.809113"
"Coccothraustes_vespertinus","-122.179298","46.499219"
"Coccothraustes_vespertinus","-105.891724","35.663991"
"Coccothraustes_vespertinus","-113.355303","53.915866"
"Coccothraustes_vespertinus","-122.8527","49.16586"
"Coccothraustes_vespertinus","-76.614189","37.032021"
"Coccothraustes_vespertinus","-88.10093","45.78556"
"Coccothraustes_vespertinus","-85.804153","44.528467"
"Coccothraustes_vespertinus","-77.48987","40.5627"
"Coccothraustes_vespertinus","-120.955905","39.936268"
"Coccothraustes_vespertinus","-68.772869","44.826989"
"Coccothraustes_vespertinus","-120.242084","39.674061"
"Coccothraustes_vespertinus","-106.802993","40.447425"
"Coccothraustes_vespertinus","-121.520887","44.031781"
"Coccothraustes_vespertinus","-122.885706","50.211886"
"Coccothraustes_vespertinus","-119.577427","39.054918"
"Coccothraustes_vespertinus","-113.79829","49.082544"
"Coccothraustes_vespertinus","-122.355992","48.775544"
"Coccothraustes_vespertinus","-120.48016","49.5265"
"Coccothraustes_vespertinus","-111.936285","41.975436"
"Coccothraustes_vespertinus","-75.219902","45.372092"
"Coccothraustes_vespertinus","-121.695052","42.114039"
"Coccothraustes_vespertinus","-117.05987","51.417905"
"Coccothraustes_vespertinus","-116.545629","48.305363"
"Coccothraustes_vespertinus","-122.869291","45.5572"
"Coccothraustes_vespertinus","-120.667906","47.580984"
"Coccothraustes_vespertinus","-123.252268","43.394346"
"Coccothraustes_vespertinus","-71.98423","42.97258"
"Coccothraustes_vespertinus","-76.233333","43.516667"
"Coccothraustes_vespertinus","-94.905739","47.39625"
"Coccothraustes_vespertinus","-77.827663","44.583499"
"Coccothraustes_vespertinus","-73.43707","43.95036"
"Coccothraustes_vespertinus","-111.7477","34.988"
"Coccothraustes_vespertinus","-84.369711","34.94659"
"Coccothraustes_vespertinus","-107.23683","39.182169"
"Coccothraustes_vespertinus","-123.54365","44.99142"
"Coccothraustes_vespertinus","-119.99186","51.668736"
"Coccothraustes_vespertinus","-116.14759","43.546668"
"Coccothraustes_vespertinus","-117.984023","37.373397"
"Coccothraustes_vespertinus","-122.1175","42.468045"
"Coccothraustes_vespertinus","-111.73077","41.05994"
"Coccothraustes_vespertinus","-122.061136","37.367252"
"Coccothraustes_vespertinus","-123.278875","44.565462"
"Coccothraustes_vespertinus","-121.219299","40.307403"
"Coccothraustes_vespertinus","-122.796581","45.519647"
"Coccothraustes_vespertinus","-105.880222","35.824425"
"Coccothraustes_vespertinus","-123.668359","43.627326"
"Coccothraustes_vespertinus","-123.245895","46.634498"
"Coccothraustes_vespertinus","-78.92607","39.654972"
"Coccothraustes_vespertinus","-89.531021","48.064888"
"Coccothraustes_vespertinus","-85.273733","44.502689"
"Coccothraustes_vespertinus","-106.585363","35.813242"
"Coccothraustes_vespertinus","-111.910962","40.551813"
"Coccothraustes_vespertinus","-107.622542","38.853846"
"Coccothraustes_vespertinus","-112.39293","42.881242"
"Coccothraustes_vespertinus","-122.03913","46.75993"
"Coccothraustes_vespertinus","-105.655333","35.801417"
"Coccothraustes_vespertinus","-105.346339","39.598224"
"Coccothraustes_vespertinus","-65.055398","44.367992"
"Coccothraustes_vespertinus","-120.722529","40.718947"
"Coccothraustes_vespertinus","-68.096684","46.944571"
"Coccothraustes_vespertinus","-71.322384","41.505235"
"Coccothraustes_vespertinus","-122.902744","41.455009"
"Coccothraustes_vespertinus","-122.314138","40.536764"
"Coccothraustes_vespertinus","-121.566746","48.491566"
"Coccothraustes_vespertinus","-78.484347","45.088343"
"Coccothraustes_vespertinus","-72.687435","47.500388"
"Coccothraustes_vespertinus","-72.859268","44.514494"
"Coccothraustes_vespertinus","-121.583422","48.223959"
"Coccothraustes_vespertinus","-121.799154","42.227818"
"Coccothraustes_vespertinus","-116.46076","44.69749"
"Coccothraustes_vespertinus","-119.652529","37.330447"
"Coccothraustes_vespertinus","-124.566421","49.892202"
"Coccothraustes_vespertinus","-79.864383","47.820229"
